cell_id,Pyrrhura melanura,Pyrrhura melanura pacifica,Pyrrhura melanura chapmani,Pyrrhura melanura [melanura Group]
825f47fffffffff,8.0,0.0,0.0,0.0
826647fffffffff,137.0,0.0,0.0,0.0
82664ffffffffff,1.0,0.0,0.0,0.0
82665ffffffffff,709.0,0.0,0.0,41.0
826667fffffffff,5.0,0.0,0.0,0.0
82666ffffffffff,9.0,0.0,0.0,0.0
8266c7fffffffff,1172.0,0.0,10.0,10.0
8266cffffffffff,80.0,0.0,0.0,2.0
8266d7fffffffff,4897.0,1391.0,0.0,10.0
8266dffffffffff,1769.0,0.0,0.0,132.0
8266e7fffffffff,31.0,0.0,0.0,0.0
8266effffffffff,117.0,0.0,0.0,0.0
8266f7fffffffff,1.0,0.0,0.0,0.0
828a47fffffffff,151.0,0.0,0.0,3.0
828a4ffffffffff,6.0,0.0,0.0,0.0
828a5ffffffffff,3.0,0.0,0.0,0.0
828a6ffffffffff,345.0,0.0,0.0,0.0
828ae7fffffffff,2.0,0.0,0.0,0.0
828af7fffffffff,41.0,0.0,0.0,0.0
828e67fffffffff,1.0,0.0,0.0,0.0
828f2ffffffffff,111.0,9.0,0.0,0.0
828f47fffffffff,45.0,0.0,0.0,2.0
828f5ffffffffff,10.0,0.0,0.0,0.0
828f67fffffffff,169.0,0.0,0.0,0.0
828f77fffffffff,26.0,0.0,0.0,0.0
