cell_id,Piranga flava,Piranga flava [hepatica Group],Piranga flava [lutea Group],Piranga flava [flava Group]
82124ffffffffff,3.0,0.0,0.0,0.0
82268ffffffffff,148.0,0.0,0.0,0.0
822697fffffffff,11.0,0.0,0.0,0.0
8226affffffffff,2.0,0.0,0.0,0.0
8226d7fffffffff,24.0,0.0,0.0,0.0
8226f7fffffffff,5.0,0.0,0.0,0.0
822777fffffffff,30.0,0.0,0.0,0.0
822837fffffffff,1.0,0.0,0.0,0.0
822917fffffffff,7.0,0.0,0.0,0.0
822987fffffffff,16.0,0.0,0.0,0.0
822997fffffffff,1.0,0.0,0.0,0.0
8229a7fffffffff,383.0,10.0,0.0,0.0
8229b7fffffffff,40.0,10.0,0.0,0.0
822b1ffffffffff,16.0,3.0,0.0,0.0
822b9ffffffffff,93.0,2.0,0.0,0.0
824447fffffffff,1.0,0.0,0.0,0.0
82446ffffffffff,21.0,0.0,0.0,0.0
824477fffffffff,3.0,0.0,0.0,0.0
824507fffffffff,5.0,0.0,0.0,0.0
824527fffffffff,60.0,5.0,0.0,0.0
82452ffffffffff,16.0,0.0,0.0,0.0
824817fffffffff,31.0,3.0,0.0,0.0
82482ffffffffff,1.0,0.0,0.0,0.0
824837fffffffff,4.0,3.0,0.0,0.0
824847fffffffff,4.0,0.0,0.0,0.0
82485ffffffffff,4.0,1.0,0.0,0.0
82488ffffffffff,1.0,0.0,0.0,0.0
82489ffffffffff,23.0,0.0,0.0,0.0
8248a7fffffffff,4.0,2.0,0.0,0.0
8248affffffffff,10.0,0.0,0.0,0.0
8248b7fffffffff,2.0,0.0,0.0,0.0
8248c7fffffffff,55.0,9.0,0.0,0.0
8248cffffffffff,72.0,24.0,0.0,0.0
8248d7fffffffff,10.0,2.0,0.0,0.0
8248dffffffffff,5.0,0.0,0.0,0.0
8248e7fffffffff,3.0,2.0,0.0,0.0
8248effffffffff,575.0,39.0,0.0,0.0
8248f7fffffffff,45.0,0.0,0.0,0.0
824987fffffffff,19.0,2.0,0.0,0.0
82498ffffffffff,2.0,0.0,0.0,0.0
824997fffffffff,22.0,5.0,0.0,0.0
82499ffffffffff,2.0,2.0,0.0,0.0
8249a7fffffffff,8.0,4.0,0.0,0.0
8249affffffffff,6.0,2.0,0.0,0.0
8249b7fffffffff,12.0,2.0,0.0,0.0
825f07fffffffff,2.0,0.0,2.0,0.0
825f4ffffffffff,4.0,0.0,1.0,0.0
826617fffffffff,62.0,0.0,8.0,0.0
82661ffffffffff,30.0,0.0,6.0,0.0
82662ffffffffff,4.0,0.0,4.0,0.0
8266a7fffffffff,106.0,0.0,0.0,0.0
8266b7fffffffff,6.0,0.0,2.0,0.0
8266c7fffffffff,5.0,0.0,0.0,0.0
8266d7fffffffff,17.0,0.0,0.0,0.0
8266e7fffffffff,9.0,0.0,0.0,0.0
8266f7fffffffff,6.0,0.0,4.0,0.0
826747fffffffff,4.0,0.0,4.0,0.0
82674ffffffffff,20.0,0.0,2.0,0.0
82675ffffffffff,13.0,0.0,7.0,0.0
826797fffffffff,62.0,0.0,0.0,0.0
8267b7fffffffff,21.0,0.0,0.0,0.0
826d27fffffffff,2.0,2.0,0.0,0.0
826d2ffffffffff,45.0,4.0,0.0,0.0
826d37fffffffff,10.0,5.0,0.0,0.0
826d67fffffffff,10.0,0.0,0.0,0.0
826d6ffffffffff,28.0,0.0,26.0,0.0
828157fffffffff,3.0,0.0,0.0,3.0
828b27fffffffff,9.0,0.0,1.0,8.0
828b2ffffffffff,1.0,0.0,0.0,0.0
828b67fffffffff,2.0,0.0,0.0,0.0
828e67fffffffff,15.0,0.0,0.0,0.0
828f27fffffffff,1.0,0.0,0.0,0.0
828f4ffffffffff,5.0,0.0,0.0,0.0
828f5ffffffffff,26.0,0.0,2.0,0.0
828f77fffffffff,10.0,0.0,2.0,0.0
82a957fffffffff,13.0,0.0,0.0,0.0
82a967fffffffff,3.0,0.0,0.0,0.0
82a96ffffffffff,29.0,0.0,0.0,0.0
82b24ffffffffff,56.0,0.0,0.0,0.0
82b25ffffffffff,1.0,0.0,0.0,1.0
82b267fffffffff,4.0,0.0,0.0,0.0
82b26ffffffffff,54.0,0.0,0.0,0.0
82b2effffffffff,3.0,0.0,0.0,0.0
82b35ffffffffff,4.0,0.0,0.0,4.0
82b367fffffffff,5.0,0.0,0.0,5.0
82c2c7fffffffff,1.0,0.0,0.0,1.0
82c2cffffffffff,9.0,0.0,0.0,1.0
82c2d7fffffffff,2.0,0.0,0.0,2.0
82c2effffffffff,3.0,0.0,0.0,0.0
82c2f7fffffffff,6.0,0.0,0.0,4.0
