cell_id,Hylophilus thoracicus,Hylophilus thoracicus griseiventris/aemulus,Hylophilus thoracicus thoracicus
825f07fffffffff,67.0,2.0,0.0
825f0ffffffffff,36.0,0.0,0.0
825f17fffffffff,16.0,0.0,0.0
825f1ffffffffff,7.0,0.0,0.0
825f2ffffffffff,291.0,0.0,0.0
825f37fffffffff,1.0,0.0,0.0
825f47fffffffff,11.0,0.0,0.0
825f57fffffffff,7.0,0.0,0.0
825f6ffffffffff,20.0,0.0,0.0
825f77fffffffff,26.0,0.0,0.0
82665ffffffffff,89.0,0.0,0.0
8266c7fffffffff,38.0,0.0,0.0
8266cffffffffff,11.0,0.0,0.0
8266dffffffffff,45.0,6.0,0.0
8266effffffffff,3.0,0.0,0.0
828137fffffffff,106.0,0.0,4.0
828a07fffffffff,13.0,0.0,0.0
828a17fffffffff,1.0,0.0,0.0
828a1ffffffffff,1.0,1.0,0.0
828a47fffffffff,14.0,1.0,0.0
828a57fffffffff,1.0,0.0,0.0
828a5ffffffffff,1.0,1.0,0.0
828a6ffffffffff,51.0,0.0,0.0
828a77fffffffff,4.0,0.0,0.0
828ad7fffffffff,3.0,0.0,0.0
828adffffffffff,7.0,0.0,0.0
828af7fffffffff,131.0,17.0,0.0
828b2ffffffffff,1.0,0.0,0.0
828b47fffffffff,54.0,0.0,0.0
828b4ffffffffff,15.0,0.0,0.0
828b57fffffffff,11.0,0.0,0.0
828b5ffffffffff,11.0,0.0,0.0
828b67fffffffff,42.0,0.0,0.0
828b6ffffffffff,21.0,0.0,0.0
828b77fffffffff,22.0,0.0,0.0
828e67fffffffff,2.0,0.0,0.0
828f47fffffffff,23.0,0.0,0.0
828f4ffffffffff,1.0,0.0,0.0
828f67fffffffff,21.0,0.0,0.0
828f6ffffffffff,2.0,0.0,0.0
828f77fffffffff,6.0,0.0,0.0
82a887fffffffff,44.0,0.0,0.0
82a897fffffffff,65.0,0.0,1.0
82a8a7fffffffff,1290.0,0.0,44.0
82a8b7fffffffff,36.0,0.0,2.0
