cell_id,Cyrtonyx montezumae,Cyrtonyx montezumae [montezumae Group],Cyrtonyx montezumae sallei/rowleyi
84488d7ffffffff,2.0,0.0,0.0
84488e5ffffffff,9.0,0.0,0.0
84488edffffffff,3.0,0.0,0.0
8448c59ffffffff,7.0,0.0,0.0
8448cc1ffffffff,2.0,0.0,0.0
8448ccbffffffff,2.0,0.0,0.0
8448cd1ffffffff,1.0,0.0,0.0
8448cd9ffffffff,5.0,0.0,0.0
8448d4bffffffff,9.0,1.0,0.0
8448d5dffffffff,4.0,0.0,0.0
8448ddbffffffff,7.0,0.0,0.0
8448e37ffffffff,2.0,0.0,0.0
8448e85ffffffff,21.0,0.0,0.0
8448e8dffffffff,98.0,2.0,0.0
8448ea7ffffffff,6.0,4.0,0.0
8448ea9ffffffff,3.0,0.0,0.0
8448eadffffffff,2.0,0.0,0.0
8448ec5ffffffff,1.0,0.0,0.0
8448ec7ffffffff,18.0,0.0,0.0
8448ee3ffffffff,1.0,0.0,0.0
8448ee9ffffffff,6.0,3.0,0.0
8448eebffffffff,16.0,0.0,0.0
8448f21ffffffff,6.0,4.0,0.0
8448f25ffffffff,3.0,2.0,0.0
8448f2bffffffff,2.0,0.0,0.0
8448f63ffffffff,1.0,0.0,0.0
844983dffffffff,16.0,0.0,0.0
8449861ffffffff,2.0,0.0,0.0
84498dbffffffff,2.0,0.0,0.0
8449951ffffffff,2.0,0.0,0.0
8449953ffffffff,8.0,0.0,0.0
8449959ffffffff,11.0,0.0,0.0
844995bffffffff,7.0,0.0,0.0
8449b21ffffffff,1.0,0.0,0.0
8449b33ffffffff,2.0,0.0,0.0
846d32bffffffff,8.0,0.0,2.0
846d335ffffffff,4.0,0.0,4.0
