cell_id,Microcerculus marginatus,Microcerculus marginatus luscinia,Microcerculus marginatus taeniatus/occidentalis,Microcerculus marginatus [marginatus Group]
836611fffffffff,4.0,0.0,1.0,0.0
83661bfffffffff,7.0,0.0,4.0,0.0
83661cfffffffff,2.0,0.0,0.0,0.0
83661efffffffff,8.0,0.0,0.0,0.0
83662efffffffff,3.0,0.0,0.0,0.0
836670fffffffff,1.0,0.0,0.0,0.0
8366a0fffffffff,8.0,0.0,0.0,0.0
8366a5fffffffff,4.0,0.0,0.0,0.0
8366b0fffffffff,1.0,1.0,0.0,0.0
8366b4fffffffff,8.0,4.0,0.0,0.0
8366b5fffffffff,14.0,4.0,0.0,0.0
8366d0fffffffff,4.0,0.0,0.0,0.0
8366d5fffffffff,2.0,0.0,0.0,0.0
8366defffffffff,2.0,0.0,2.0,0.0
8366f0fffffffff,3.0,0.0,0.0,0.0
8366f1fffffffff,2.0,0.0,0.0,0.0
8366f5fffffffff,1.0,0.0,0.0,0.0
836743fffffffff,2.0,0.0,0.0,0.0
83679afffffffff,6.0,0.0,0.0,0.0
836d69fffffffff,2.0,0.0,0.0,0.0
838a21fffffffff,2.0,0.0,0.0,2.0
838b44fffffffff,1.0,0.0,0.0,1.0
838b61fffffffff,20.0,0.0,0.0,20.0
838b63fffffffff,5.0,0.0,0.0,5.0
838f46fffffffff,3.0,0.0,0.0,3.0
838f4afffffffff,7.0,0.0,0.0,7.0
838f73fffffffff,2.0,0.0,0.0,2.0
