cell_id,Turdus nigrorum,Turdus nigrorum nigrorum,Turdus nigrorum malindangensis,Turdus nigrorum katanglad,Turdus nigrorum kelleri
836841fffffffff,6.0,0.0,0.0,0.0,0.0
836843fffffffff,20.0,0.0,0.0,9.0,0.0
836855fffffffff,11.0,0.0,0.0,0.0,0.0
83685cfffffffff,45.0,0.0,0.0,0.0,8.0
83685dfffffffff,149.0,0.0,0.0,0.0,18.0
83685efffffffff,22.0,0.0,0.0,0.0,0.0
836871fffffffff,8.0,0.0,0.0,0.0,0.0
