cell_id,Automolus cervinigularis,Automolus cervinigularis cervinigularis,Automolus cervinigularis hypophaeus
824527fffffffff,805.0,0.0,0.0
82452ffffffffff,1275.0,3.0,0.0
824537fffffffff,267.0,0.0,0.0
824997fffffffff,18.0,5.0,0.0
8266a7fffffffff,15.0,0.0,3.0
8266b7fffffffff,2122.0,0.0,3.0
826797fffffffff,87.0,0.0,0.0
82679ffffffffff,169.0,0.0,0.0
826d27fffffffff,234.0,85.0,0.0
826d2ffffffffff,206.0,42.0,0.0
826d37fffffffff,449.0,97.0,0.0
826d67fffffffff,535.0,0.0,0.0
826d6ffffffffff,3080.0,0.0,0.0
