cell_id,Mitrephanes phaeocercus,Mitrephanes phaeocercus phaeocercus/tenuirostris,Mitrephanes phaeocercus aurantiiventris,Mitrephanes phaeocercus berlepschi
824527fffffffff,6.0,0.0,0.0,0.0
82480ffffffffff,10.0,0.0,0.0,0.0
824817fffffffff,5.0,3.0,0.0,0.0
824837fffffffff,77.0,2.0,0.0,0.0
824897fffffffff,2.0,0.0,0.0,0.0
8248a7fffffffff,5.0,0.0,0.0,0.0
8248affffffffff,14.0,0.0,0.0,0.0
8248c7fffffffff,166.0,32.0,0.0,0.0
8248effffffffff,841.0,24.0,0.0,0.0
8248f7fffffffff,7.0,0.0,0.0,0.0
824987fffffffff,20.0,16.0,0.0,0.0
824997fffffffff,40.0,8.0,0.0,0.0
82499ffffffffff,4.0,2.0,0.0,0.0
8249a7fffffffff,3.0,2.0,0.0,0.0
8249affffffffff,2.0,1.0,0.0,0.0
8249b7fffffffff,8.0,7.0,0.0,0.0
826617fffffffff,16.0,0.0,0.0,10.0
82661ffffffffff,13.0,0.0,0.0,0.0
8266a7fffffffff,13.0,0.0,1.0,0.0
8266b7fffffffff,178.0,0.0,168.0,0.0
8266f7fffffffff,8.0,0.0,0.0,0.0
826d27fffffffff,2.0,0.0,0.0,0.0
826d2ffffffffff,6.0,3.0,0.0,0.0
826d37fffffffff,20.0,12.0,0.0,0.0
826d67fffffffff,4.0,1.0,0.0,0.0
826d6ffffffffff,28.0,0.0,16.0,0.0
