cell_id,Puffinus subalaris,Puffinus subalaris (Dark-winged),Puffinus subalaris (Light-winged)
824807fffffffff,1.0,0.0,0.0
824837fffffffff,9.0,0.0,0.0
8249affffffffff,4.0,0.0,0.0
826687fffffffff,44.0,1.0,29.0
82668ffffffffff,5.0,0.0,0.0
82669ffffffffff,11.0,0.0,0.0
8266a7fffffffff,52.0,0.0,35.0
8266affffffffff,34.0,0.0,22.0
8266b7fffffffff,14.0,0.0,3.0
8266f7fffffffff,1.0,0.0,0.0
826c5ffffffffff,40.0,6.0,3.0
826c67fffffffff,9.0,0.0,0.0
826d0ffffffffff,7.0,0.0,0.0
826d17fffffffff,57.0,1.0,3.0
826d2ffffffffff,27.0,0.0,0.0
826d4ffffffffff,7.0,0.0,0.0
826d6ffffffffff,24.0,0.0,0.0
826d77fffffffff,126.0,0.0,0.0
828f2ffffffffff,5.0,0.0,0.0
828fa7fffffffff,1.0,0.0,0.0
