cell_id,Spindalis zena,Spindalis zena zena,Spindalis zena townsendi,Spindalis zena pretrei,Spindalis zena salvini,Spindalis zena benedicti
834430fffffffff,934.0,0.0,0.0,517.0,0.0,0.0
834432fffffffff,725.0,0.0,0.0,359.0,0.0,0.0
834434fffffffff,167.0,0.0,0.0,91.0,0.0,0.0
834436fffffffff,11.0,0.0,0.0,5.0,0.0,0.0
834480fffffffff,53.0,0.0,0.0,0.0,0.0,0.0
834484fffffffff,279.0,0.0,34.0,0.0,0.0,0.0
834485fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
834486fffffffff,606.0,0.0,44.0,0.0,0.0,0.0
8344a2fffffffff,36.0,2.0,0.0,0.0,0.0,0.0
8344a3fffffffff,91.0,0.0,18.0,0.0,0.0,0.0
8344a6fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8344b0fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
8344b1fffffffff,186.0,0.0,31.0,0.0,0.0,0.0
8344b2fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8344b3fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8344b5fffffffff,406.0,81.0,0.0,0.0,0.0,0.0
8344b6fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
83450afffffffff,810.0,0.0,0.0,0.0,0.0,517.0
83451bfffffffff,19.0,0.0,0.0,6.0,0.0,0.0
83451dfffffffff,7.0,0.0,0.0,0.0,0.0,2.0
834583fffffffff,38.0,0.0,0.0,30.0,0.0,0.0
834588fffffffff,70.0,0.0,0.0,23.0,0.0,0.0
834589fffffffff,6.0,0.0,0.0,1.0,0.0,0.0
83458afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83458cfffffffff,408.0,0.0,0.0,220.0,0.0,0.0
83458dfffffffff,135.0,0.0,0.0,67.0,0.0,0.0
83458efffffffff,256.0,0.0,0.0,135.0,0.0,0.0
834590fffffffff,33.0,0.0,0.0,6.0,0.0,0.0
834591fffffffff,74.0,0.0,0.0,41.0,0.0,0.0
834592fffffffff,14.0,0.0,0.0,1.0,0.0,0.0
834593fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
834595fffffffff,3.0,0.0,0.0,3.0,0.0,0.0
834598fffffffff,834.0,0.0,0.0,427.0,0.0,0.0
83459bfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83459cfffffffff,16.0,0.0,0.0,1.0,0.0,0.0
83459dfffffffff,109.0,0.0,0.0,22.0,0.0,0.0
83459efffffffff,23.0,0.0,0.0,15.0,0.0,0.0
8345a3fffffffff,598.0,0.0,0.0,0.0,0.0,0.0
8345aefffffffff,2.0,0.0,0.0,0.0,0.0,0.0
834c93fffffffff,114.0,0.0,0.0,36.0,0.0,0.0
834c96fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
834c98fffffffff,86.0,0.0,0.0,76.0,0.0,0.0
834c9afffffffff,26.0,0.0,0.0,4.0,0.0,0.0
834c9efffffffff,9.0,0.0,0.0,0.0,0.0,0.0
