cell_id,Conirostrum albifrons,Conirostrum albifrons [albifrons Group],Conirostrum albifrons [atrocyaneum Group]
836608fffffffff,5.0,0.0,0.0
83660dfffffffff,3.0,0.0,0.0
83661bfffffffff,3.0,0.0,3.0
83661dfffffffff,3.0,0.0,3.0
8366c2fffffffff,1.0,0.0,1.0
8366d3fffffffff,5.0,0.0,3.0
8366defffffffff,4.0,0.0,2.0
8366e6fffffffff,2.0,2.0,0.0
83674efffffffff,2.0,1.0,0.0
838b2dfffffffff,1.0,0.0,0.0
838b61fffffffff,12.0,0.0,12.0
838b69fffffffff,5.0,0.0,0.0
838f29fffffffff,6.0,0.0,0.0
838f2bfffffffff,6.0,0.0,0.0
838f72fffffffff,4.0,0.0,1.0
