cell_id,Campylorhynchus zonatus,Campylorhynchus zonatus [zonatus Group],Campylorhynchus zonatus costaricensis/panamensis,Campylorhynchus zonatus brevirostris/curvirostris
824527fffffffff,438.0,0.0,0.0,0.0
82452ffffffffff,2266.0,0.0,0.0,0.0
824537fffffffff,150.0,0.0,0.0,0.0
824997fffffffff,7167.0,0.0,0.0,0.0
82499ffffffffff,79.0,0.0,0.0,0.0
826607fffffffff,163.0,0.0,0.0,0.0
82660ffffffffff,350.0,0.0,0.0,0.0
826617fffffffff,3.0,0.0,0.0,0.0
82661ffffffffff,1243.0,0.0,0.0,0.0
826627fffffffff,45.0,0.0,0.0,0.0
82662ffffffffff,3.0,0.0,0.0,0.0
826637fffffffff,33.0,0.0,0.0,0.0
8266a7fffffffff,88.0,0.0,0.0,0.0
8266b7fffffffff,692.0,0.0,0.0,0.0
8266d7fffffffff,639.0,0.0,0.0,0.0
8266e7fffffffff,1678.0,0.0,0.0,0.0
82679ffffffffff,301.0,0.0,0.0,0.0
826d07fffffffff,5.0,0.0,0.0,0.0
826d27fffffffff,1883.0,0.0,0.0,0.0
826d2ffffffffff,11642.0,0.0,0.0,0.0
826d37fffffffff,4221.0,0.0,0.0,0.0
826d67fffffffff,3344.0,0.0,0.0,0.0
826d6ffffffffff,3147.0,0.0,0.0,0.0
826d77fffffffff,4.0,0.0,0.0,0.0
828f27fffffffff,3.0,0.0,0.0,0.0
828f2ffffffffff,50.0,0.0,0.0,0.0
