cell_id,Larus canus,Larus canus canus,Larus canus heinei,Larus canus kamtschatschensis
8401207ffffffff,1.0,0.0,0.0,0.0
840120bffffffff,3.0,2.0,0.0,0.0
8401219ffffffff,2.0,0.0,0.0,0.0
8401225ffffffff,5.0,0.0,0.0,0.0
840122bffffffff,4.0,0.0,0.0,0.0
840123dffffffff,6.0,0.0,0.0,0.0
8401243ffffffff,2.0,0.0,0.0,0.0
840124dffffffff,2.0,0.0,0.0,0.0
8401251ffffffff,1.0,0.0,0.0,0.0
8401259ffffffff,4.0,2.0,0.0,0.0
840125dffffffff,2.0,2.0,0.0,0.0
8401261ffffffff,5.0,0.0,0.0,0.0
8401265ffffffff,15.0,6.0,0.0,0.0
8401267ffffffff,2.0,0.0,0.0,0.0
8401269ffffffff,7.0,0.0,0.0,0.0
840126bffffffff,5.0,0.0,0.0,0.0
840126dffffffff,10.0,0.0,0.0,0.0
840130bffffffff,293.0,69.0,0.0,0.0
8401319ffffffff,97.0,8.0,0.0,0.0
840131dffffffff,40.0,7.0,0.0,0.0
840134bffffffff,28.0,2.0,0.0,0.0
8401351ffffffff,276.0,49.0,0.0,0.0
8401353ffffffff,127.0,13.0,0.0,0.0
8401355ffffffff,227.0,45.0,0.0,0.0
8401357ffffffff,16.0,6.0,0.0,0.0
8401359ffffffff,11.0,2.0,0.0,0.0
840135bffffffff,98.0,18.0,0.0,0.0
840135dffffffff,10.0,2.0,0.0,0.0
8407411ffffffff,12.0,5.0,0.0,0.0
8407417ffffffff,9.0,2.0,0.0,0.0
8407425ffffffff,73.0,45.0,0.0,0.0
8407427ffffffff,12.0,0.0,0.0,0.0
840742dffffffff,62.0,30.0,0.0,0.0
8407431ffffffff,10.0,2.0,0.0,0.0
8407433ffffffff,97.0,6.0,0.0,0.0
8407437ffffffff,13.0,5.0,0.0,0.0
840743bffffffff,4.0,0.0,0.0,0.0
840744bffffffff,11.0,4.0,0.0,0.0
840745dffffffff,40.0,17.0,0.0,0.0
8407461ffffffff,18.0,10.0,0.0,0.0
8407465ffffffff,55.0,25.0,0.0,0.0
8407467ffffffff,138.0,49.0,0.0,0.0
84074e9ffffffff,3.0,0.0,0.0,0.0
84074edffffffff,38.0,12.0,0.0,0.0
8407519ffffffff,2.0,0.0,0.0,0.0
840751bffffffff,3.0,0.0,0.0,0.0
8407551ffffffff,2.0,0.0,0.0,0.0
8407553ffffffff,2.0,2.0,0.0,0.0
8407559ffffffff,2.0,0.0,0.0,0.0
840755bffffffff,46.0,12.0,0.0,0.0
840755dffffffff,6.0,2.0,0.0,0.0
8407581ffffffff,15.0,4.0,0.0,0.0
8407589ffffffff,5.0,1.0,0.0,0.0
840758dffffffff,17.0,1.0,0.0,0.0
84075a9ffffffff,4.0,0.0,0.0,0.0
84075c1ffffffff,19.0,6.0,0.0,0.0
84075c3ffffffff,2.0,0.0,0.0,0.0
84075c7ffffffff,9.0,5.0,0.0,0.0
84075cbffffffff,8.0,6.0,0.0,0.0
84075d1ffffffff,137.0,53.0,0.0,0.0
84075d9ffffffff,64.0,23.0,0.0,0.0
84075ddffffffff,319.0,95.0,0.0,0.0
84075e3ffffffff,4.0,4.0,0.0,0.0
84075e9ffffffff,2.0,0.0,0.0,0.0
84075edffffffff,15.0,2.0,0.0,0.0
8407621ffffffff,2.0,2.0,0.0,0.0
8407623ffffffff,25.0,18.0,0.0,0.0
8407625ffffffff,3.0,3.0,0.0,0.0
8407627ffffffff,2.0,2.0,0.0,0.0
8407635ffffffff,64.0,28.0,0.0,0.0
8407703ffffffff,8.0,5.0,0.0,0.0
8407711ffffffff,1.0,1.0,0.0,0.0
8407715ffffffff,4.0,4.0,0.0,0.0
8407719ffffffff,8.0,0.0,0.0,0.0
8407731ffffffff,24.0,8.0,0.0,0.0
8407733ffffffff,194.0,141.0,0.0,0.0
8407739ffffffff,2.0,2.0,0.0,0.0
840773bffffffff,92.0,68.0,0.0,0.0
8407741ffffffff,1.0,0.0,0.0,0.0
8407753ffffffff,12.0,2.0,0.0,0.0
8408021ffffffff,2.0,0.0,0.0,0.0
8408023ffffffff,2.0,0.0,0.0,0.0
8408025ffffffff,7.0,5.0,0.0,0.0
840802bffffffff,2.0,0.0,0.0,0.0
840802dffffffff,11.0,0.0,0.0,0.0
8408057ffffffff,6.0,0.0,0.0,0.0
8408061ffffffff,2.0,0.0,0.0,0.0
8408065ffffffff,75.0,0.0,0.0,0.0
840806dffffffff,1.0,0.0,0.0,0.0
8408101ffffffff,2.0,2.0,0.0,0.0
8408103ffffffff,5.0,1.0,0.0,0.0
8408105ffffffff,5.0,0.0,0.0,0.0
8408107ffffffff,31.0,13.0,0.0,0.0
840810dffffffff,5.0,2.0,0.0,0.0
8408111ffffffff,4.0,4.0,0.0,0.0
8408119ffffffff,2.0,2.0,0.0,0.0
840811dffffffff,15.0,8.0,0.0,0.0
8408129ffffffff,39.0,2.0,0.0,0.0
8408133ffffffff,17.0,5.0,0.0,0.0
8408137ffffffff,2.0,2.0,0.0,0.0
8408141ffffffff,4.0,2.0,0.0,0.0
840814dffffffff,4.0,0.0,0.0,0.0
8408151ffffffff,142.0,7.0,0.0,0.0
8408153ffffffff,18.0,2.0,0.0,0.0
8408155ffffffff,1.0,0.0,0.0,0.0
8408159ffffffff,185.0,5.0,0.0,0.0
840815bffffffff,51.0,1.0,0.0,0.0
8408165ffffffff,2.0,0.0,0.0,0.0
8408167ffffffff,2.0,0.0,0.0,0.0
8408169ffffffff,2.0,2.0,0.0,0.0
840816dffffffff,4.0,0.0,0.0,0.0
840818bffffffff,2.0,2.0,0.0,0.0
8408193ffffffff,13.0,8.0,0.0,0.0
840819dffffffff,2.0,2.0,0.0,0.0
84081bdffffffff,2.0,2.0,0.0,0.0
84081d5ffffffff,13.0,0.0,0.0,0.0
84081d9ffffffff,3.0,0.0,0.0,0.0
84081e1ffffffff,4.0,0.0,0.0,0.0
84081e5ffffffff,14.0,0.0,0.0,0.0
84081e7ffffffff,2.0,0.0,0.0,0.0
84081edffffffff,4.0,0.0,0.0,0.0
8408281ffffffff,1.0,0.0,0.0,0.0
8408283ffffffff,2.0,0.0,0.0,0.0
8408287ffffffff,2.0,0.0,0.0,0.0
8408295ffffffff,3.0,0.0,0.0,0.0
840829bffffffff,15.0,2.0,0.0,0.0
840829dffffffff,1.0,0.0,0.0,0.0
84082a1ffffffff,1.0,0.0,0.0,0.0
84082a5ffffffff,7.0,2.0,0.0,0.0
84082abffffffff,1.0,0.0,0.0,0.0
84082b1ffffffff,2.0,0.0,0.0,0.0
84082b9ffffffff,2.0,2.0,0.0,0.0
84082bbffffffff,1.0,1.0,0.0,0.0
84082dbffffffff,1.0,0.0,0.0,0.0
8408305ffffffff,14.0,0.0,0.0,0.0
8408321ffffffff,1.0,0.0,0.0,0.0
8408323ffffffff,2.0,0.0,0.0,0.0
8408329ffffffff,11.0,0.0,0.0,0.0
840832bffffffff,5.0,0.0,0.0,0.0
840832dffffffff,5.0,1.0,0.0,0.0
8408331ffffffff,2.0,0.0,0.0,0.0
8408333ffffffff,15.0,0.0,0.0,0.0
8408337ffffffff,5.0,0.0,0.0,0.0
8408339ffffffff,5.0,0.0,0.0,0.0
840833bffffffff,12.0,0.0,0.0,0.0
840833dffffffff,6.0,0.0,0.0,0.0
8408361ffffffff,8.0,0.0,0.0,0.0
8408363ffffffff,3.0,0.0,0.0,0.0
8408365ffffffff,43.0,0.0,0.0,0.0
840836dffffffff,76.0,1.0,0.0,0.0
8408805ffffffff,4.0,0.0,0.0,0.0
8408807ffffffff,13.0,5.0,0.0,0.0
8408809ffffffff,10.0,2.0,0.0,0.0
840880bffffffff,18.0,5.0,0.0,0.0
840880dffffffff,82.0,3.0,0.0,0.0
8408821ffffffff,3.0,0.0,0.0,0.0
8408823ffffffff,2.0,0.0,0.0,0.0
8408829ffffffff,19.0,12.0,0.0,0.0
840882bffffffff,8.0,1.0,0.0,0.0
840882dffffffff,25.0,17.0,0.0,0.0
8408831ffffffff,7.0,0.0,0.0,0.0
8408835ffffffff,2.0,0.0,0.0,0.0
8408837ffffffff,52.0,21.0,0.0,0.0
8408839ffffffff,27.0,0.0,0.0,0.0
840883dffffffff,75.0,1.0,0.0,0.0
8408841ffffffff,2.0,0.0,0.0,0.0
8408843ffffffff,6.0,0.0,0.0,0.0
8408845ffffffff,13.0,9.0,0.0,0.0
840884bffffffff,14.0,6.0,0.0,0.0
840884dffffffff,3.0,2.0,0.0,0.0
8408851ffffffff,2.0,0.0,0.0,0.0
8408855ffffffff,16.0,4.0,0.0,0.0
840885bffffffff,1.0,0.0,0.0,0.0
840885dffffffff,4.0,0.0,0.0,0.0
8408861ffffffff,6.0,3.0,0.0,0.0
8408863ffffffff,31.0,13.0,0.0,0.0
8408865ffffffff,3.0,0.0,0.0,0.0
8408867ffffffff,373.0,154.0,0.0,0.0
8408869ffffffff,44.0,0.0,0.0,0.0
840886bffffffff,114.0,47.0,0.0,0.0
8408881ffffffff,5.0,5.0,0.0,0.0
8408885ffffffff,2.0,2.0,0.0,0.0
8408889ffffffff,68.0,18.0,0.0,0.0
840888dffffffff,38.0,32.0,0.0,0.0
8408891ffffffff,1.0,0.0,0.0,0.0
8408893ffffffff,3.0,0.0,0.0,0.0
8408899ffffffff,6.0,0.0,0.0,0.0
84088a1ffffffff,2.0,0.0,0.0,0.0
84088a3ffffffff,2.0,0.0,0.0,0.0
84088a9ffffffff,25.0,17.0,0.0,0.0
84088adffffffff,8.0,6.0,0.0,0.0
84088b7ffffffff,3.0,0.0,0.0,0.0
84088d3ffffffff,8.0,8.0,0.0,0.0
84088e1ffffffff,56.0,56.0,0.0,0.0
84088e3ffffffff,9.0,9.0,0.0,0.0
84088e5ffffffff,3.0,0.0,0.0,0.0
84088e7ffffffff,14.0,14.0,0.0,0.0
84088edffffffff,4.0,0.0,0.0,0.0
8408901ffffffff,29.0,0.0,0.0,0.0
840890dffffffff,6.0,0.0,0.0,0.0
8408933ffffffff,5.0,0.0,0.0,0.0
8408937ffffffff,94.0,2.0,0.0,0.0
8408949ffffffff,2.0,0.0,0.0,0.0
8408959ffffffff,84.0,61.0,0.0,0.0
840895bffffffff,53.0,40.0,0.0,0.0
8408961ffffffff,13.0,4.0,0.0,0.0
8408963ffffffff,4.0,4.0,0.0,0.0
8408965ffffffff,49.0,33.0,0.0,0.0
8408967ffffffff,8.0,8.0,0.0,0.0
840896bffffffff,12.0,0.0,0.0,0.0
840896dffffffff,2.0,2.0,0.0,0.0
8408985ffffffff,74.0,12.0,0.0,0.0
8408987ffffffff,8.0,0.0,0.0,0.0
840898bffffffff,74.0,0.0,0.0,0.0
840898dffffffff,2.0,0.0,0.0,0.0
8408991ffffffff,52.0,14.0,0.0,0.0
8408993ffffffff,1.0,0.0,0.0,0.0
8408995ffffffff,123.0,11.0,0.0,0.0
8408997ffffffff,451.0,90.0,0.0,0.0
8408999ffffffff,26.0,4.0,0.0,0.0
840899dffffffff,25.0,0.0,0.0,0.0
84089a1ffffffff,12.0,0.0,0.0,0.0
84089a5ffffffff,24.0,2.0,0.0,0.0
84089a9ffffffff,276.0,10.0,0.0,0.0
84089abffffffff,9.0,0.0,0.0,0.0
84089adffffffff,57.0,0.0,0.0,0.0
84089b1ffffffff,87.0,16.0,0.0,0.0
84089b7ffffffff,16.0,0.0,0.0,0.0
84089bbffffffff,128.0,4.0,0.0,0.0
84089bdffffffff,14.0,3.0,0.0,0.0
84089c3ffffffff,4.0,2.0,0.0,0.0
84089cbffffffff,24.0,0.0,0.0,0.0
84089d1ffffffff,47.0,18.0,0.0,0.0
84089d3ffffffff,99.0,60.0,0.0,0.0
84089d7ffffffff,5.0,2.0,0.0,0.0
84089d9ffffffff,46.0,22.0,0.0,0.0
84089dbffffffff,32.0,20.0,0.0,0.0
84089ddffffffff,13.0,0.0,0.0,0.0
84089e1ffffffff,10.0,0.0,0.0,0.0
84089e3ffffffff,115.0,5.0,0.0,0.0
84089e5ffffffff,39.0,2.0,0.0,0.0
84089e7ffffffff,25.0,0.0,0.0,0.0
84089ebffffffff,29.0,0.0,0.0,0.0
84089edffffffff,38.0,0.0,0.0,0.0
8408a05ffffffff,8.0,0.0,0.0,0.0
8408a07ffffffff,4.0,0.0,0.0,0.0
8408a09ffffffff,2.0,0.0,0.0,0.0
8408a0dffffffff,2.0,0.0,0.0,0.0
8408a15ffffffff,8.0,2.0,0.0,0.0
8408a19ffffffff,1.0,1.0,0.0,0.0
8408a21ffffffff,2.0,2.0,0.0,0.0
8408a25ffffffff,8.0,4.0,0.0,0.0
8408a27ffffffff,14.0,0.0,0.0,0.0
8408a31ffffffff,3.0,0.0,0.0,0.0
8408a35ffffffff,10.0,4.0,0.0,0.0
8408a39ffffffff,2.0,0.0,0.0,0.0
8408a3dffffffff,2.0,0.0,0.0,0.0
8408a41ffffffff,2.0,2.0,0.0,0.0
8408a43ffffffff,2.0,0.0,0.0,0.0
8408a45ffffffff,18.0,13.0,0.0,0.0
8408a47ffffffff,2.0,0.0,0.0,0.0
8408a4bffffffff,3.0,0.0,0.0,0.0
8408a4dffffffff,2.0,0.0,0.0,0.0
8408a53ffffffff,9.0,0.0,0.0,0.0
8408a5bffffffff,2.0,2.0,0.0,0.0
8408a61ffffffff,3.0,0.0,0.0,0.0
8408a63ffffffff,6.0,0.0,0.0,0.0
8408a65ffffffff,2.0,0.0,0.0,0.0
8408a67ffffffff,2.0,0.0,0.0,0.0
8408a69ffffffff,6.0,0.0,0.0,0.0
8408a6dffffffff,16.0,1.0,0.0,0.0
8408a81ffffffff,3.0,0.0,0.0,0.0
8408a8dffffffff,1.0,0.0,0.0,0.0
8408a97ffffffff,2.0,0.0,0.0,0.0
8408ab9ffffffff,2.0,0.0,0.0,0.0
8408acbffffffff,2.0,0.0,0.0,0.0
8408ae3ffffffff,8.0,2.0,0.0,0.0
8408b01ffffffff,1.0,0.0,0.0,0.0
8408b03ffffffff,3.0,0.0,0.0,0.0
8408b05ffffffff,5.0,4.0,0.0,0.0
8408b07ffffffff,2.0,2.0,0.0,0.0
8408b09ffffffff,2.0,2.0,0.0,0.0
8408b0dffffffff,10.0,4.0,0.0,0.0
8408b11ffffffff,28.0,4.0,0.0,0.0
8408b13ffffffff,2.0,0.0,0.0,0.0
8408b15ffffffff,13.0,0.0,0.0,0.0
8408b17ffffffff,10.0,0.0,0.0,0.0
8408b1bffffffff,3.0,0.0,0.0,0.0
8408b27ffffffff,1.0,0.0,0.0,0.0
8408b2bffffffff,2.0,0.0,0.0,0.0
8408b2dffffffff,2.0,0.0,0.0,0.0
8408b31ffffffff,6.0,0.0,0.0,0.0
8408b33ffffffff,13.0,2.0,0.0,0.0
8408b35ffffffff,1.0,0.0,0.0,0.0
8408b37ffffffff,12.0,0.0,0.0,0.0
8408b3bffffffff,2.0,0.0,0.0,0.0
8408b3dffffffff,32.0,4.0,0.0,0.0
8408b41ffffffff,11.0,4.0,0.0,0.0
8408b47ffffffff,4.0,0.0,0.0,0.0
8408b49ffffffff,2.0,0.0,0.0,0.0
8408b4dffffffff,12.0,0.0,0.0,0.0
8408b51ffffffff,9.0,4.0,0.0,0.0
8408b53ffffffff,5.0,0.0,0.0,0.0
8408b57ffffffff,3.0,0.0,0.0,0.0
8408b5bffffffff,4.0,2.0,0.0,0.0
8408b61ffffffff,3.0,0.0,0.0,0.0
8408b63ffffffff,3.0,0.0,0.0,0.0
8408b65ffffffff,3.0,0.0,0.0,0.0
8408b67ffffffff,21.0,7.0,0.0,0.0
8408b6bffffffff,6.0,0.0,0.0,0.0
8408b6dffffffff,1.0,0.0,0.0,0.0
8408c01ffffffff,6.0,0.0,0.0,0.0
8408c07ffffffff,4.0,0.0,0.0,0.0
8408c13ffffffff,2.0,0.0,0.0,0.0
8408c1bffffffff,2.0,2.0,0.0,0.0
8408c21ffffffff,8.0,4.0,0.0,0.0
8408c29ffffffff,18.0,5.0,0.0,0.0
8408c2bffffffff,1.0,0.0,0.0,0.0
8408c31ffffffff,13.0,0.0,0.0,0.0
8408c3dffffffff,6.0,0.0,0.0,0.0
8408c63ffffffff,1.0,0.0,0.0,0.0
8408c6bffffffff,2.0,0.0,0.0,0.0
8408c6dffffffff,2.0,0.0,0.0,0.0
8408c8bffffffff,25.0,0.0,0.0,0.0
8408c8dffffffff,2.0,0.0,0.0,0.0
8408c91ffffffff,3.0,0.0,0.0,0.0
8408c93ffffffff,11.0,1.0,0.0,0.0
8408c95ffffffff,11.0,0.0,0.0,0.0
8408c97ffffffff,36.0,9.0,0.0,0.0
8408c99ffffffff,3.0,1.0,0.0,0.0
8408c9bffffffff,1.0,0.0,0.0,0.0
8408cd3ffffffff,15.0,0.0,0.0,0.0
8408cd5ffffffff,7.0,0.0,0.0,0.0
8408cd7ffffffff,9.0,0.0,0.0,0.0
8408cdbffffffff,1.0,0.0,0.0,0.0
8408ce1ffffffff,23.0,2.0,0.0,0.0
8408cebffffffff,6.0,0.0,0.0,0.0
8408d03ffffffff,2.0,0.0,0.0,0.0
8408d07ffffffff,10.0,2.0,0.0,0.0
8408d19ffffffff,167.0,24.0,0.0,0.0
8408d1bffffffff,1.0,0.0,0.0,0.0
8408d1dffffffff,4.0,0.0,0.0,0.0
8408d21ffffffff,2.0,0.0,0.0,0.0
8408d29ffffffff,2.0,2.0,0.0,0.0
8408d2dffffffff,4.0,0.0,0.0,0.0
8408d31ffffffff,5.0,0.0,0.0,0.0
8408d33ffffffff,2.0,0.0,0.0,0.0
8408d37ffffffff,6.0,0.0,0.0,0.0
8408d41ffffffff,9.0,0.0,0.0,0.0
8408d43ffffffff,7.0,0.0,0.0,0.0
8408d45ffffffff,2.0,0.0,0.0,0.0
8408d49ffffffff,13.0,0.0,0.0,0.0
8408d4bffffffff,13.0,0.0,0.0,0.0
8408d4dffffffff,2.0,0.0,0.0,0.0
8408d51ffffffff,18.0,3.0,0.0,0.0
8408d53ffffffff,2.0,0.0,0.0,0.0
8408d55ffffffff,13.0,0.0,0.0,0.0
8408d57ffffffff,28.0,8.0,0.0,0.0
8408d5dffffffff,11.0,0.0,0.0,0.0
8408d81ffffffff,82.0,14.0,0.0,0.0
8408d83ffffffff,11.0,2.0,0.0,0.0
8408d85ffffffff,15.0,4.0,0.0,0.0
8408d87ffffffff,1.0,0.0,0.0,0.0
8408d8bffffffff,23.0,1.0,0.0,0.0
8408d8dffffffff,9.0,5.0,0.0,0.0
8408da9ffffffff,6.0,2.0,0.0,0.0
8408dbdffffffff,2.0,0.0,0.0,0.0
8408dd9ffffffff,6.0,0.0,0.0,0.0
8408dddffffffff,2.0,0.0,0.0,0.0
8408de1ffffffff,1.0,0.0,0.0,0.0
8408de5ffffffff,2.0,0.0,0.0,0.0
8408de7ffffffff,6.0,0.0,0.0,0.0
8408debffffffff,2.0,0.0,0.0,0.0
8408e13ffffffff,5.0,0.0,0.0,0.0
8408e45ffffffff,2.0,2.0,0.0,0.0
8408e59ffffffff,5.0,0.0,0.0,0.0
8408e99ffffffff,2.0,0.0,0.0,0.0
