cell_id,Glaucidium brasilianum,Glaucidium brasilianum [brasilianum Group],Glaucidium brasilianum tucumanum
824507fffffffff,3.0,0.0,0.0
82450ffffffffff,769.0,769.0,0.0
824527fffffffff,113.0,35.0,0.0
82452ffffffffff,12.0,1.0,0.0
824537fffffffff,1.0,0.0,0.0
824577fffffffff,55.0,55.0,0.0
82480ffffffffff,2.0,1.0,0.0
824887fffffffff,19.0,0.0,0.0
8248b7fffffffff,284.0,2.0,0.0
8248e7fffffffff,2.0,2.0,0.0
824987fffffffff,35.0,18.0,0.0
824997fffffffff,21.0,1.0,0.0
82499ffffffffff,3.0,2.0,0.0
8249a7fffffffff,3.0,3.0,0.0
8249affffffffff,18.0,15.0,0.0
8249b7fffffffff,11.0,11.0,0.0
825f2ffffffffff,4.0,4.0,0.0
825f5ffffffffff,10.0,10.0,0.0
826607fffffffff,3.0,0.0,0.0
82660ffffffffff,5.0,0.0,0.0
82661ffffffffff,8.0,0.0,0.0
82662ffffffffff,18.0,0.0,0.0
8266a7fffffffff,71.0,0.0,0.0
8266b7fffffffff,35.0,9.0,0.0
8266c7fffffffff,1.0,0.0,0.0
8266dffffffffff,7.0,1.0,0.0
82674ffffffffff,1.0,1.0,0.0
82679ffffffffff,1.0,0.0,0.0
826d07fffffffff,7.0,0.0,0.0
826d27fffffffff,19.0,16.0,0.0
826d2ffffffffff,26.0,0.0,0.0
826d37fffffffff,8.0,2.0,0.0
826d6ffffffffff,70.0,18.0,0.0
826d77fffffffff,3.0,3.0,0.0
828157fffffffff,1.0,1.0,0.0
828b27fffffffff,6.0,6.0,0.0
828b67fffffffff,3.0,2.0,0.0
828f47fffffffff,5.0,5.0,0.0
82a957fffffffff,4.0,0.0,0.0
82a967fffffffff,11.0,0.0,0.0
82a96ffffffffff,3.0,0.0,0.0
82b24ffffffffff,244.0,0.0,0.0
82b267fffffffff,4.0,0.0,0.0
82b26ffffffffff,88.0,0.0,0.0
82b347fffffffff,2.0,0.0,2.0
82b34ffffffffff,1.0,0.0,1.0
82b35ffffffffff,1.0,0.0,0.0
82b36ffffffffff,5.0,0.0,5.0
82c2cffffffffff,46.0,0.0,0.0
82c2d7fffffffff,2.0,0.0,0.0
82c2e7fffffffff,1.0,1.0,0.0
82c357fffffffff,1.0,0.0,0.0
