cell_id,Pterodroma hasitata,Pterodroma hasitata (White-faced),Pterodroma hasitata (Dark-faced)
83264bfffffffff,1.0,0.0,0.0
832a00fffffffff,25.0,4.0,0.0
832a01fffffffff,3.0,0.0,0.0
832a02fffffffff,48.0,16.0,0.0
832a05fffffffff,123.0,59.0,0.0
832a10fffffffff,1.0,0.0,0.0
832a15fffffffff,4.0,0.0,0.0
832a18fffffffff,305.0,5.0,0.0
832a19fffffffff,8.0,0.0,1.0
832a1afffffffff,17.0,0.0,0.0
832a1bfffffffff,7.0,0.0,0.0
832a1cfffffffff,300.0,15.0,1.0
832a21fffffffff,1.0,0.0,0.0
832a23fffffffff,2.0,0.0,0.0
832a25fffffffff,1.0,0.0,0.0
832a2cfffffffff,1.0,1.0,0.0
832a2efffffffff,8.0,1.0,0.0
832a89fffffffff,2.0,0.0,0.0
832aa6fffffffff,6.0,0.0,0.0
832aadfffffffff,6.0,0.0,0.0
832ac2fffffffff,1.0,0.0,0.0
832ac6fffffffff,251.0,2.0,4.0
832acafffffffff,2.0,0.0,0.0
832acefffffffff,4.0,0.0,0.0
832ad1fffffffff,2.0,0.0,0.0
832ad8fffffffff,2.0,0.0,0.0
832adcfffffffff,7.0,0.0,0.0
832adefffffffff,2.0,0.0,0.0
832ae4fffffffff,1.0,0.0,0.0
832af0fffffffff,1.0,0.0,0.0
832af4fffffffff,32.0,0.0,0.0
832af5fffffffff,38.0,0.0,0.0
832af6fffffffff,12.0,0.0,0.0
832b2efffffffff,2.0,0.0,0.0
832b9bfffffffff,1.0,0.0,0.0
83351afffffffff,1.0,0.0,0.0
833925fffffffff,1.0,1.0,0.0
834414fffffffff,3.0,0.0,0.0
834486fffffffff,2.0,0.0,0.0
834489fffffffff,113.0,0.0,0.0
83448cfffffffff,44.0,1.0,2.0
83448dfffffffff,11.0,1.0,1.0
83449efffffffff,2.0,0.0,0.0
8344a1fffffffff,1.0,0.0,0.0
8344a5fffffffff,1.0,0.0,0.0
8344a8fffffffff,1.0,0.0,0.0
8344a9fffffffff,1.0,0.0,0.0
8344aafffffffff,8.0,0.0,0.0
8344abfffffffff,144.0,2.0,0.0
8344aefffffffff,14.0,3.0,0.0
8344ccfffffffff,1.0,0.0,0.0
8344cdfffffffff,19.0,0.0,8.0
8344d0fffffffff,2.0,0.0,0.0
8344d2fffffffff,1.0,0.0,0.0
8344d4fffffffff,6.0,0.0,0.0
8344d6fffffffff,136.0,0.0,0.0
8344e0fffffffff,2.0,0.0,0.0
8344f2fffffffff,2.0,0.0,0.0
8344f4fffffffff,12.0,0.0,0.0
8344f6fffffffff,5.0,0.0,0.0
834596fffffffff,2.0,0.0,0.0
834598fffffffff,1.0,0.0,0.0
834890fffffffff,5.0,0.0,0.0
834c8cfffffffff,2.0,0.0,0.0
834c99fffffffff,2.0,0.0,0.0
834c9bfffffffff,1.0,0.0,0.0
834caafffffffff,1.0,1.0,0.0
834cc6fffffffff,1.0,0.0,0.0
834cd0fffffffff,1.0,0.0,0.0
834cd2fffffffff,17.0,0.0,0.0
834cd4fffffffff,2.0,0.0,0.0
834ce3fffffffff,1.0,0.0,0.0
834cf3fffffffff,2.0,0.0,0.0
834cf4fffffffff,3.0,0.0,0.0
835e40fffffffff,1.0,0.0,0.0
835e43fffffffff,8.0,0.0,0.0
835e71fffffffff,4.0,0.0,0.0
836725fffffffff,21.0,2.0,0.0
836726fffffffff,4.0,0.0,0.0
83672afffffffff,2.0,0.0,0.0
836746fffffffff,1.0,0.0,0.0
83676efffffffff,2.0,0.0,0.0
8367a5fffffffff,1.0,0.0,1.0
