cell_id,Todiramphus sacer,Todiramphus sacer [juliae Group],Todiramphus sacer [sacer Group],Todiramphus sacer [solomonis Group],Todiramphus sacer [vitiensis Group],Todiramphus sacer marinus
839a14fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
839a16fffffffff,38.0,0.0,0.0,0.0,0.0,0.0
839a74fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839b0afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839b0cfffffffff,10.0,0.0,2.0,0.0,0.0,0.0
839b19fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
839b41fffffffff,60.0,0.0,0.0,0.0,0.0,0.0
839b42fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
839b43fffffffff,43.0,0.0,0.0,0.0,0.0,0.0
839b45fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
839b4cfffffffff,25.0,0.0,0.0,0.0,0.0,0.0
839b4dfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
839b4efffffffff,18.0,0.0,0.0,0.0,0.0,0.0
839b5cfffffffff,14.0,0.0,0.0,0.0,0.0,0.0
839b5dfffffffff,33.0,0.0,0.0,0.0,0.0,0.0
839b6afffffffff,49.0,0.0,0.0,0.0,0.0,0.0
839b6bfffffffff,82.0,0.0,0.0,0.0,0.0,0.0
839b6efffffffff,4.0,0.0,0.0,0.0,0.0,0.0
839b73fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
839b89fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
839e02fffffffff,101.0,0.0,0.0,0.0,0.0,0.0
839e06fffffffff,48.0,0.0,0.0,0.0,0.0,0.0
839e10fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
839e11fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
839e13fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
839e15fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
839e22fffffffff,117.0,0.0,0.0,0.0,0.0,0.0
839e24fffffffff,277.0,0.0,0.0,0.0,0.0,0.0
839e26fffffffff,69.0,0.0,0.0,0.0,0.0,0.0
839e31fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
839e33fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839e8cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
839eadfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839ec0fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
839ec3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839ed5fffffffff,10.0,0.0,0.0,2.0,0.0,0.0
839ef3fffffffff,4.0,0.0,0.0,2.0,0.0,0.0
