cell_id,Poecile gambeli,Poecile gambeli [gambeli Group],Poecile gambeli [baileyae Group]
8412833ffffffff,1.0,0.0,0.0
8412891ffffffff,1.0,0.0,0.0
8412897ffffffff,2.0,0.0,0.0
84128e7ffffffff,19.0,0.0,0.0
8412ad7ffffffff,10.0,0.0,0.0
8412c11ffffffff,9.0,0.0,0.0
8412c13ffffffff,2.0,0.0,0.0
8412c1bffffffff,8.0,0.0,0.0
8412ca3ffffffff,1.0,1.0,0.0
8412cabffffffff,2.0,2.0,0.0
8412cb5ffffffff,8.0,8.0,0.0
8412cc5ffffffff,1.0,0.0,0.0
8412ccdffffffff,20.0,0.0,0.0
8412ce7ffffffff,2.0,0.0,0.0
8412d35ffffffff,11.0,0.0,0.0
8412d8bffffffff,2.0,0.0,0.0
8412ddbffffffff,7.0,0.0,0.0
8412de7ffffffff,2.0,0.0,0.0
8412e17ffffffff,23.0,5.0,0.0
8412ea5ffffffff,3.0,0.0,0.0
8413821ffffffff,2.0,0.0,0.0
8413823ffffffff,1.0,0.0,0.0
8413829ffffffff,111.0,0.0,0.0
841382bffffffff,7.0,0.0,0.0
841382dffffffff,35.0,0.0,0.0
841383dffffffff,70.0,0.0,0.0
8413861ffffffff,28.0,0.0,0.0
8413865ffffffff,22.0,0.0,0.0
8413867ffffffff,128.0,0.0,0.0
84139c9ffffffff,7.0,0.0,0.0
84139cdffffffff,16.0,0.0,0.0
8413b23ffffffff,2.0,0.0,0.0
8426123ffffffff,2.0,2.0,0.0
84261e7ffffffff,12.0,0.0,0.0
8426801ffffffff,4.0,0.0,0.0
8426803ffffffff,15.0,13.0,0.0
8426809ffffffff,2.0,0.0,0.0
842680bffffffff,2.0,0.0,0.0
842680dffffffff,4.0,0.0,0.0
8426811ffffffff,5.0,0.0,0.0
8426813ffffffff,33.0,0.0,0.0
8426817ffffffff,14.0,0.0,0.0
8426819ffffffff,176.0,0.0,0.0
842681bffffffff,18.0,0.0,0.0
842681dffffffff,2.0,0.0,0.0
842682bffffffff,1.0,0.0,0.0
8426833ffffffff,4.0,0.0,0.0
8426837ffffffff,2.0,0.0,0.0
8426853ffffffff,2.0,0.0,0.0
8426857ffffffff,9.0,0.0,0.0
842685bffffffff,2.0,0.0,0.0
842685dffffffff,1.0,0.0,0.0
8426885ffffffff,8.0,0.0,0.0
8426887ffffffff,11.0,2.0,0.0
842688dffffffff,2.0,0.0,0.0
8426891ffffffff,4.0,2.0,0.0
8426893ffffffff,10.0,0.0,0.0
842689dffffffff,18.0,2.0,0.0
84268a3ffffffff,2.0,0.0,0.0
84268a5ffffffff,1.0,0.0,0.0
84268abffffffff,5.0,0.0,0.0
84268bdffffffff,3.0,1.0,0.0
84268c1ffffffff,11.0,0.0,0.0
84268c5ffffffff,9.0,4.0,0.0
84268c7ffffffff,15.0,0.0,0.0
84268cdffffffff,60.0,2.0,0.0
84268d5ffffffff,21.0,3.0,0.0
84268e1ffffffff,1.0,0.0,0.0
84268e7ffffffff,2.0,0.0,0.0
84268e9ffffffff,2.0,2.0,0.0
84268ebffffffff,8.0,2.0,0.0
84268edffffffff,7.0,4.0,0.0
8426909ffffffff,4.0,0.0,0.0
842690dffffffff,2.0,0.0,0.0
8426943ffffffff,2.0,0.0,0.0
8426963ffffffff,11.0,0.0,0.0
8426967ffffffff,1.0,0.0,0.0
8426969ffffffff,1.0,0.0,0.0
842696bffffffff,364.0,0.0,0.0
