cell_id,Hellmayrea gularis,Hellmayrea gularis gularis,Hellmayrea gularis brunneidorsalis,Hellmayrea gularis cinereiventris,Hellmayrea gularis rufiventris
8466089ffffffff,3.0,0.0,0.0,0.0,0.0
84660b1ffffffff,2.0,0.0,0.0,0.0,0.0
84660bbffffffff,3.0,0.0,0.0,0.0,0.0
84660c3ffffffff,12.0,0.0,0.0,0.0,0.0
84660ddffffffff,4.0,0.0,0.0,0.0,0.0
8466181ffffffff,12.0,0.0,0.0,0.0,0.0
8466187ffffffff,2.0,0.0,0.0,0.0,0.0
846618bffffffff,21.0,0.0,0.0,0.0,0.0
8466191ffffffff,1.0,0.0,0.0,0.0,0.0
8466197ffffffff,1.0,0.0,0.0,0.0,0.0
846619dffffffff,2.0,0.0,0.0,0.0,0.0
84661b1ffffffff,1.0,0.0,0.0,0.0,0.0
84661b9ffffffff,4.0,0.0,0.0,0.0,0.0
84661bbffffffff,89.0,0.0,0.0,0.0,0.0
84661d5ffffffff,4.0,0.0,0.0,0.0,0.0
8466217ffffffff,66.0,0.0,0.0,0.0,0.0
8466291ffffffff,13.0,0.0,0.0,1.0,0.0
8466299ffffffff,5.0,0.0,0.0,0.0,0.0
84662b1ffffffff,15.0,0.0,0.0,6.0,0.0
84662b7ffffffff,2.0,0.0,0.0,0.0,0.0
84662bbffffffff,2.0,0.0,0.0,0.0,0.0
84662edffffffff,1.0,0.0,0.0,0.0,0.0
8466c25ffffffff,11.0,0.0,0.0,0.0,0.0
8466c47ffffffff,4.0,0.0,0.0,0.0,0.0
8466c61ffffffff,14.0,0.0,0.0,0.0,0.0
8466c67ffffffff,6.0,0.0,0.0,0.0,0.0
8466c69ffffffff,31.0,0.0,0.0,0.0,0.0
8466c6dffffffff,3.0,0.0,0.0,0.0,0.0
8466d11ffffffff,3.0,0.0,0.0,0.0,0.0
8466d15ffffffff,6.0,0.0,0.0,0.0,0.0
8466d17ffffffff,2.0,0.0,0.0,0.0,0.0
8466d19ffffffff,5.0,0.0,0.0,0.0,0.0
8466d1dffffffff,4.0,0.0,0.0,0.0,0.0
8466d31ffffffff,629.0,84.0,0.0,0.0,0.0
8466d33ffffffff,43.0,0.0,0.0,0.0,0.0
8466d37ffffffff,3.0,0.0,0.0,0.0,0.0
8466d39ffffffff,7.0,0.0,0.0,0.0,0.0
8466d3bffffffff,3.0,0.0,0.0,0.0,0.0
8466d53ffffffff,3.0,0.0,0.0,0.0,0.0
8466d59ffffffff,1.0,0.0,0.0,0.0,0.0
8466d5bffffffff,1.0,0.0,0.0,0.0,0.0
8466da5ffffffff,1.0,0.0,0.0,0.0,0.0
8466de5ffffffff,11.0,0.0,0.0,0.0,0.0
8466dedffffffff,53.0,0.0,0.0,0.0,0.0
8466e07ffffffff,2.0,0.0,0.0,0.0,0.0
8466e09ffffffff,32.0,0.0,0.0,0.0,0.0
8466e2dffffffff,49.0,0.0,0.0,0.0,0.0
8466e41ffffffff,2.0,0.0,0.0,0.0,0.0
8466e43ffffffff,171.0,0.0,0.0,0.0,0.0
8466e47ffffffff,9.0,0.0,0.0,0.0,0.0
8466e4bffffffff,1.0,0.0,0.0,0.0,0.0
8466e55ffffffff,34.0,0.0,0.0,0.0,0.0
8466e61ffffffff,27.0,0.0,0.0,0.0,0.0
8466e65ffffffff,38.0,1.0,0.0,0.0,0.0
8466e67ffffffff,57.0,0.0,0.0,0.0,0.0
8466e6dffffffff,576.0,25.0,0.0,0.0,0.0
8466f15ffffffff,1.0,0.0,0.0,0.0,0.0
8466f19ffffffff,4.0,0.0,0.0,0.0,0.0
8466f1dffffffff,3.0,0.0,0.0,0.0,0.0
8466f3bffffffff,1.0,0.0,0.0,0.0,0.0
8466f53ffffffff,1.0,0.0,0.0,0.0,0.0
8466f59ffffffff,1.0,0.0,0.0,0.0,0.0
8466f5bffffffff,5.0,0.0,0.0,0.0,0.0
84675a5ffffffff,3.0,0.0,0.0,0.0,0.0
84675adffffffff,45.0,0.0,0.0,0.0,0.0
848f0d3ffffffff,7.0,0.0,0.0,0.0,0.0
848f291ffffffff,4.0,0.0,0.0,0.0,0.0
848f297ffffffff,2.0,0.0,0.0,0.0,0.0
848f29bffffffff,1.0,0.0,0.0,0.0,0.0
848f2d3ffffffff,5.0,0.0,0.0,0.0,0.0
848f4a5ffffffff,30.0,0.0,0.0,0.0,0.0
848f4a7ffffffff,3.0,0.0,0.0,0.0,0.0
848f509ffffffff,2.0,0.0,0.0,0.0,0.0
848f553ffffffff,1.0,0.0,0.0,0.0,0.0
848f559ffffffff,3.0,0.0,0.0,0.0,0.0
848f721ffffffff,63.0,0.0,0.0,0.0,0.0
848f725ffffffff,4.0,0.0,0.0,0.0,0.0
848f729ffffffff,2.0,0.0,0.0,0.0,0.0
848f72dffffffff,15.0,0.0,0.0,0.0,0.0
848f733ffffffff,3.0,0.0,0.0,0.0,0.0
848f765ffffffff,1.0,0.0,0.0,0.0,0.0
848f767ffffffff,58.0,0.0,0.0,0.0,0.0
848f769ffffffff,10.0,0.0,0.0,0.0,0.0
848f76dffffffff,20.0,0.0,0.0,0.0,0.0
