cell_id,Curruca mystacea,Curruca mystacea mystacea,Curruca mystacea rubescens/turcmenica
8420b3bffffffff,1.0,0.0,0.0
8420e39ffffffff,2.0,0.0,0.0
842180dffffffff,2.0,0.0,0.0
8421981ffffffff,7.0,0.0,0.0
8421983ffffffff,8.0,0.0,0.0
8421a27ffffffff,2.0,0.0,0.0
842c003ffffffff,65.0,0.0,0.0
842c00bffffffff,17.0,0.0,0.0
842c011ffffffff,1.0,0.0,0.0
842c013ffffffff,2.0,0.0,0.0
842c015ffffffff,2.0,0.0,0.0
842c01dffffffff,6.0,0.0,0.0
842c035ffffffff,2.0,0.0,0.0
842c043ffffffff,376.0,0.0,0.0
842c057ffffffff,3.0,0.0,0.0
842c065ffffffff,1.0,0.0,0.0
842c081ffffffff,1.0,0.0,0.0
842c085ffffffff,1.0,0.0,0.0
842c09bffffffff,3.0,0.0,0.0
842c0a7ffffffff,2.0,0.0,0.0
842c0b3ffffffff,1.0,0.0,0.0
842c0b5ffffffff,2.0,0.0,0.0
842c0b7ffffffff,2.0,0.0,0.0
842c0bbffffffff,1.0,0.0,0.0
842c0c1ffffffff,21.0,0.0,0.0
842c0c3ffffffff,5.0,0.0,0.0
842c0c7ffffffff,5.0,0.0,0.0
842c0c9ffffffff,15.0,0.0,0.0
842c0cbffffffff,3.0,0.0,0.0
842c103ffffffff,2.0,0.0,0.0
842c105ffffffff,1.0,0.0,0.0
842c109ffffffff,4.0,0.0,0.0
842c10bffffffff,2.0,0.0,0.0
842c11dffffffff,2.0,0.0,0.0
842c123ffffffff,13.0,0.0,0.0
842c12bffffffff,2.0,0.0,0.0
842c141ffffffff,1.0,0.0,0.0
842c145ffffffff,1.0,0.0,0.0
842c15bffffffff,3.0,0.0,0.0
842c193ffffffff,8.0,0.0,0.0
842c197ffffffff,7.0,0.0,0.0
842c1adffffffff,3.0,0.0,0.0
842c1bdffffffff,2.0,0.0,0.0
842c1ddffffffff,15.0,0.0,0.0
842c1edffffffff,20.0,0.0,0.0
842c203ffffffff,2.0,0.0,0.0
842c2a3ffffffff,12.0,0.0,0.0
842c2bdffffffff,2.0,0.0,0.0
842c2e5ffffffff,1.0,0.0,0.0
842c30dffffffff,10.0,0.0,0.0
842c32bffffffff,2.0,0.0,0.0
842c32dffffffff,2.0,0.0,0.0
842c33bffffffff,2.0,0.0,0.0
842c365ffffffff,3.0,0.0,0.0
842c56dffffffff,25.0,0.0,0.0
842c663ffffffff,1.0,0.0,0.0
842c725ffffffff,5.0,0.0,0.0
842c729ffffffff,1.0,0.0,0.0
842c833ffffffff,6.0,0.0,0.0
842c835ffffffff,1.0,0.0,0.0
842c8b7ffffffff,4.0,0.0,0.0
842c903ffffffff,73.0,0.0,0.0
842c911ffffffff,1.0,0.0,0.0
842c915ffffffff,27.0,0.0,0.0
842c917ffffffff,4.0,0.0,0.0
842c931ffffffff,9.0,0.0,0.0
842c933ffffffff,13.0,0.0,0.0
842c935ffffffff,8.0,0.0,0.0
842c937ffffffff,3.0,0.0,0.0
842c93bffffffff,142.0,0.0,0.0
842ca13ffffffff,2.0,0.0,0.0
842cac3ffffffff,9.0,0.0,0.0
842cac9ffffffff,6.0,0.0,0.0
842cacbffffffff,3.0,0.0,0.0
842cacdffffffff,4.0,0.0,0.0
842cc05ffffffff,15.0,0.0,0.0
842cc15ffffffff,15.0,0.0,0.0
842cc2bffffffff,2.0,0.0,0.0
842cc35ffffffff,5.0,0.0,0.0
842cc3dffffffff,2.0,0.0,0.0
842cc65ffffffff,4.0,0.0,0.0
842cc6bffffffff,1.0,0.0,0.0
842cc95ffffffff,1.0,0.0,0.0
842ccb1ffffffff,2.0,0.0,0.0
842ccb7ffffffff,2.0,0.0,0.0
842cce1ffffffff,2.0,0.0,0.0
842cd4bffffffff,77.0,0.0,0.0
842cd5bffffffff,2.0,0.0,0.0
842cd5dffffffff,2.0,0.0,0.0
842cd93ffffffff,1.0,0.0,0.0
842cd9bffffffff,2.0,0.0,0.0
842cdcbffffffff,2.0,0.0,0.0
842cdd5ffffffff,7.0,0.0,0.0
842ce41ffffffff,13.0,0.0,0.0
842ce45ffffffff,2.0,0.0,0.0
842ce49ffffffff,6.0,0.0,0.0
842ce4bffffffff,17.0,0.0,0.0
842ce51ffffffff,2.0,0.0,0.0
842cf07ffffffff,9.0,0.0,0.0
842cf31ffffffff,12.0,0.0,0.0
842cf35ffffffff,53.0,0.0,0.0
842d1a5ffffffff,2.0,0.0,0.0
842d581ffffffff,1.0,0.0,0.0
842d5c3ffffffff,1.0,0.0,0.0
842d849ffffffff,3.0,0.0,0.0
842da17ffffffff,2.0,0.0,0.0
842da81ffffffff,199.0,0.0,0.0
842da89ffffffff,10.0,0.0,0.0
842da8bffffffff,8.0,0.0,0.0
842da8dffffffff,16.0,0.0,0.0
842da9dffffffff,2.0,0.0,0.0
842dab9ffffffff,2.0,0.0,0.0
842dad3ffffffff,5.0,0.0,0.0
842db37ffffffff,1.0,0.0,0.0
8442305ffffffff,2.0,0.0,0.0
8442339ffffffff,3.0,0.0,0.0
844233bffffffff,2.0,0.0,0.0
8443139ffffffff,9.0,0.0,0.0
844313bffffffff,5.0,0.0,0.0
8443163ffffffff,4.0,0.0,0.0
844318dffffffff,2.0,0.0,0.0
84431adffffffff,2.0,0.0,0.0
84431e3ffffffff,20.0,0.0,0.0
84431e9ffffffff,7.0,0.0,0.0
8443319ffffffff,2.0,0.0,0.0
844335bffffffff,1.0,0.0,0.0
8443603ffffffff,15.0,0.0,0.0
8443609ffffffff,9.0,0.0,0.0
844360bffffffff,38.0,0.0,0.0
844361dffffffff,2.0,0.0,0.0
844363dffffffff,2.0,0.0,0.0
8443647ffffffff,1.0,0.0,0.0
8443655ffffffff,2.0,0.0,0.0
844365dffffffff,6.0,0.0,0.0
8443811ffffffff,2.0,0.0,0.0
8443813ffffffff,30.0,0.0,0.0
8443889ffffffff,2.0,0.0,0.0
84438bdffffffff,3.0,0.0,0.0
84438c3ffffffff,2.0,0.0,0.0
84438c9ffffffff,6.0,0.0,0.0
84438cdffffffff,9.0,0.0,0.0
84438e1ffffffff,1.0,0.0,0.0
84438e9ffffffff,1.0,0.0,0.0
8443929ffffffff,10.0,0.0,0.0
8443939ffffffff,4.0,0.0,0.0
8443961ffffffff,3.0,0.0,0.0
844396dffffffff,7.0,0.0,0.0
8443981ffffffff,4.0,0.0,0.0
8443983ffffffff,7.0,0.0,0.0
844399bffffffff,1.0,0.0,0.0
84439d5ffffffff,1.0,0.0,0.0
84439e1ffffffff,1.0,0.0,0.0
84439e3ffffffff,4.0,0.0,0.0
8443a03ffffffff,147.0,0.0,0.0
8443a0dffffffff,1.0,0.0,0.0
8443a11ffffffff,2.0,0.0,0.0
8443a13ffffffff,34.0,0.0,0.0
8443a15ffffffff,1.0,0.0,0.0
8443a17ffffffff,42.0,0.0,0.0
8443a29ffffffff,2.0,0.0,0.0
8443a33ffffffff,3.0,0.0,0.0
8443a39ffffffff,14.0,0.0,0.0
8443a63ffffffff,7.0,0.0,0.0
8443a69ffffffff,13.0,0.0,0.0
8443a6bffffffff,1.0,0.0,0.0
8443a89ffffffff,10.0,0.0,0.0
8443a8dffffffff,24.0,0.0,0.0
8443aa9ffffffff,9.0,0.0,0.0
8443ac1ffffffff,7.0,0.0,0.0
8443ac3ffffffff,55.0,0.0,0.0
8443ac5ffffffff,2.0,0.0,0.0
8443ac7ffffffff,31.0,0.0,0.0
