cell_id,Oxyura ferruginea,Oxyura ferruginea andina,Oxyura ferruginea ferruginea
8366d1fffffffff,19.0,0.0,1.0
8366d3fffffffff,3.0,0.0,0.0
8366defffffffff,8.0,0.0,4.0
8366e0fffffffff,1.0,0.0,0.0
8366e4fffffffff,17.0,6.0,0.0
8366e6fffffffff,62.0,18.0,12.0
838b2cfffffffff,45.0,0.0,45.0
838b61fffffffff,109.0,0.0,109.0
838e62fffffffff,1.0,0.0,0.0
838e64fffffffff,3.0,0.0,3.0
838f08fffffffff,2.0,0.0,0.0
838f09fffffffff,14.0,0.0,0.0
838f0bfffffffff,12.0,0.0,0.0
838f29fffffffff,6.0,0.0,0.0
838f2efffffffff,1.0,0.0,0.0
838f42fffffffff,2.0,0.0,0.0
838f50fffffffff,17.0,0.0,0.0
838f51fffffffff,3.0,0.0,1.0
838f58fffffffff,5.0,0.0,5.0
838f59fffffffff,3.0,0.0,3.0
838f5efffffffff,4.0,0.0,0.0
838f76fffffffff,1.0,0.0,1.0
83b203fffffffff,1.0,0.0,0.0
83b219fffffffff,18.0,0.0,0.0
83b21dfffffffff,1.0,0.0,0.0
83b274fffffffff,1.0,0.0,0.0
83b2c0fffffffff,1.0,0.0,0.0
83b2c3fffffffff,2.0,0.0,0.0
83b2c5fffffffff,59.0,2.0,4.0
83b2c8fffffffff,2.0,0.0,2.0
83b2cafffffffff,7.0,0.0,0.0
83b2ccfffffffff,3.0,0.0,3.0
83b2d9fffffffff,12.0,0.0,0.0
83b2ddfffffffff,4.0,0.0,0.0
83b2e3fffffffff,1.0,0.0,0.0
83b2e6fffffffff,3.0,0.0,0.0
83b2ecfffffffff,1.0,0.0,0.0
83b304fffffffff,1.0,0.0,1.0
83b308fffffffff,4.0,0.0,4.0
83b30bfffffffff,10.0,0.0,0.0
83b320fffffffff,11.0,0.0,11.0
83b322fffffffff,1.0,0.0,0.0
83b325fffffffff,9.0,0.0,9.0
83b32cfffffffff,4.0,0.0,4.0
83b330fffffffff,13.0,0.0,0.0
83b331fffffffff,15.0,0.0,0.0
83b335fffffffff,12.0,0.0,0.0
83b342fffffffff,3.0,0.0,0.0
83b351fffffffff,6.0,0.0,3.0
83b354fffffffff,2.0,0.0,0.0
83b355fffffffff,10.0,0.0,6.0
83b35cfffffffff,1.0,0.0,0.0
83b35efffffffff,1.0,0.0,0.0
83b366fffffffff,11.0,0.0,0.0
83c329fffffffff,1.0,0.0,0.0
83ce85fffffffff,1.0,0.0,0.0
83ce8afffffffff,3.0,0.0,0.0
83ce8efffffffff,17.0,0.0,0.0
83ce99fffffffff,6.0,0.0,0.0
83ce9dfffffffff,48.0,0.0,1.0
83cea3fffffffff,2.0,0.0,2.0
83cea8fffffffff,16.0,0.0,0.0
83ceacfffffffff,6.0,0.0,0.0
83ceaefffffffff,3.0,0.0,0.0
83cf12fffffffff,9.0,0.0,1.0
83cf16fffffffff,4.0,0.0,1.0
83cf8bfffffffff,3.0,0.0,0.0
83cf8cfffffffff,10.0,0.0,0.0
83df69fffffffff,9.0,0.0,0.0
