cell_id,Numenius phaeopus,Numenius phaeopus hudsonicus,Numenius phaeopus phaeopus,Numenius phaeopus alboaxillaris,Numenius phaeopus variegatus/rogachevae,Numenius phaeopus [phaeopus Group]
830123fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830124fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830126fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
830130fffffffff,58.0,0.0,12.0,0.0,0.0,0.0
830131fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
830135fffffffff,250.0,0.0,55.0,0.0,0.0,0.0
8302cafffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8302cefffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8302ddfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830741fffffffff,245.0,0.0,52.0,0.0,0.0,0.0
830742fffffffff,104.0,0.0,44.0,0.0,0.0,0.0
830743fffffffff,472.0,0.0,92.0,0.0,0.0,0.0
830744fffffffff,35.0,0.0,9.0,0.0,0.0,0.0
830745fffffffff,63.0,0.0,18.0,0.0,0.0,0.0
830746fffffffff,643.0,0.0,223.0,0.0,0.0,0.0
83074efffffffff,79.0,0.0,21.0,0.0,0.0,0.0
830751fffffffff,60.0,0.0,9.0,0.0,0.0,0.0
830753fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830755fffffffff,81.0,0.0,35.0,0.0,0.0,0.0
830758fffffffff,282.0,0.0,53.0,0.0,0.0,0.0
83075cfffffffff,334.0,0.0,92.0,0.0,0.0,0.0
83075dfffffffff,674.0,0.0,179.0,0.0,0.0,0.0
83075efffffffff,174.0,0.0,29.0,0.0,0.0,0.0
830762fffffffff,148.0,0.0,58.0,0.0,0.0,0.0
830763fffffffff,83.0,0.0,33.0,0.0,0.0,0.0
830770fffffffff,44.0,0.0,32.0,0.0,0.0,0.0
830771fffffffff,61.0,0.0,12.0,0.0,0.0,0.0
830773fffffffff,575.0,0.0,336.0,0.0,0.0,0.0
830775fffffffff,34.0,0.0,11.0,0.0,0.0,0.0
830802fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830803fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830806fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830810fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
830811fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
830812fffffffff,13.0,0.0,1.0,0.0,0.0,0.0
830814fffffffff,1.0,0.0,1.0,0.0,0.0,0.0
830815fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
830816fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830818fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830819fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83081afffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83081dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83082afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83082bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830833fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830836fffffffff,5.0,0.0,1.0,0.0,0.0,0.0
830880fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830883fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830885fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830886fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830888fffffffff,26.0,0.0,4.0,0.0,0.0,0.0
83088afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83088efffffffff,2.0,0.0,2.0,0.0,0.0,0.0
830890fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
