cell_id,Psalidoprocne albiceps,Psalidoprocne albiceps albiceps,Psalidoprocne albiceps suffusa
846a5a1ffffffff,2.0,0.0,0.0
846a5a9ffffffff,10.0,1.0,0.0
846ac03ffffffff,35.0,5.0,0.0
846ac0bffffffff,16.0,5.0,0.0
846ac11ffffffff,18.0,0.0,0.0
846ac13ffffffff,1.0,0.0,0.0
846ac15ffffffff,209.0,46.0,0.0
846ac17ffffffff,1.0,0.0,0.0
846ac19ffffffff,6.0,4.0,0.0
846ac31ffffffff,26.0,0.0,0.0
846ac35ffffffff,22.0,0.0,0.0
846ac37ffffffff,2.0,0.0,0.0
846ac39ffffffff,11.0,0.0,0.0
846ac3dffffffff,284.0,40.0,0.0
846ac89ffffffff,77.0,17.0,0.0
846ac8dffffffff,3.0,0.0,0.0
846ac93ffffffff,34.0,0.0,0.0
846ac9bffffffff,12.0,0.0,0.0
846acadffffffff,3.0,0.0,0.0
846acc3ffffffff,5.0,0.0,0.0
846acc7ffffffff,6.0,0.0,0.0
846accbffffffff,6.0,0.0,0.0
846acd1ffffffff,3.0,0.0,0.0
846acd5ffffffff,96.0,18.0,0.0
846ace3ffffffff,1.0,0.0,0.0
846ace5ffffffff,281.0,37.0,0.0
846ad81ffffffff,15.0,0.0,0.0
846ad83ffffffff,1.0,0.0,0.0
846ad85ffffffff,1.0,0.0,0.0
846ad89ffffffff,3.0,0.0,0.0
846ad8bffffffff,12.0,0.0,0.0
846ad8dffffffff,17.0,0.0,0.0
846ada9ffffffff,1.0,0.0,0.0
846adc1ffffffff,84.0,5.0,0.0
846adc3ffffffff,21.0,2.0,0.0
846adc5ffffffff,13.0,0.0,0.0
846adc7ffffffff,60.0,3.0,0.0
846adc9ffffffff,78.0,4.0,0.0
846adcdffffffff,1.0,0.0,0.0
846add1ffffffff,5.0,3.0,0.0
846add5ffffffff,2.0,0.0,0.0
846add7ffffffff,8.0,0.0,0.0
846add9ffffffff,4.0,4.0,0.0
846adddffffffff,3.0,3.0,0.0
846ade3ffffffff,1.0,0.0,0.0
846ade7ffffffff,9.0,0.0,0.0
846adebffffffff,10.0,0.0,0.0
846ae85ffffffff,183.0,25.0,0.0
846aea1ffffffff,237.0,33.0,0.0
846aea3ffffffff,13.0,4.0,0.0
846aea5ffffffff,8.0,0.0,0.0
846aea9ffffffff,3.0,2.0,0.0
846aeabffffffff,21.0,5.0,0.0
846aeb5ffffffff,1.0,0.0,0.0
846aee3ffffffff,28.0,3.0,0.0
847a489ffffffff,19.0,0.0,0.0
847a48bffffffff,4.0,0.0,0.0
847a48dffffffff,2.0,0.0,0.0
847a49dffffffff,3.0,0.0,0.0
847a4b5ffffffff,7.0,0.0,0.0
847a4bdffffffff,3.0,0.0,0.0
847a4c1ffffffff,15.0,0.0,0.0
847a4c3ffffffff,4.0,0.0,0.0
847a4c7ffffffff,3.0,0.0,0.0
847a4c9ffffffff,2.0,0.0,0.0
847a4cbffffffff,317.0,0.0,0.0
847a4d1ffffffff,90.0,0.0,0.0
847a4d3ffffffff,3.0,0.0,0.0
847a4d5ffffffff,4.0,0.0,0.0
847a4d7ffffffff,2.0,0.0,0.0
847a4d9ffffffff,19.0,0.0,0.0
847a4dbffffffff,1.0,0.0,0.0
847a4ddffffffff,255.0,0.0,0.0
847a4e3ffffffff,9.0,0.0,0.0
847a603ffffffff,2.0,0.0,0.0
847a60bffffffff,3.0,0.0,0.0
847a613ffffffff,2.0,0.0,0.0
847a61dffffffff,1.0,0.0,0.0
847a643ffffffff,5.0,0.0,0.0
847a681ffffffff,152.0,0.0,0.0
847a683ffffffff,148.0,0.0,0.0
847a685ffffffff,3.0,0.0,0.0
847a687ffffffff,9.0,0.0,0.0
847a689ffffffff,5.0,2.0,0.0
847a68bffffffff,49.0,0.0,0.0
847a695ffffffff,2.0,0.0,0.0
847a69dffffffff,3.0,0.0,0.0
847a6adffffffff,11.0,0.0,0.0
847a6b5ffffffff,9.0,0.0,0.0
847a6b7ffffffff,11.0,0.0,0.0
847a6bbffffffff,6.0,0.0,0.0
847a6cdffffffff,1.0,0.0,0.0
847a6d1ffffffff,33.0,0.0,0.0
847a6d3ffffffff,3.0,0.0,0.0
847a6dbffffffff,6.0,0.0,0.0
847a6e7ffffffff,4.0,0.0,0.0
847a6e9ffffffff,1.0,0.0,0.0
8496101ffffffff,1.0,0.0,0.0
8496131ffffffff,3.0,0.0,0.0
849615dffffffff,7.0,6.0,0.0
8496895ffffffff,1.0,0.0,0.0
84968c9ffffffff,1.0,0.0,0.0
8496901ffffffff,17.0,0.0,0.0
8496903ffffffff,2.0,0.0,0.0
8496921ffffffff,3.0,0.0,0.0
8496925ffffffff,4.0,0.0,0.0
8496931ffffffff,1.0,0.0,0.0
8496933ffffffff,2.0,2.0,0.0
8496935ffffffff,1.0,0.0,0.0
849693dffffffff,4.0,0.0,0.0
84969a1ffffffff,3.0,0.0,0.0
84969a5ffffffff,4.0,0.0,0.0
8496a07ffffffff,2.0,2.0,0.0
8496a2dffffffff,5.0,0.0,0.0
8496a39ffffffff,6.0,0.0,0.0
8496a59ffffffff,4.0,0.0,0.0
8496a5dffffffff,8.0,0.0,0.0
8496ac3ffffffff,2.0,2.0,0.0
8496b0bffffffff,4.0,0.0,0.0
8496b19ffffffff,5.0,0.0,0.0
8496b2bffffffff,2.0,0.0,0.0
8496b53ffffffff,2.0,0.0,0.0
8497895ffffffff,2.0,0.0,0.0
8497a85ffffffff,1.0,0.0,0.0
