cell_id,Edolisoma holopolium,Edolisoma holopolium holopolium,Edolisoma holopolium pygmaeum
827687fffffffff,10.0,0.0,0.0
82768ffffffffff,3.0,0.0,0.0
82769ffffffffff,11.0,0.0,0.0
829edffffffffff,38.0,0.0,0.0
