cell_id,Salpinctes obsoletus,Salpinctes obsoletus [obsoletus Group],Salpinctes obsoletus [guttatus Group]
840e805ffffffff,10.0,0.0,0.0
840edb3ffffffff,1.0,0.0,0.0
8412591ffffffff,2.0,0.0,0.0
8412897ffffffff,1.0,0.0,0.0
8412c1bffffffff,6.0,0.0,0.0
8412c33ffffffff,1.0,0.0,0.0
8412c9bffffffff,3.0,0.0,0.0
8412cadffffffff,17.0,0.0,0.0
8412cc1ffffffff,6.0,0.0,0.0
8412ce5ffffffff,2.0,0.0,0.0
8412d05ffffffff,2.0,0.0,0.0
8412d63ffffffff,2.0,0.0,0.0
8412d69ffffffff,8.0,0.0,0.0
8412d81ffffffff,2.0,0.0,0.0
8412d89ffffffff,1.0,0.0,0.0
8412dbbffffffff,2.0,0.0,0.0
8412dc7ffffffff,4.0,0.0,0.0
8412ddbffffffff,9.0,0.0,0.0
8412de5ffffffff,2.0,2.0,0.0
8412e27ffffffff,1.0,0.0,0.0
8412e87ffffffff,6.0,0.0,0.0
8412e89ffffffff,4.0,0.0,0.0
8412f6dffffffff,4.0,0.0,0.0
842600bffffffff,2.0,0.0,0.0
8426085ffffffff,2.0,0.0,0.0
84260a1ffffffff,7.0,2.0,0.0
84260e7ffffffff,2.0,0.0,0.0
842610dffffffff,7.0,0.0,0.0
842646bffffffff,11.0,0.0,0.0
8426531ffffffff,32.0,0.0,0.0
8426539ffffffff,11.0,0.0,0.0
84265a7ffffffff,26.0,0.0,0.0
84265b5ffffffff,5.0,0.0,0.0
84266adffffffff,22.0,0.0,0.0
84266d5ffffffff,2.0,0.0,0.0
8426733ffffffff,4.0,0.0,0.0
8426813ffffffff,7.0,0.0,0.0
8426815ffffffff,2.0,0.0,0.0
8426819ffffffff,4.0,0.0,0.0
842681bffffffff,10.0,0.0,0.0
8426833ffffffff,3.0,0.0,0.0
8426839ffffffff,1.0,0.0,0.0
8426851ffffffff,2.0,0.0,0.0
8426881ffffffff,3.0,0.0,0.0
8426883ffffffff,2.0,0.0,0.0
8426885ffffffff,2.0,0.0,0.0
8426889ffffffff,5.0,0.0,0.0
842688dffffffff,3.0,0.0,0.0
8426891ffffffff,22.0,0.0,0.0
8426893ffffffff,16.0,0.0,0.0
8426897ffffffff,2.0,0.0,0.0
8426899ffffffff,4.0,0.0,0.0
84268b3ffffffff,2.0,0.0,0.0
84268c5ffffffff,6.0,0.0,0.0
84268c7ffffffff,13.0,0.0,0.0
84268cdffffffff,57.0,0.0,0.0
84268d5ffffffff,5.0,0.0,0.0
84268e1ffffffff,10.0,8.0,0.0
84268e3ffffffff,4.0,0.0,0.0
84268e9ffffffff,2.0,0.0,0.0
84268ebffffffff,2.0,0.0,0.0
8426909ffffffff,2.0,0.0,0.0
8426917ffffffff,4.0,4.0,0.0
842691dffffffff,7.0,0.0,0.0
8426929ffffffff,5.0,0.0,0.0
8426943ffffffff,6.0,0.0,0.0
8426945ffffffff,5.0,0.0,0.0
8426947ffffffff,9.0,0.0,0.0
842694dffffffff,6.0,0.0,0.0
8426951ffffffff,7.0,0.0,0.0
842695bffffffff,2.0,0.0,0.0
8426963ffffffff,16.0,0.0,0.0
8426965ffffffff,5.0,0.0,0.0
8426969ffffffff,25.0,0.0,0.0
842696bffffffff,26.0,0.0,0.0
8426987ffffffff,47.0,0.0,0.0
8426989ffffffff,14.0,0.0,0.0
842698dffffffff,27.0,0.0,0.0
8426991ffffffff,3.0,0.0,0.0
84269a1ffffffff,2.0,0.0,0.0
84269abffffffff,20.0,0.0,0.0
84269b9ffffffff,8.0,0.0,0.0
84269c1ffffffff,11.0,0.0,0.0
84269c3ffffffff,5.0,0.0,0.0
84269cdffffffff,2.0,0.0,0.0
84269d1ffffffff,5.0,0.0,0.0
84269d5ffffffff,6.0,0.0,0.0
84269d9ffffffff,1.0,0.0,0.0
84269dbffffffff,6.0,0.0,0.0
84269e9ffffffff,1.0,0.0,0.0
8426a15ffffffff,7.0,0.0,0.0
8426a1bffffffff,1.0,0.0,0.0
8426a33ffffffff,3.0,0.0,0.0
8426a59ffffffff,1.0,0.0,0.0
8426a81ffffffff,1.0,0.0,0.0
8426a87ffffffff,14.0,0.0,0.0
8426a8bffffffff,1.0,0.0,0.0
8426a93ffffffff,1.0,0.0,0.0
8426a97ffffffff,4.0,0.0,0.0
8426a9dffffffff,2.0,0.0,0.0
8426aa5ffffffff,16.0,0.0,0.0
8426aa7ffffffff,6.0,0.0,0.0
8426aa9ffffffff,14.0,0.0,0.0
8426aabffffffff,2.0,0.0,0.0
8426ab3ffffffff,2.0,0.0,0.0
8426ab7ffffffff,6.0,0.0,0.0
8426abbffffffff,5.0,0.0,0.0
8426abdffffffff,1.0,0.0,0.0
8426ac5ffffffff,6.0,0.0,0.0
8426ae3ffffffff,3.0,0.0,0.0
8426b5dffffffff,2.0,0.0,0.0
8426c09ffffffff,2.0,2.0,0.0
8426c1bffffffff,2.0,0.0,0.0
8426c45ffffffff,6.0,0.0,0.0
8426c4dffffffff,6.0,0.0,0.0
8426c53ffffffff,1.0,0.0,0.0
8426c85ffffffff,4.0,0.0,0.0
8426c87ffffffff,22.0,0.0,0.0
8426ca1ffffffff,2.0,0.0,0.0
8426ca3ffffffff,3.0,0.0,0.0
8426cabffffffff,1.0,0.0,0.0
8426cbbffffffff,5.0,0.0,0.0
8426cbdffffffff,4.0,0.0,0.0
8426d15ffffffff,4.0,2.0,0.0
8426d23ffffffff,3.0,0.0,0.0
8426d25ffffffff,2.0,0.0,0.0
8426d3dffffffff,4.0,0.0,0.0
8426d45ffffffff,2.0,0.0,0.0
8426d49ffffffff,73.0,0.0,0.0
8426d4bffffffff,24.0,0.0,0.0
8426d9bffffffff,2.0,0.0,0.0
8426dbdffffffff,2.0,0.0,0.0
8426de1ffffffff,2.0,0.0,0.0
8426de7ffffffff,6.0,0.0,0.0
8426de9ffffffff,2.0,0.0,0.0
8426e21ffffffff,11.0,0.0,0.0
8426e23ffffffff,1.0,0.0,0.0
8426e2dffffffff,3.0,0.0,0.0
8426e43ffffffff,3.0,0.0,0.0
8426e5bffffffff,8.0,0.0,0.0
8426e67ffffffff,30.0,0.0,0.0
8426e69ffffffff,4.0,0.0,0.0
