cell_id,Junco hyemalis,Junco hyemalis hyemalis/carolinensis,Junco hyemalis cismontanus,Junco hyemalis [oreganus Group],Junco hyemalis mearnsi,Junco hyemalis aikeni,Junco hyemalis caniceps,Junco hyemalis dorsalis,Junco hyemalis hyemalis/carolinensis/cismontanus,Junco hyemalis [oreganus Group] x mearnsi,Junco hyemalis mearnsi x aikeni,Junco hyemalis [oreganus Group] x caniceps,Junco hyemalis mearnsi x caniceps,Junco hyemalis caniceps x dorsalis
820f5ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82120ffffffffff,31.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821217fffffffff,181.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82121ffffffffff,410.0,69.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821227fffffffff,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82122ffffffffff,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,45.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821247fffffffff,48.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82124ffffffffff,69.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,645.0,168.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82125ffffffffff,1042.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821267fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82126ffffffffff,33.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821277fffffffff,309.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821287fffffffff,1151.0,15.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,1731.0,7.0,0.0,807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821297fffffffff,363.0,1.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82129ffffffffff,324.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212a7fffffffff,96.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,2959.0,165.0,30.0,340.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,1942.0,99.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,6391.0,129.0,19.0,691.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,12567.0,734.0,0.0,1524.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212d7fffffffff,7393.0,182.0,22.0,2184.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,13094.0,348.0,32.0,2569.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
8212e7fffffffff,693.0,61.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8212effffffffff,3798.0,499.0,3.0,69.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
8212f7fffffffff,2017.0,34.0,0.0,205.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
821307fffffffff,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821317fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821337fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82134ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821357fffffffff,366.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82135ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,5300.0,2903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82138ffffffffff,716.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,1080.0,127.0,2.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82139ffffffffff,3955.0,282.0,19.0,1738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8213a7fffffffff,140.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8213affffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8213b7fffffffff,745.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,9694.0,3771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821ab7fffffffff,64.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821b87fffffffff,84.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821b8ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821b97fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821b9ffffffffff,1013.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821bb7fffffffff,51.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821d27fffffffff,215.0,2.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8222dffffffffff,92.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822607fffffffff,2482.0,754.0,19.0,58.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
82260ffffffffff,6267.0,1245.0,15.0,99.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
822617fffffffff,1145.0,123.0,6.0,47.0,15.0,240.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
82261ffffffffff,1446.0,239.0,4.0,48.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
822627fffffffff,8993.0,1109.0,45.0,129.0,2.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
82262ffffffffff,11328.0,1636.0,77.0,24.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0
822637fffffffff,778.0,309.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822647fffffffff,11767.0,2996.0,19.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
82264ffffffffff,7077.0,1292.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
822657fffffffff,22398.0,4171.0,66.0,120.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
82265ffffffffff,8792.0,1783.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822667fffffffff,37392.0,9168.0,208.0,6.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0
