cell_id,Anarhynchus nivosus,Anarhynchus nivosus nivosus,Anarhynchus nivosus occidentalis
82268ffffffffff,673.0,0.0,0.0
822697fffffffff,1170.0,0.0,0.0
8226c7fffffffff,173.0,0.0,0.0
8226cffffffffff,23.0,0.0,0.0
8226d7fffffffff,12.0,0.0,0.0
8226dffffffffff,233.0,0.0,0.0
8226e7fffffffff,2062.0,0.0,0.0
8226f7fffffffff,393.0,0.0,0.0
822807fffffffff,674.0,0.0,0.0
822817fffffffff,29.0,0.0,0.0
82281ffffffffff,622.0,0.0,0.0
822837fffffffff,5803.0,234.0,0.0
8228a7fffffffff,5.0,0.0,0.0
8228affffffffff,329.0,0.0,0.0
8228b7fffffffff,211.0,0.0,0.0
8228c7fffffffff,512.0,0.0,0.0
8228f7fffffffff,543.0,0.0,0.0
822917fffffffff,1864.0,0.0,0.0
82291ffffffffff,359.0,23.0,0.0
822987fffffffff,85.0,0.0,0.0
82298ffffffffff,154.0,0.0,0.0
822997fffffffff,16.0,0.0,0.0
82299ffffffffff,78.0,0.0,0.0
8229a7fffffffff,7972.0,0.0,0.0
8229affffffffff,1753.0,0.0,0.0
8229b7fffffffff,19.0,0.0,0.0
824417fffffffff,1673.0,39.0,0.0
82441ffffffffff,2409.0,41.0,0.0
824427fffffffff,73.0,0.0,0.0
824447fffffffff,41.0,0.0,0.0
824457fffffffff,2913.0,0.0,0.0
824467fffffffff,717.0,0.0,0.0
82446ffffffffff,3998.0,0.0,0.0
824477fffffffff,466.0,0.0,0.0
8244a7fffffffff,1.0,0.0,0.0
8244e7fffffffff,778.0,0.0,0.0
82450ffffffffff,856.0,97.0,0.0
82451ffffffffff,5.0,0.0,0.0
824557fffffffff,4.0,0.0,0.0
824577fffffffff,313.0,30.0,0.0
824807fffffffff,130.0,0.0,0.0
82480ffffffffff,74.0,0.0,0.0
824827fffffffff,92.0,0.0,0.0
82482ffffffffff,113.0,0.0,0.0
824837fffffffff,180.0,11.0,0.0
824847fffffffff,20.0,0.0,0.0
82484ffffffffff,4.0,0.0,0.0
824857fffffffff,98.0,0.0,0.0
82485ffffffffff,854.0,0.0,0.0
824877fffffffff,183.0,0.0,0.0
824887fffffffff,8.0,0.0,0.0
82488ffffffffff,219.0,0.0,0.0
824897fffffffff,1761.0,0.0,0.0
82489ffffffffff,30.0,0.0,0.0
8248a7fffffffff,8.0,0.0,0.0
8248affffffffff,3.0,0.0,0.0
8248b7fffffffff,1327.0,0.0,0.0
8248c7fffffffff,163.0,0.0,0.0
8248d7fffffffff,577.0,0.0,0.0
8248f7fffffffff,7.0,0.0,0.0
824987fffffffff,16.0,0.0,0.0
824997fffffffff,203.0,0.0,0.0
8249a7fffffffff,3.0,0.0,0.0
8249affffffffff,109.0,0.0,0.0
8249b7fffffffff,8.0,0.0,0.0
824c87fffffffff,43.0,0.0,0.0
824c8ffffffffff,38.0,0.0,0.0
824c97fffffffff,4.0,0.0,0.0
824caffffffffff,51.0,0.0,0.0
824cc7fffffffff,510.0,0.0,0.0
824cd7fffffffff,81.0,0.0,0.0
824ceffffffffff,67.0,0.0,0.0
824d4ffffffffff,68.0,0.0,0.0
825e67fffffffff,2.0,0.0,0.0
825f4ffffffffff,39.0,0.0,0.0
826627fffffffff,65.0,0.0,0.0
8266d7fffffffff,1.0,0.0,0.0
826727fffffffff,4.0,0.0,0.0
826747fffffffff,212.0,4.0,0.0
826757fffffffff,135.0,0.0,0.0
82676ffffffffff,8.0,0.0,0.0
826d07fffffffff,176.0,6.0,0.0
826d17fffffffff,31.0,0.0,0.0
826d27fffffffff,127.0,0.0,0.0
826d37fffffffff,60.0,0.0,0.0
826d67fffffffff,26.0,0.0,0.0
826d77fffffffff,53.0,0.0,0.0
828e27fffffffff,2.0,0.0,0.0
828e47fffffffff,307.0,0.0,0.0
828e67fffffffff,153.0,0.0,0.0
828e6ffffffffff,31.0,0.0,0.0
828e77fffffffff,75.0,0.0,0.0
828f0ffffffffff,155.0,0.0,2.0
828f2ffffffffff,235.0,0.0,4.0
828f57fffffffff,478.0,0.0,0.0
828f5ffffffffff,86.0,0.0,0.0
82b207fffffffff,216.0,0.0,0.0
82b21ffffffffff,653.0,0.0,0.0
82b227fffffffff,105.0,0.0,0.0
82b2c7fffffffff,682.0,0.0,5.0
82b2dffffffffff,11.0,0.0,0.0
82b2e7fffffffff,405.0,0.0,0.0
82b307fffffffff,101.0,0.0,0.0
82b31ffffffffff,19.0,0.0,0.0
82b337fffffffff,60.0,0.0,0.0
82ce8ffffffffff,2.0,0.0,0.0
82ceaffffffffff,53.0,0.0,0.0
