cell_id,Nisaetus nipalensis,Nisaetus nipalensis nipalensis,Nisaetus nipalensis orientalis
823c07fffffffff,146.0,0.0,0.0
823c0ffffffffff,368.0,0.0,0.0
823c17fffffffff,4.0,0.0,0.0
823c1ffffffffff,356.0,0.0,0.0
823c37fffffffff,51.0,0.0,0.0
823c57fffffffff,373.0,0.0,0.0
823c5ffffffffff,198.0,0.0,0.0
823cc7fffffffff,21.0,0.0,0.0
823ccffffffffff,1.0,0.0,0.0
823cdffffffffff,23.0,0.0,0.0
823ce7fffffffff,547.0,0.0,0.0
823ceffffffffff,139.0,0.0,0.0
823d17fffffffff,496.0,0.0,0.0
823d1ffffffffff,173.0,0.0,0.0
823d37fffffffff,50.0,0.0,0.0
823daffffffffff,970.0,0.0,0.0
824017fffffffff,1.0,0.0,0.0
824027fffffffff,2.0,0.0,0.0
824047fffffffff,1.0,0.0,0.0
82404ffffffffff,53.0,0.0,0.0
82405ffffffffff,4.0,0.0,0.0
824067fffffffff,1.0,0.0,0.0
82406ffffffffff,2.0,0.0,0.0
82408ffffffffff,11.0,0.0,0.0
8240c7fffffffff,27.0,0.0,0.0
8240e7fffffffff,1.0,0.0,0.0
8240effffffffff,23.0,0.0,0.0
82411ffffffffff,6.0,0.0,0.0
824147fffffffff,10.0,0.0,0.0
82414ffffffffff,7.0,0.0,0.0
82415ffffffffff,4.0,0.0,0.0
824167fffffffff,12.0,0.0,0.0
82416ffffffffff,5.0,0.0,0.0
824177fffffffff,6.0,0.0,0.0
824187fffffffff,3.0,0.0,0.0
824197fffffffff,6.0,0.0,0.0
8241affffffffff,2.0,0.0,0.0
8241b7fffffffff,13.0,0.0,0.0
824b87fffffffff,94.0,0.0,0.0
824ba7fffffffff,1305.0,0.0,0.0
824bb7fffffffff,65.0,0.0,0.0
826417fffffffff,107.0,2.0,0.0
826437fffffffff,1.0,0.0,0.0
826487fffffffff,50.0,0.0,0.0
82648ffffffffff,4.0,0.0,0.0
826497fffffffff,250.0,0.0,0.0
8264a7fffffffff,48.0,0.0,0.0
8264b7fffffffff,10.0,0.0,0.0
82651ffffffffff,6.0,0.0,0.0
826587fffffffff,67.0,0.0,0.0
82658ffffffffff,9.0,0.0,0.0
826597fffffffff,3.0,0.0,0.0
82659ffffffffff,158.0,0.0,0.0
8265b7fffffffff,90.0,0.0,0.0
826937fffffffff,9.0,0.0,0.0
