cell_id,Ploceus baglafecht,Ploceus baglafecht [baglafecht Group],Ploceus baglafecht emini,Ploceus baglafecht reichenowi,Ploceus baglafecht [stuhlmanni Group]
825287fffffffff,41.0,10.0,0.0,0.0,0.0
82528ffffffffff,2.0,0.0,0.0,0.0,0.0
825297fffffffff,22.0,3.0,0.0,0.0,0.0
82529ffffffffff,507.0,58.0,0.0,0.0,0.0
8252a7fffffffff,1.0,0.0,0.0,0.0,0.0
8258cffffffffff,3.0,0.0,0.0,0.0,0.0
8258dffffffffff,9.0,0.0,0.0,0.0,0.0
826a4ffffffffff,7.0,0.0,0.0,0.0,0.0
826a5ffffffffff,2.0,0.0,0.0,0.0,0.0
826a67fffffffff,2.0,2.0,0.0,0.0,0.0
826a6ffffffffff,5.0,0.0,0.0,0.0,0.0
826ac7fffffffff,266.0,0.0,0.0,0.0,0.0
826acffffffffff,230.0,0.0,0.0,0.0,0.0
826adffffffffff,1415.0,18.0,0.0,0.0,1.0
826aeffffffffff,127.0,1.0,0.0,0.0,0.0
827a47fffffffff,965.0,0.0,0.0,5.0,0.0
827a4ffffffffff,588.0,0.0,0.0,0.0,0.0
827a67fffffffff,450.0,0.0,0.0,35.0,0.0
827a6ffffffffff,2279.0,0.0,0.0,0.0,0.0
827ac7fffffffff,5.0,1.0,0.0,0.0,0.0
827acffffffffff,595.0,108.0,0.0,0.0,0.0
827adffffffffff,26.0,0.0,0.0,0.0,0.0
827aeffffffffff,24.0,0.0,0.0,0.0,0.0
827b4ffffffffff,121.0,0.0,0.0,26.0,0.0
829687fffffffff,3.0,0.0,0.0,0.0,0.0
82968ffffffffff,1.0,0.0,0.0,0.0,0.0
829697fffffffff,1519.0,0.0,0.0,324.0,0.0
8296a7fffffffff,56.0,0.0,0.0,0.0,0.0
8296b7fffffffff,16.0,0.0,0.0,0.0,0.0
