cell_id,Caracara plancus,Caracara plancus cheriway,Caracara plancus plancus
82128ffffffffff,2.0,2.0,0.0
8212f7fffffffff,9.0,9.0,0.0
82265ffffffffff,3.0,3.0,0.0
822677fffffffff,1.0,0.0,0.0
82268ffffffffff,1.0,1.0,0.0
8226cffffffffff,85.0,75.0,0.0
8226dffffffffff,54.0,43.0,0.0
822747fffffffff,83.0,79.0,0.0
822757fffffffff,2.0,0.0,0.0
822767fffffffff,20.0,20.0,0.0
822807fffffffff,1.0,1.0,0.0
82281ffffffffff,32.0,30.0,0.0
822837fffffffff,58.0,55.0,0.0
822897fffffffff,2.0,2.0,0.0
8228c7fffffffff,2.0,2.0,0.0
8228d7fffffffff,25.0,25.0,0.0
8228f7fffffffff,2.0,2.0,0.0
822917fffffffff,6.0,6.0,0.0
82291ffffffffff,36.0,36.0,0.0
8229a7fffffffff,33.0,23.0,0.0
8229affffffffff,1.0,1.0,0.0
8229b7fffffffff,24.0,22.0,0.0
822a17fffffffff,70.0,66.0,0.0
822a37fffffffff,33.0,33.0,0.0
822aaffffffffff,95.0,91.0,0.0
822af7fffffffff,27.0,27.0,0.0
822b07fffffffff,9.0,6.0,0.0
822b0ffffffffff,7.0,7.0,0.0
822b1ffffffffff,15.0,12.0,0.0
822b8ffffffffff,19.0,19.0,0.0
822baffffffffff,15.0,15.0,0.0
824417fffffffff,33.0,27.0,0.0
82441ffffffffff,41.0,26.0,0.0
824447fffffffff,86.0,82.0,0.0
82444ffffffffff,14.0,13.0,0.0
824457fffffffff,2.0,2.0,0.0
82446ffffffffff,63.0,63.0,0.0
824477fffffffff,38.0,38.0,0.0
8244a7fffffffff,33.0,33.0,0.0
8244affffffffff,455.0,380.0,0.0
8244d7fffffffff,8.0,6.0,0.0
8244e7fffffffff,13.0,13.0,0.0
8244f7fffffffff,6.0,0.0,0.0
824507fffffffff,4.0,4.0,0.0
82450ffffffffff,1.0,1.0,0.0
824527fffffffff,20.0,10.0,0.0
82452ffffffffff,42.0,34.0,0.0
824537fffffffff,14.0,10.0,0.0
82458ffffffffff,2.0,2.0,0.0
82459ffffffffff,2.0,2.0,0.0
82482ffffffffff,13.0,13.0,0.0
824847fffffffff,3.0,3.0,0.0
824857fffffffff,25.0,14.0,0.0
82485ffffffffff,24.0,23.0,0.0
824877fffffffff,2.0,2.0,0.0
824887fffffffff,43.0,41.0,0.0
82488ffffffffff,39.0,20.0,0.0
824897fffffffff,119.0,90.0,0.0
82489ffffffffff,91.0,71.0,0.0
8248affffffffff,2.0,2.0,0.0
8248b7fffffffff,13.0,8.0,0.0
8248c7fffffffff,29.0,25.0,0.0
8248dffffffffff,2.0,1.0,0.0
8248e7fffffffff,1.0,0.0,0.0
8248effffffffff,706.0,467.0,0.0
824987fffffffff,1.0,1.0,0.0
824997fffffffff,23.0,14.0,0.0
82499ffffffffff,4.0,2.0,0.0
825f17fffffffff,3.0,3.0,0.0
825f5ffffffffff,205.0,176.0,0.0
826617fffffffff,11.0,5.0,0.0
82661ffffffffff,2.0,2.0,0.0
826627fffffffff,1.0,1.0,0.0
826647fffffffff,14.0,14.0,0.0
82664ffffffffff,2.0,2.0,0.0
826677fffffffff,4.0,4.0,0.0
8266a7fffffffff,19.0,14.0,0.0
8266b7fffffffff,292.0,209.0,0.0
8266d7fffffffff,6.0,6.0,0.0
8266dffffffffff,16.0,6.0,0.0
826747fffffffff,26.0,25.0,0.0
82674ffffffffff,2.0,0.0,0.0
826757fffffffff,7.0,2.0,0.0
82675ffffffffff,2.0,2.0,0.0
826777fffffffff,6.0,6.0,0.0
82679ffffffffff,12.0,10.0,0.0
826d07fffffffff,4.0,3.0,0.0
826d27fffffffff,195.0,195.0,0.0
826d2ffffffffff,24.0,24.0,0.0
826d37fffffffff,16.0,14.0,0.0
826d67fffffffff,53.0,53.0,0.0
826d6ffffffffff,774.0,766.0,0.0
826d77fffffffff,8.0,1.0,0.0
828027fffffffff,2.0,0.0,2.0
82806ffffffffff,4.0,0.0,0.0
828137fffffffff,2.0,0.0,0.0
82819ffffffffff,1.0,0.0,1.0
828a6ffffffffff,3.0,0.0,3.0
828a77fffffffff,4.0,0.0,4.0
828a8ffffffffff,3.0,3.0,0.0
828aaffffffffff,6.0,0.0,6.0
828af7fffffffff,55.0,55.0,0.0
828b27fffffffff,5.0,0.0,2.0
828b67fffffffff,29.0,0.0,26.0
828b6ffffffffff,3.0,0.0,3.0
828e67fffffffff,15.0,0.0,10.0
828f0ffffffffff,2.0,2.0,0.0
828f2ffffffffff,4.0,4.0,0.0
828f47fffffffff,17.0,0.0,11.0
828f4ffffffffff,17.0,0.0,12.0
828f57fffffffff,1.0,1.0,0.0
828f77fffffffff,1.0,0.0,0.0
82a597fffffffff,4.0,0.0,0.0
82a807fffffffff,2.0,0.0,0.0
82a827fffffffff,3.0,0.0,0.0
82a82ffffffffff,2.0,0.0,0.0
82a847fffffffff,12.0,0.0,0.0
82a857fffffffff,4.0,0.0,0.0
82a85ffffffffff,4.0,0.0,4.0
82a8affffffffff,2.0,0.0,0.0
82a8d7fffffffff,2.0,0.0,0.0
82a91ffffffffff,1.0,0.0,1.0
82a92ffffffffff,1.0,0.0,1.0
82a947fffffffff,1.0,0.0,1.0
82a957fffffffff,620.0,0.0,620.0
82a967fffffffff,121.0,0.0,121.0
82a96ffffffffff,75.0,0.0,75.0
82b207fffffffff,67.0,0.0,51.0
82b21ffffffffff,12.0,0.0,12.0
82b24ffffffffff,1650.0,0.0,828.0
82b257fffffffff,11.0,0.0,11.0
82b25ffffffffff,1.0,0.0,0.0
82b267fffffffff,9.0,0.0,9.0
82b26ffffffffff,561.0,0.0,481.0
82b277fffffffff,8.0,0.0,0.0
82b2c7fffffffff,66.0,0.0,34.0
82b2cffffffffff,1.0,0.0,1.0
82b2e7fffffffff,9.0,0.0,9.0
82b2effffffffff,5.0,0.0,4.0
82b31ffffffffff,17.0,0.0,17.0
82b32ffffffffff,2.0,0.0,2.0
82b35ffffffffff,3.0,0.0,0.0
82c21ffffffffff,2.0,0.0,0.0
82c2c7fffffffff,30.0,0.0,28.0
82c2cffffffffff,743.0,0.0,616.0
82c2e7fffffffff,855.0,0.0,850.0
82c2effffffffff,195.0,0.0,186.0
82c2f7fffffffff,15.0,0.0,10.0
82c34ffffffffff,54.0,0.0,54.0
82c36ffffffffff,2.0,0.0,2.0
82ce87fffffffff,9.0,0.0,9.0
82ce8ffffffffff,8.0,0.0,5.0
82ce9ffffffffff,1.0,0.0,1.0
82cf17fffffffff,11.0,0.0,11.0
82cf37fffffffff,6.0,0.0,3.0
82cfa7fffffffff,2.0,0.0,2.0
82df47fffffffff,4.0,0.0,1.0
82df6ffffffffff,17.0,0.0,14.0
