cell_id,Copsychus malabaricus,Copsychus malabaricus [malabaricus Group],Copsychus malabaricus ngae,Copsychus malabaricus [melanurus Group]
843c02dffffffff,3.0,0.0,0.0,0.0
843c065ffffffff,6.0,0.0,0.0,0.0
843c0a5ffffffff,15.0,0.0,0.0,0.0
843c159ffffffff,195.0,10.0,0.0,0.0
843c15bffffffff,3.0,0.0,0.0,0.0
843c199ffffffff,207.0,0.0,0.0,0.0
843c19bffffffff,80.0,0.0,0.0,0.0
843c19dffffffff,4.0,0.0,0.0,0.0
843c1c3ffffffff,57.0,0.0,0.0,0.0
843c1c9ffffffff,1.0,0.0,0.0,0.0
843c1d3ffffffff,3.0,0.0,0.0,0.0
843c1d7ffffffff,12.0,0.0,0.0,0.0
843c329ffffffff,4.0,0.0,0.0,0.0
843c333ffffffff,15.0,0.0,0.0,0.0
843c337ffffffff,6.0,0.0,0.0,0.0
843c369ffffffff,43.0,0.0,0.0,0.0
843c36bffffffff,9.0,0.0,0.0,0.0
843c525ffffffff,6.0,0.0,0.0,0.0
843c527ffffffff,1.0,0.0,0.0,0.0
843c537ffffffff,3.0,0.0,0.0,0.0
843c581ffffffff,74.0,0.0,0.0,0.0
843c585ffffffff,4.0,0.0,0.0,0.0
843c587ffffffff,2.0,0.0,0.0,0.0
843c58dffffffff,2.0,0.0,0.0,0.0
843c5a1ffffffff,448.0,0.0,0.0,0.0
843c5a9ffffffff,56.0,0.0,0.0,0.0
843c5abffffffff,15.0,0.0,0.0,0.0
843c5adffffffff,64.0,0.0,0.0,0.0
843c5b7ffffffff,4.0,0.0,0.0,0.0
843c5bdffffffff,34.0,0.0,0.0,0.0
843c5e3ffffffff,9.0,0.0,0.0,0.0
843c5e5ffffffff,4.0,0.0,0.0,0.0
843c801ffffffff,14.0,0.0,0.0,0.0
843c80bffffffff,3.0,0.0,0.0,0.0
843c80dffffffff,4.0,0.0,0.0,0.0
843c817ffffffff,2.0,0.0,0.0,0.0
843c823ffffffff,3.0,0.0,0.0,0.0
843c831ffffffff,8.0,0.0,0.0,0.0
843c837ffffffff,6.0,0.0,0.0,0.0
843c839ffffffff,40.0,0.0,0.0,0.0
843c83bffffffff,4.0,0.0,0.0,0.0
843c843ffffffff,1.0,0.0,0.0,0.0
843c857ffffffff,1.0,0.0,0.0,0.0
843c8c1ffffffff,23.0,0.0,0.0,0.0
843c8c7ffffffff,133.0,0.0,0.0,0.0
843c8c9ffffffff,6.0,0.0,0.0,0.0
843c8cbffffffff,67.0,0.0,0.0,0.0
843c8e1ffffffff,11.0,0.0,0.0,0.0
843c8e5ffffffff,60.0,0.0,0.0,0.0
843c8edffffffff,100.0,0.0,0.0,0.0
843c903ffffffff,1.0,0.0,0.0,0.0
843c905ffffffff,2.0,0.0,0.0,0.0
843c909ffffffff,274.0,0.0,0.0,0.0
843c90dffffffff,1.0,0.0,0.0,0.0
843c921ffffffff,8.0,0.0,0.0,0.0
843c929ffffffff,65.0,0.0,0.0,0.0
843c92bffffffff,20.0,0.0,0.0,0.0
843c92dffffffff,73.0,0.0,0.0,0.0
843c931ffffffff,2.0,0.0,0.0,0.0
843c939ffffffff,2.0,0.0,0.0,0.0
843c943ffffffff,64.0,0.0,0.0,0.0
843c945ffffffff,9.0,0.0,0.0,0.0
843c947ffffffff,213.0,0.0,0.0,0.0
843c94bffffffff,1.0,0.0,0.0,0.0
843c953ffffffff,9.0,0.0,0.0,0.0
843c95bffffffff,3.0,0.0,0.0,0.0
843c967ffffffff,118.0,0.0,0.0,0.0
843ca01ffffffff,2.0,0.0,0.0,0.0
843ca15ffffffff,2.0,0.0,0.0,0.0
843ca25ffffffff,5.0,0.0,0.0,0.0
843ca2dffffffff,2.0,0.0,0.0,0.0
843ca67ffffffff,2.0,0.0,0.0,0.0
843ca85ffffffff,1.0,0.0,0.0,0.0
843ca93ffffffff,2.0,0.0,0.0,0.0
843cab1ffffffff,23.0,0.0,0.0,0.0
843cabbffffffff,1.0,0.0,0.0,0.0
843cabdffffffff,13.0,0.0,0.0,0.0
843cb09ffffffff,3.0,0.0,0.0,0.0
843cb13ffffffff,7.0,0.0,0.0,0.0
843cb15ffffffff,2.0,0.0,0.0,0.0
843cb23ffffffff,2.0,0.0,0.0,0.0
843cb35ffffffff,3.0,0.0,0.0,0.0
843cb39ffffffff,23.0,0.0,0.0,0.0
843cb3dffffffff,4.0,0.0,0.0,0.0
843cb45ffffffff,8.0,0.0,0.0,0.0
843cb47ffffffff,1.0,0.0,0.0,0.0
843cb4bffffffff,1.0,0.0,0.0,0.0
843cb4dffffffff,13.0,0.0,0.0,0.0
843cb51ffffffff,2.0,0.0,0.0,0.0
843cb59ffffffff,39.0,0.0,0.0,0.0
843cb5dffffffff,516.0,0.0,0.0,0.0
843cb65ffffffff,4.0,0.0,0.0,0.0
843cb6bffffffff,14.0,0.0,0.0,0.0
843cc01ffffffff,8.0,0.0,0.0,0.0
843cc03ffffffff,2.0,0.0,0.0,0.0
843cc05ffffffff,12.0,0.0,0.0,0.0
843cc07ffffffff,11.0,0.0,0.0,0.0
843cc09ffffffff,2.0,0.0,0.0,0.0
843cc0bffffffff,129.0,0.0,0.0,0.0
843cc0dffffffff,29.0,0.0,0.0,0.0
843cc23ffffffff,2.0,0.0,0.0,0.0
843cc27ffffffff,6.0,0.0,0.0,0.0
843cc29ffffffff,14.0,0.0,0.0,0.0
843cc2bffffffff,14.0,0.0,0.0,0.0
843cc39ffffffff,7.0,0.0,0.0,0.0
843cc41ffffffff,74.0,0.0,0.0,0.0
843cc43ffffffff,25.0,0.0,0.0,0.0
843cc45ffffffff,99.0,0.0,0.0,0.0
843cc47ffffffff,58.0,0.0,0.0,0.0
843cc51ffffffff,2.0,0.0,0.0,0.0
843cc55ffffffff,70.0,0.0,0.0,0.0
843cc5bffffffff,18.0,0.0,0.0,0.0
843cc5dffffffff,56.0,0.0,0.0,0.0
843cc63ffffffff,1.0,0.0,0.0,0.0
843cc6bffffffff,175.0,0.0,0.0,0.0
843cc6dffffffff,2.0,0.0,0.0,0.0
843cca1ffffffff,5.0,0.0,0.0,0.0
843ccb5ffffffff,6.0,0.0,0.0,0.0
843ccb7ffffffff,9.0,0.0,0.0,0.0
843ccc9ffffffff,22.0,0.0,0.0,0.0
843ccd1ffffffff,1.0,0.0,0.0,0.0
843cd13ffffffff,3.0,0.0,0.0,0.0
843cd8bffffffff,2.0,0.0,0.0,0.0
843cd93ffffffff,4.0,2.0,0.0,0.0
843cdb7ffffffff,2.0,0.0,0.0,0.0
843cdc5ffffffff,2.0,0.0,0.0,0.0
843cdcdffffffff,1.0,0.0,0.0,0.0
843cddbffffffff,3.0,0.0,0.0,0.0
843ce03ffffffff,10.0,0.0,0.0,0.0
843ce11ffffffff,28.0,0.0,0.0,0.0
843ce15ffffffff,386.0,0.0,0.0,0.0
843ce17ffffffff,6.0,0.0,0.0,0.0
843ce19ffffffff,20.0,0.0,0.0,0.0
843ce1bffffffff,21.0,0.0,0.0,0.0
843ce29ffffffff,17.0,0.0,0.0,0.0
843ce2bffffffff,28.0,0.0,0.0,0.0
843ce2dffffffff,2.0,0.0,0.0,0.0
843ce31ffffffff,5.0,0.0,0.0,0.0
843ce33ffffffff,2.0,0.0,0.0,0.0
843ce37ffffffff,1.0,0.0,0.0,0.0
843ce3bffffffff,19.0,0.0,0.0,0.0
843ce41ffffffff,34.0,0.0,0.0,0.0
843ce43ffffffff,14.0,0.0,0.0,0.0
843ce45ffffffff,2.0,0.0,0.0,0.0
843ce49ffffffff,3.0,0.0,0.0,0.0
843ce4bffffffff,3.0,0.0,0.0,0.0
843ce4dffffffff,156.0,0.0,0.0,0.0
843ce53ffffffff,2.0,0.0,0.0,0.0
843ce55ffffffff,184.0,0.0,0.0,0.0
843ce57ffffffff,174.0,0.0,0.0,0.0
843ce5dffffffff,5.0,0.0,0.0,0.0
843ce81ffffffff,17.0,0.0,0.0,0.0
843ce85ffffffff,2.0,0.0,0.0,0.0
843ce8bffffffff,22.0,0.0,0.0,0.0
843ce8dffffffff,7.0,0.0,0.0,0.0
843cea1ffffffff,12.0,0.0,0.0,0.0
843cebbffffffff,2.0,0.0,0.0,0.0
843cec1ffffffff,384.0,0.0,0.0,0.0
843cec3ffffffff,137.0,0.0,0.0,0.0
843cec5ffffffff,2.0,0.0,0.0,0.0
843cec9ffffffff,162.0,0.0,0.0,0.0
843cecdffffffff,7.0,0.0,0.0,0.0
843ced1ffffffff,4.0,0.0,0.0,0.0
843ced3ffffffff,2.0,0.0,0.0,0.0
843ced5ffffffff,33.0,0.0,0.0,0.0
843ced7ffffffff,1.0,0.0,0.0,0.0
843cedbffffffff,1.0,0.0,0.0,0.0
843ceddffffffff,1.0,0.0,0.0,0.0
843cee1ffffffff,4.0,0.0,0.0,0.0
843cee3ffffffff,1.0,0.0,0.0,0.0
843ceebffffffff,1.0,0.0,0.0,0.0
843cf17ffffffff,3.0,0.0,0.0,0.0
843cf31ffffffff,3.0,0.0,0.0,0.0
843cf3dffffffff,3.0,0.0,0.0,0.0
843d101ffffffff,1.0,0.0,0.0,0.0
843d107ffffffff,195.0,0.0,0.0,0.0
843d10dffffffff,4.0,0.0,0.0,0.0
843d131ffffffff,3.0,0.0,0.0,0.0
843d135ffffffff,3.0,0.0,0.0,0.0
843d137ffffffff,100.0,0.0,0.0,0.0
843d139ffffffff,15.0,0.0,0.0,0.0
843d13dffffffff,113.0,0.0,0.0,0.0
843d993ffffffff,54.0,0.0,0.0,0.0
843d997ffffffff,2.0,0.0,0.0,0.0
843d9a7ffffffff,2.0,0.0,0.0,0.0
843d9abffffffff,5.0,0.0,0.0,0.0
843d9b7ffffffff,777.0,0.0,0.0,0.0
843d9b9ffffffff,2.0,0.0,0.0,0.0
843d9bbffffffff,7.0,0.0,0.0,0.0
843da91ffffffff,10.0,0.0,0.0,0.0
843da93ffffffff,6.0,0.0,0.0,0.0
843da97ffffffff,41.0,0.0,0.0,0.0
843da99ffffffff,4.0,0.0,0.0,0.0
843da9dffffffff,17.0,0.0,0.0,0.0
843dacbffffffff,1.0,0.0,0.0,0.0
843dad1ffffffff,44.0,0.0,0.0,0.0
843dad7ffffffff,2.0,0.0,0.0,0.0
