cell_id,Arremon brunneinucha,Arremon brunneinucha apertus,Arremon brunneinucha [brunneinucha Group]
8445201ffffffff,23.0,0.0,0.0
8445205ffffffff,24.0,0.0,0.0
8445207ffffffff,4.0,0.0,0.0
844520dffffffff,163.0,0.0,0.0
8445221ffffffff,3.0,0.0,0.0
8445225ffffffff,4.0,0.0,0.0
844522dffffffff,3.0,0.0,0.0
8445241ffffffff,5.0,0.0,0.0
8445243ffffffff,99.0,0.0,0.0
8445245ffffffff,17.0,0.0,0.0
8445247ffffffff,69.0,0.0,0.0
844524bffffffff,75.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0
8445253ffffffff,14.0,0.0,0.0
844525bffffffff,90.0,0.0,0.0
844525dffffffff,4.0,0.0,0.0
8445261ffffffff,1.0,0.0,0.0
8445263ffffffff,13.0,0.0,0.0
8445267ffffffff,3.0,0.0,0.0
8445269ffffffff,10.0,0.0,0.0
844526dffffffff,22.0,0.0,0.0
8445309ffffffff,6.0,0.0,0.0
844530dffffffff,1.0,0.0,0.0
8445343ffffffff,25.0,0.0,0.0
8445351ffffffff,94.0,0.0,0.0
8445355ffffffff,4.0,0.0,0.0
844535bffffffff,2.0,0.0,0.0
8449901ffffffff,5.0,0.0,0.0
8449903ffffffff,9.0,0.0,0.0
8449905ffffffff,1.0,0.0,0.0
8449909ffffffff,2.0,0.0,0.0
844990bffffffff,13.0,0.0,0.0
844990dffffffff,8.0,0.0,0.0
8449911ffffffff,4.0,0.0,0.0
8449913ffffffff,11.0,0.0,0.0
8449917ffffffff,27.0,0.0,0.0
844991dffffffff,10.0,0.0,0.0
8449961ffffffff,17.0,0.0,5.0
8449963ffffffff,788.0,0.0,289.0
8449969ffffffff,89.0,0.0,4.0
844996bffffffff,49.0,0.0,9.0
84499c1ffffffff,2.0,0.0,0.0
84499c5ffffffff,8.0,0.0,0.0
8449b03ffffffff,4.0,0.0,0.0
8449b19ffffffff,96.0,0.0,0.0
8449b1dffffffff,40.0,0.0,0.0
8449b57ffffffff,18.0,0.0,0.0
8449b67ffffffff,3.0,0.0,0.0
846601bffffffff,13.0,0.0,4.0
8466083ffffffff,9.0,0.0,0.0
8466085ffffffff,2.0,0.0,0.0
8466087ffffffff,8.0,0.0,0.0
8466089ffffffff,37.0,0.0,2.0
846608bffffffff,6.0,0.0,0.0
846608dffffffff,482.0,0.0,13.0
84660a3ffffffff,4.0,0.0,0.0
84660b1ffffffff,5.0,0.0,0.0
84660b3ffffffff,15.0,0.0,0.0
84660b7ffffffff,12.0,0.0,0.0
84660b9ffffffff,11.0,0.0,0.0
84660bbffffffff,8.0,0.0,0.0
84660bdffffffff,74.0,0.0,0.0
84660c3ffffffff,48.0,0.0,0.0
84660c7ffffffff,3.0,0.0,0.0
84660cbffffffff,21.0,0.0,0.0
84660cdffffffff,2.0,0.0,0.0
84660d3ffffffff,2.0,0.0,0.0
84660ddffffffff,26.0,0.0,0.0
8466115ffffffff,2.0,0.0,0.0
8466129ffffffff,30.0,0.0,0.0
8466131ffffffff,64.0,0.0,15.0
8466137ffffffff,4.0,0.0,4.0
