cell_id,Euplectes capensis,Euplectes capensis phoenicomerus,Euplectes capensis xanthomelas,Euplectes capensis [capensis Group]
835280fffffffff,2.0,0.0,2.0,0.0
835286fffffffff,1.0,0.0,0.0,0.0
835291fffffffff,2.0,0.0,0.0,0.0
835298fffffffff,2.0,0.0,0.0,0.0
835299fffffffff,15.0,0.0,5.0,0.0
83529bfffffffff,79.0,0.0,27.0,0.0
8358d1fffffffff,2.0,0.0,0.0,0.0
836a4dfffffffff,1.0,0.0,0.0,0.0
836a5afffffffff,3.0,0.0,0.0,0.0
836ac1fffffffff,2.0,0.0,0.0,0.0
836ac2fffffffff,2.0,0.0,0.0,0.0
836ac3fffffffff,24.0,0.0,0.0,5.0
836ac9fffffffff,10.0,0.0,0.0,0.0
836acefffffffff,6.0,0.0,0.0,0.0
836ad8fffffffff,8.0,0.0,0.0,0.0
836adcfffffffff,289.0,0.0,0.0,15.0
836adefffffffff,19.0,0.0,0.0,0.0
836aeafffffffff,4.0,0.0,0.0,0.0
837a40fffffffff,15.0,0.0,0.0,0.0
837a41fffffffff,11.0,0.0,0.0,0.0
837a44fffffffff,3.0,0.0,0.0,0.0
837a45fffffffff,177.0,0.0,0.0,0.0
837a48fffffffff,39.0,0.0,0.0,0.0
837a4cfffffffff,23.0,0.0,0.0,0.0
837a4dfffffffff,2.0,0.0,0.0,0.0
837a60fffffffff,2.0,0.0,0.0,0.0
837a61fffffffff,34.0,0.0,0.0,0.0
837a64fffffffff,6.0,0.0,0.0,0.0
837a65fffffffff,188.0,0.0,0.0,0.0
837a68fffffffff,373.0,0.0,0.0,0.0
837a69fffffffff,1.0,0.0,0.0,0.0
837a6afffffffff,196.0,0.0,0.0,0.0
837a6bfffffffff,1.0,0.0,0.0,0.0
837a6cfffffffff,1.0,0.0,0.0,0.0
837a6dfffffffff,7.0,0.0,0.0,0.0
837a6efffffffff,115.0,0.0,0.0,0.0
837ac1fffffffff,2.0,0.0,0.0,0.0
837ac8fffffffff,3.0,0.0,0.0,0.0
837acafffffffff,2.0,0.0,0.0,0.0
837acbfffffffff,1.0,0.0,0.0,0.0
837accfffffffff,80.0,0.0,23.0,0.0
837acdfffffffff,15.0,0.0,13.0,0.0
837acefffffffff,5.0,0.0,2.0,0.0
837ad9fffffffff,24.0,0.0,0.0,0.0
837b48fffffffff,3.0,0.0,0.0,0.0
837b49fffffffff,2.0,0.0,0.0,0.0
837b4bfffffffff,11.0,0.0,0.0,0.0
