cell_id,Synallaxis stictothorax,Synallaxis stictothorax [undescribed La Libertad form]
828f0ffffffffff,700.0,0.0
828f2ffffffffff,677.0,0.0
828f57fffffffff,1199.0,0.0
828f5ffffffffff,14.0,14.0
