cell_id,Paroaria gularis,Paroaria gularis gularis,Paroaria gularis cervicalis
835f08fffffffff,134.0,0.0,0.0
835f09fffffffff,53.0,0.0,0.0
835f0bfffffffff,60.0,0.0,0.0
835f0dfffffffff,3.0,0.0,0.0
835f23fffffffff,1.0,0.0,0.0
835f28fffffffff,5.0,0.0,0.0
835f29fffffffff,291.0,2.0,0.0
835f2bfffffffff,371.0,0.0,0.0
835f2dfffffffff,53.0,0.0,0.0
835f54fffffffff,7.0,0.0,0.0
835f76fffffffff,4.0,0.0,0.0
836641fffffffff,246.0,0.0,0.0
83665afffffffff,1.0,0.0,0.0
83665efffffffff,10.0,0.0,0.0
836670fffffffff,7.0,0.0,0.0
836676fffffffff,2.0,0.0,0.0
8366c0fffffffff,275.0,0.0,0.0
8366c1fffffffff,25.0,0.0,0.0
8366c2fffffffff,637.0,0.0,0.0
8366c3fffffffff,17.0,1.0,0.0
8366c5fffffffff,52.0,0.0,0.0
8366cdfffffffff,3.0,0.0,0.0
8366cefffffffff,133.0,0.0,0.0
8366d1fffffffff,3.0,0.0,0.0
8366d8fffffffff,8.0,2.0,0.0
8366dbfffffffff,33.0,2.0,0.0
8366dcfffffffff,1324.0,134.0,0.0
8366ddfffffffff,180.0,12.0,0.0
8366defffffffff,133.0,12.0,0.0
8366e0fffffffff,11.0,0.0,0.0
8366e3fffffffff,4.0,0.0,0.0
8366eafffffffff,6.0,0.0,0.0
8366ecfffffffff,218.0,0.0,0.0
8366eefffffffff,91.0,0.0,0.0
838040fffffffff,6.0,0.0,0.0
838044fffffffff,2.0,0.0,0.0
838048fffffffff,1.0,0.0,0.0
838064fffffffff,2.0,0.0,0.0
838065fffffffff,11.0,4.0,0.0
838068fffffffff,2.0,0.0,0.0
83806afffffffff,14.0,2.0,0.0
83806cfffffffff,2.0,0.0,0.0
83806dfffffffff,4.0,0.0,0.0
838140fffffffff,1.0,0.0,0.0
838143fffffffff,4.0,1.0,0.0
838145fffffffff,5.0,1.0,0.0
83814afffffffff,40.0,3.0,0.0
83814cfffffffff,3.0,0.0,0.0
83814dfffffffff,91.0,30.0,0.0
83814efffffffff,2.0,0.0,0.0
838158fffffffff,1.0,0.0,0.0
83815dfffffffff,34.0,0.0,0.0
838163fffffffff,4.0,2.0,0.0
838a00fffffffff,21.0,1.0,0.0
838a05fffffffff,19.0,6.0,0.0
838a10fffffffff,21.0,0.0,0.0
838a12fffffffff,5.0,0.0,0.0
838a14fffffffff,8.0,0.0,0.0
838a15fffffffff,2.0,0.0,0.0
838a1afffffffff,2.0,0.0,0.0
838a20fffffffff,1.0,0.0,1.0
838a23fffffffff,1.0,0.0,0.0
838a24fffffffff,5.0,0.0,5.0
838a25fffffffff,5.0,0.0,1.0
838a2efffffffff,6.0,3.0,0.0
838a31fffffffff,27.0,6.0,0.0
838a33fffffffff,11.0,0.0,0.0
838a35fffffffff,1.0,1.0,0.0
838a41fffffffff,4.0,0.0,0.0
838a43fffffffff,3.0,0.0,0.0
838a45fffffffff,551.0,0.0,0.0
838a4efffffffff,2.0,0.0,0.0
838a52fffffffff,2.0,0.0,0.0
838a63fffffffff,88.0,7.0,0.0
838a68fffffffff,11.0,0.0,0.0
838a69fffffffff,51.0,0.0,0.0
838a6bfffffffff,3.0,0.0,0.0
838a6dfffffffff,1018.0,0.0,0.0
838a6efffffffff,5.0,0.0,0.0
838a70fffffffff,45.0,0.0,0.0
838a73fffffffff,3.0,0.0,0.0
838a80fffffffff,11.0,1.0,0.0
838a81fffffffff,5.0,0.0,0.0
838a85fffffffff,6.0,0.0,0.0
838a8cfffffffff,34.0,3.0,0.0
838a8dfffffffff,4.0,1.0,0.0
838a8efffffffff,7.0,0.0,0.0
838a90fffffffff,3.0,0.0,0.0
838a92fffffffff,1.0,0.0,0.0
838a9cfffffffff,23.0,2.0,0.0
838a9dfffffffff,13.0,0.0,0.0
838a9efffffffff,2.0,0.0,0.0
838aa8fffffffff,13.0,0.0,0.0
838aa9fffffffff,23.0,5.0,0.0
838aaafffffffff,85.0,0.0,0.0
838aabfffffffff,54.0,0.0,0.0
838aacfffffffff,8.0,0.0,0.0
838aadfffffffff,5.0,0.0,0.0
838ab6fffffffff,3.0,0.0,0.0
838ac3fffffffff,1.0,0.0,0.0
838ac4fffffffff,1.0,0.0,0.0
838ac6fffffffff,1.0,0.0,0.0
838ad8fffffffff,9.0,3.0,0.0
838adafffffffff,62.0,15.0,0.0
838adbfffffffff,6.0,0.0,0.0
838adcfffffffff,31.0,7.0,0.0
838adefffffffff,1.0,0.0,0.0
838ae1fffffffff,3.0,0.0,0.0
838ae5fffffffff,26.0,0.0,0.0
838aeefffffffff,3.0,0.0,0.0
838af0fffffffff,51.0,8.0,0.0
838af1fffffffff,12.0,2.0,0.0
838af2fffffffff,37.0,1.0,0.0
838af4fffffffff,75.0,10.0,0.0
838af6fffffffff,307.0,34.0,0.0
838b01fffffffff,2.0,0.0,0.0
838b04fffffffff,12.0,0.0,0.0
838b05fffffffff,4.0,0.0,0.0
838b06fffffffff,4.0,0.0,0.0
838b08fffffffff,13.0,0.0,0.0
838b09fffffffff,2.0,0.0,0.0
