cell_id,Lanius collaris,Lanius collaris marwitzi,Lanius collaris [collaris Group]
838304fffffffff,12.0,0.0,1.0
838320fffffffff,11.0,0.0,1.0
838326fffffffff,5.0,0.0,4.0
8383adfffffffff,3.0,0.0,0.0
839662fffffffff,2.0,0.0,0.0
839666fffffffff,1.0,0.0,0.0
83966cfffffffff,1.0,0.0,0.0
839682fffffffff,2.0,0.0,0.0
839691fffffffff,1.0,0.0,0.0
8396a0fffffffff,4.0,0.0,0.0
8396a2fffffffff,4.0,0.0,0.0
8396b0fffffffff,4.0,0.0,0.0
8396b1fffffffff,3.0,0.0,0.0
8396b2fffffffff,8.0,0.0,0.0
8396b5fffffffff,5.0,0.0,0.0
839700fffffffff,6.0,0.0,0.0
839702fffffffff,14.0,0.0,0.0
839703fffffffff,36.0,0.0,8.0
839708fffffffff,2.0,0.0,0.0
83970afffffffff,2.0,0.0,0.0
83970cfffffffff,13.0,0.0,6.0
839711fffffffff,1.0,0.0,0.0
839719fffffffff,44.0,0.0,0.0
83971cfffffffff,54.0,0.0,2.0
83971dfffffffff,4.0,0.0,2.0
839728fffffffff,7.0,0.0,0.0
839729fffffffff,6.0,0.0,0.0
83972cfffffffff,5.0,0.0,4.0
83972dfffffffff,113.0,0.0,33.0
83972efffffffff,7.0,0.0,0.0
839740fffffffff,3.0,0.0,0.0
839741fffffffff,3.0,0.0,0.0
839743fffffffff,3.0,0.0,0.0
83974afffffffff,11.0,0.0,0.0
83974efffffffff,4.0,0.0,4.0
839750fffffffff,5.0,0.0,0.0
839751fffffffff,7.0,0.0,0.0
83975cfffffffff,3.0,0.0,0.0
839768fffffffff,4.0,0.0,0.0
83976afffffffff,2.0,0.0,0.0
839772fffffffff,3.0,0.0,0.0
839783fffffffff,1.0,0.0,0.0
839788fffffffff,2.0,0.0,0.0
83978efffffffff,2.0,0.0,0.0
839798fffffffff,3.0,0.0,0.0
839799fffffffff,3.0,0.0,0.0
83979efffffffff,3.0,0.0,0.0
83ac12fffffffff,97.0,0.0,13.0
83ac80fffffffff,161.0,0.0,21.0
83ac81fffffffff,13.0,0.0,0.0
83ac82fffffffff,4.0,0.0,0.0
83ac84fffffffff,8.0,0.0,0.0
83ac85fffffffff,3.0,0.0,3.0
83ac86fffffffff,17.0,0.0,1.0
83ac96fffffffff,8.0,0.0,3.0
83ac99fffffffff,2.0,0.0,0.0
83aca0fffffffff,4.0,0.0,0.0
83aca1fffffffff,104.0,0.0,20.0
83aca2fffffffff,9.0,0.0,6.0
83aca3fffffffff,48.0,0.0,7.0
83aca4fffffffff,97.0,0.0,22.0
83aca5fffffffff,27.0,0.0,6.0
83aca6fffffffff,44.0,0.0,3.0
83acaafffffffff,16.0,0.0,6.0
83acaefffffffff,66.0,0.0,6.0
83acb1fffffffff,1.0,0.0,1.0
83ad12fffffffff,33.0,0.0,5.0
83ad16fffffffff,7.0,0.0,0.0
83ad32fffffffff,993.0,0.0,283.0
83ad36fffffffff,1382.0,0.0,418.0
83ad81fffffffff,3.0,0.0,2.0
83ad82fffffffff,35.0,0.0,4.0
83ad83fffffffff,4.0,0.0,0.0
83ad85fffffffff,1.0,0.0,0.0
83ad86fffffffff,54.0,0.0,1.0
83ad88fffffffff,6.0,0.0,0.0
83ad89fffffffff,22.0,0.0,0.0
83ad8bfffffffff,95.0,0.0,22.0
83ad8cfffffffff,2.0,0.0,0.0
83ad92fffffffff,2.0,0.0,0.0
83ad95fffffffff,3.0,0.0,1.0
83ad99fffffffff,2.0,0.0,0.0
83ad9dfffffffff,5.0,0.0,1.0
83ada0fffffffff,10.0,0.0,4.0
83ada1fffffffff,34.0,0.0,7.0
83ada2fffffffff,22.0,0.0,7.0
83ada3fffffffff,2.0,0.0,0.0
83ada4fffffffff,29.0,0.0,9.0
83ada6fffffffff,2.0,0.0,0.0
83ada8fffffffff,4.0,0.0,0.0
83adaafffffffff,8.0,0.0,4.0
83adabfffffffff,5.0,0.0,0.0
83adacfffffffff,15.0,0.0,3.0
83adaefffffffff,2.0,0.0,0.0
83adb0fffffffff,19.0,0.0,3.0
83adb1fffffffff,2.0,0.0,2.0
83adb2fffffffff,2.0,0.0,0.0
83adb4fffffffff,6.0,0.0,2.0
83adb5fffffffff,18.0,0.0,1.0
83adb6fffffffff,2.0,0.0,0.0
83bc09fffffffff,17.0,0.0,0.0
83bc0bfffffffff,38.0,0.0,2.0
83bc19fffffffff,36.0,0.0,7.0
83bc1bfffffffff,55.0,0.0,19.0
83bc40fffffffff,94.0,0.0,2.0
83bc41fffffffff,30.0,0.0,1.0
83bc42fffffffff,2.0,0.0,2.0
83bc43fffffffff,146.0,0.0,22.0
83bc44fffffffff,62.0,0.0,15.0
83bc45fffffffff,189.0,0.0,26.0
83bc46fffffffff,19.0,0.0,3.0
83bc48fffffffff,85.0,0.0,49.0
83bc49fffffffff,99.0,0.0,13.0
83bc4afffffffff,3.0,0.0,3.0
83bc4bfffffffff,85.0,0.0,40.0
83bc4cfffffffff,10.0,0.0,2.0
83bc4dfffffffff,310.0,0.0,115.0
83bc4efffffffff,19.0,0.0,19.0
83bc50fffffffff,6.0,0.0,1.0
83bc51fffffffff,13.0,0.0,2.0
83bc52fffffffff,4.0,0.0,0.0
83bc54fffffffff,12.0,0.0,5.0
83bc55fffffffff,33.0,0.0,2.0
83bc5bfffffffff,1.0,0.0,1.0
83bc5cfffffffff,4.0,0.0,0.0
83bc5dfffffffff,2.0,0.0,0.0
83bc5efffffffff,36.0,0.0,1.0
83bc68fffffffff,431.0,0.0,100.0
83bc69fffffffff,294.0,0.0,76.0
83bc6afffffffff,310.0,0.0,68.0
83bc6bfffffffff,230.0,0.0,27.0
83bc71fffffffff,70.0,0.0,2.0
83bc72fffffffff,7.0,0.0,1.0
83bc73fffffffff,247.0,0.0,34.0
83bc89fffffffff,124.0,0.0,17.0
83bcc0fffffffff,28.0,0.0,25.0
83bcc1fffffffff,44.0,0.0,8.0
83bcc2fffffffff,446.0,0.0,106.0
83bcc3fffffffff,723.0,0.0,164.0
83bcc4fffffffff,127.0,0.0,47.0
83bcc5fffffffff,7.0,0.0,4.0
83bcc6fffffffff,435.0,0.0,100.0
83bccafffffffff,12.0,0.0,1.0
83bcccfffffffff,13.0,0.0,3.0
83bccdfffffffff,3.0,0.0,1.0
83bccefffffffff,9.0,0.0,4.0
83bcd0fffffffff,276.0,0.0,68.0
83bcd1fffffffff,335.0,0.0,95.0
83bcd2fffffffff,66.0,0.0,13.0
83bcd3fffffffff,51.0,0.0,8.0
83bcd4fffffffff,145.0,0.0,64.0
83bcd5fffffffff,67.0,0.0,33.0
83bcd6fffffffff,33.0,0.0,0.0
83bcd8fffffffff,15.0,0.0,0.0
83bcd9fffffffff,1.0,0.0,0.0
83bcdafffffffff,4.0,0.0,0.0
83bcdcfffffffff,370.0,0.0,87.0
83bcddfffffffff,35.0,0.0,10.0
83bcdefffffffff,117.0,0.0,29.0
83bce0fffffffff,15.0,0.0,6.0
83bce1fffffffff,6.0,0.0,0.0
83bce2fffffffff,532.0,0.0,156.0
83bce3fffffffff,10.0,0.0,0.0
83bce4fffffffff,2.0,0.0,2.0
83bce5fffffffff,10.0,0.0,0.0
83bce6fffffffff,222.0,0.0,65.0
83bce8fffffffff,18.0,0.0,0.0
83bce9fffffffff,82.0,0.0,17.0
83bcebfffffffff,4.0,0.0,0.0
83bcecfffffffff,2.0,0.0,0.0
83bcedfffffffff,2.0,0.0,0.0
83bceefffffffff,6.0,0.0,1.0
83bcf0fffffffff,87.0,0.0,9.0
83bcf1fffffffff,74.0,0.0,15.0
83bcf2fffffffff,663.0,0.0,186.0
83bcf3fffffffff,300.0,0.0,104.0
83bcf4fffffffff,55.0,0.0,10.0
83bcf5fffffffff,1479.0,0.0,885.0
83bcf6fffffffff,317.0,0.0,79.0
