cell_id,Trogon massena,Trogon massena massena/hoffmanni,Trogon massena australis
8445059ffffffff,2.0,0.0,0.0
8445215ffffffff,2.0,2.0,0.0
8445233ffffffff,6.0,6.0,0.0
8445257ffffffff,14.0,3.0,0.0
8445281ffffffff,4.0,0.0,0.0
84452a9ffffffff,6.0,6.0,0.0
84452e1ffffffff,10.0,0.0,0.0
8445363ffffffff,1.0,0.0,0.0
846610bffffffff,2.0,0.0,0.0
8466a33ffffffff,2.0,0.0,0.0
8466b01ffffffff,1.0,0.0,0.0
8466b0bffffffff,4.0,2.0,0.0
8466b55ffffffff,1.0,0.0,0.0
8466d05ffffffff,3.0,0.0,0.0
8466f5dffffffff,4.0,0.0,0.0
846792dffffffff,2.0,0.0,0.0
84679a1ffffffff,4.0,0.0,0.0
84679a5ffffffff,14.0,3.0,0.0
84679b5ffffffff,2.0,2.0,0.0
846d21dffffffff,2.0,0.0,0.0
846d2c9ffffffff,3.0,0.0,0.0
846d319ffffffff,3.0,3.0,0.0
846d35dffffffff,3.0,0.0,0.0
846d653ffffffff,4.0,0.0,0.0
846d68dffffffff,3.0,0.0,0.0
846d691ffffffff,2.0,0.0,0.0
846d697ffffffff,15.0,8.0,0.0
846d69dffffffff,2.0,2.0,0.0
