cell_id,Cercotrichas galactotes,Cercotrichas galactotes [galactotes Group],Cercotrichas galactotes minor/hamertoni
831870fffffffff,4.0,0.0,0.0
831941fffffffff,37.0,2.0,0.0
831969fffffffff,1.0,1.0,0.0
83196bfffffffff,1.0,1.0,0.0
831ed9fffffffff,1.0,1.0,0.0
831edefffffffff,3.0,0.0,0.0
832033fffffffff,3.0,3.0,0.0
8320b3fffffffff,2.0,0.0,0.0
8320e3fffffffff,2.0,2.0,0.0
832198fffffffff,3.0,3.0,0.0
83219cfffffffff,3.0,3.0,0.0
8325b1fffffffff,6.0,6.0,0.0
832c0cfffffffff,13.0,13.0,0.0
832c2afffffffff,1.0,1.0,0.0
832c76fffffffff,1.0,0.0,0.0
832c93fffffffff,15.0,13.0,0.0
832c9cfffffffff,2.0,0.0,0.0
832cacfffffffff,1.0,1.0,0.0
832da5fffffffff,1.0,1.0,0.0
832db0fffffffff,3.0,0.0,0.0
832db1fffffffff,3.0,0.0,0.0
832db2fffffffff,3.0,3.0,0.0
832db6fffffffff,8.0,0.0,0.0
833469fffffffff,1.0,1.0,0.0
833824fffffffff,6.0,6.0,0.0
833825fffffffff,1.0,1.0,0.0
83384dfffffffff,1.0,0.0,0.0
833862fffffffff,3.0,3.0,0.0
833875fffffffff,2.0,2.0,0.0
833900fffffffff,60.0,60.0,0.0
833902fffffffff,14.0,14.0,0.0
833903fffffffff,34.0,34.0,0.0
833905fffffffff,16.0,16.0,0.0
833911fffffffff,14.0,8.0,0.0
833918fffffffff,19.0,3.0,0.0
833919fffffffff,1.0,0.0,0.0
83391afffffffff,4.0,0.0,0.0
83391cfffffffff,1.0,0.0,0.0
83391dfffffffff,8.0,5.0,0.0
83391efffffffff,7.0,0.0,0.0
833954fffffffff,1.0,0.0,0.0
833956fffffffff,1.0,0.0,0.0
833d30fffffffff,2.0,2.0,0.0
833d36fffffffff,3.0,0.0,0.0
833db5fffffffff,8.0,5.0,0.0
833e5bfffffffff,2.0,0.0,0.0
833e63fffffffff,1.0,0.0,0.0
833e68fffffffff,4.0,0.0,0.0
833e70fffffffff,4.0,0.0,0.0
833f30fffffffff,4.0,4.0,0.0
833f36fffffffff,1.0,0.0,0.0
833f45fffffffff,1.0,1.0,0.0
834253fffffffff,31.0,31.0,0.0
83425afffffffff,2.0,0.0,0.0
83425efffffffff,2.0,0.0,0.0
8342c4fffffffff,30.0,26.0,0.0
8342c5fffffffff,15.0,15.0,0.0
8342cefffffffff,16.0,0.0,0.0
8342e3fffffffff,3.0,0.0,0.0
8343a1fffffffff,1.0,1.0,0.0
8343a3fffffffff,2.0,2.0,0.0
835269fffffffff,2.0,0.0,0.0
83536afffffffff,2.0,2.0,0.0
835929fffffffff,3.0,3.0,0.0
835974fffffffff,4.0,4.0,0.0
835998fffffffff,1.0,0.0,1.0
836332fffffffff,1.0,0.0,0.0
837a40fffffffff,1.0,1.0,0.0
837a55fffffffff,2.0,0.0,0.0
837a61fffffffff,5.0,2.0,0.0
839692fffffffff,1.0,1.0,0.0
83ad36fffffffff,11.0,8.0,0.0
