cell_id,Otus sunia,Otus sunia [sunia Group],Otus sunia [japonicus Group],Otus sunia modestus
823037fffffffff,2.0,0.0,0.0,0.0
82309ffffffffff,5.0,0.0,0.0,0.0
823c17fffffffff,2.0,0.0,0.0,0.0
823c1ffffffffff,3.0,0.0,0.0,0.0
823c37fffffffff,2.0,0.0,0.0,0.0
823c8ffffffffff,12.0,0.0,0.0,0.0
823c97fffffffff,75.0,3.0,0.0,0.0
823ca7fffffffff,9.0,0.0,0.0,0.0
823caffffffffff,1.0,1.0,0.0,0.0
823cb7fffffffff,6.0,2.0,0.0,0.0
823cc7fffffffff,2.0,0.0,0.0,0.0
823ceffffffffff,2.0,0.0,0.0,0.0
823cf7fffffffff,6.0,0.0,0.0,0.0
823d17fffffffff,13.0,1.0,0.0,0.0
823d37fffffffff,9.0,0.0,0.0,0.0
823d87fffffffff,11.0,0.0,0.0,0.0
823d8ffffffffff,4.0,4.0,0.0,0.0
823d9ffffffffff,12.0,0.0,0.0,0.0
823da7fffffffff,11.0,1.0,0.0,0.0
823db7fffffffff,2.0,0.0,0.0,0.0
824047fffffffff,3.0,0.0,3.0,0.0
8240b7fffffffff,2.0,0.0,0.0,0.0
82411ffffffffff,1.0,0.0,0.0,0.0
824177fffffffff,4.0,0.0,0.0,0.0
8241a7fffffffff,8.0,0.0,0.0,0.0
8241b7fffffffff,18.0,0.0,1.0,0.0
8242dffffffffff,8.0,0.0,0.0,0.0
8242effffffffff,2.0,0.0,0.0,0.0
824ba7fffffffff,2.0,0.0,0.0,0.0
826007fffffffff,4.0,0.0,0.0,0.0
826017fffffffff,70.0,4.0,0.0,0.0
826027fffffffff,10.0,0.0,0.0,0.0
826037fffffffff,126.0,1.0,0.0,0.0
82608ffffffffff,29.0,0.0,0.0,0.0
826097fffffffff,8.0,0.0,0.0,0.0
82609ffffffffff,17.0,0.0,0.0,0.0
8260a7fffffffff,109.0,0.0,0.0,0.0
8260affffffffff,85.0,3.0,0.0,0.0
8260b7fffffffff,5.0,0.0,0.0,0.0
82618ffffffffff,22.0,0.0,0.0,0.0
82619ffffffffff,2.0,0.0,0.0,0.0
82640ffffffffff,70.0,0.0,0.0,70.0
82642ffffffffff,2.0,0.0,0.0,0.0
826437fffffffff,2.0,0.0,0.0,0.0
8264a7fffffffff,3.0,0.0,3.0,0.0
8264e7fffffffff,7.0,0.0,0.0,7.0
82651ffffffffff,7.0,0.0,0.0,0.0
826527fffffffff,27.0,0.0,0.0,0.0
826587fffffffff,9.0,0.0,0.0,0.0
82658ffffffffff,3.0,0.0,1.0,0.0
