cell_id,Pogoniulus bilineatus,Pogoniulus bilineatus [bilineatus Group],Pogoniulus bilineatus makawai
846ac93ffffffff,24.0,0.0,0.0
846acadffffffff,7.0,1.0,0.0
846acc3ffffffff,6.0,1.0,0.0
846acc7ffffffff,29.0,0.0,0.0
846acd5ffffffff,92.0,0.0,0.0
846ace5ffffffff,166.0,0.0,0.0
846ad81ffffffff,2.0,0.0,0.0
846ad85ffffffff,2.0,0.0,0.0
846ad8bffffffff,14.0,0.0,0.0
846ad8dffffffff,4.0,0.0,0.0
846ada9ffffffff,8.0,0.0,0.0
846adc1ffffffff,1182.0,0.0,0.0
846adc5ffffffff,144.0,0.0,0.0
846adc7ffffffff,3.0,0.0,0.0
846adc9ffffffff,52.0,0.0,0.0
846add7ffffffff,2.0,0.0,0.0
846ade5ffffffff,2.0,0.0,0.0
846ade7ffffffff,197.0,0.0,0.0
846adebffffffff,6.0,0.0,0.0
846ae0bffffffff,2.0,0.0,0.0
846ae13ffffffff,2.0,0.0,0.0
846ae85ffffffff,14.0,0.0,0.0
846aea1ffffffff,71.0,0.0,0.0
846aea3ffffffff,14.0,0.0,0.0
846aea5ffffffff,4.0,0.0,0.0
846aea9ffffffff,4.0,0.0,0.0
846aeabffffffff,12.0,0.0,0.0
846aeb5ffffffff,3.0,0.0,0.0
846aee3ffffffff,8.0,0.0,0.0
8475083ffffffff,1.0,0.0,0.0
8475085ffffffff,3.0,0.0,0.0
8475087ffffffff,1.0,0.0,0.0
84750a1ffffffff,1.0,0.0,0.0
84750d1ffffffff,152.0,21.0,0.0
84750d3ffffffff,2.0,0.0,0.0
84750dbffffffff,2.0,0.0,0.0
8475193ffffffff,2.0,0.0,0.0
8475199ffffffff,1.0,0.0,0.0
8475201ffffffff,2.0,0.0,0.0
8475207ffffffff,5.0,0.0,0.0
8475293ffffffff,20.0,2.0,0.0
8475295ffffffff,41.0,0.0,0.0
847529bffffffff,46.0,2.0,0.0
84752abffffffff,6.0,0.0,0.0
84752adffffffff,23.0,3.0,0.0
84752b5ffffffff,3.0,0.0,0.0
84752d3ffffffff,9.0,1.0,0.0
84752dbffffffff,9.0,0.0,0.0
84752e9ffffffff,4.0,0.0,0.0
8475a07ffffffff,13.0,0.0,0.0
8475a19ffffffff,2.0,0.0,0.0
8475a57ffffffff,2.0,0.0,0.0
847a409ffffffff,15.0,0.0,0.0
847a40bffffffff,11.0,0.0,0.0
847a40dffffffff,1.0,0.0,0.0
847a41bffffffff,14.0,0.0,0.0
847a451ffffffff,8.0,0.0,0.0
847a453ffffffff,35.0,0.0,0.0
847a455ffffffff,136.0,0.0,0.0
847a457ffffffff,81.0,0.0,0.0
847a459ffffffff,33.0,0.0,0.0
847a45bffffffff,51.0,0.0,0.0
847a481ffffffff,3.0,0.0,0.0
847a489ffffffff,34.0,0.0,0.0
847a48bffffffff,21.0,0.0,0.0
847a48dffffffff,17.0,0.0,0.0
847a4c1ffffffff,12.0,0.0,0.0
847a4c3ffffffff,4.0,0.0,0.0
847a4c5ffffffff,10.0,0.0,0.0
847a4c7ffffffff,12.0,0.0,0.0
847a4c9ffffffff,10.0,0.0,0.0
847a4cbffffffff,334.0,0.0,0.0
847a4cdffffffff,13.0,0.0,0.0
847a4d3ffffffff,2.0,0.0,0.0
847a4d9ffffffff,1.0,0.0,0.0
847a4dbffffffff,4.0,0.0,0.0
847a4ddffffffff,229.0,0.0,0.0
847a659ffffffff,2.0,0.0,0.0
847a66dffffffff,2.0,0.0,0.0
847a681ffffffff,7.0,0.0,0.0
847a683ffffffff,55.0,0.0,0.0
847a68bffffffff,5.0,0.0,0.0
847a695ffffffff,4.0,0.0,0.0
847a6a1ffffffff,8.0,0.0,0.0
847a6a3ffffffff,3.0,0.0,0.0
847a6a5ffffffff,1.0,0.0,0.0
847a6adffffffff,5.0,0.0,0.0
847a6b7ffffffff,9.0,0.0,0.0
847a6bdffffffff,2.0,0.0,0.0
847a6dbffffffff,1.0,0.0,0.0
847a6e1ffffffff,2.0,0.0,0.0
847a6e5ffffffff,551.0,0.0,0.0
847a6e7ffffffff,13.0,0.0,0.0
847b481ffffffff,3.0,0.0,0.0
847b485ffffffff,1.0,0.0,0.0
847b487ffffffff,10.0,0.0,0.0
847b489ffffffff,6.0,0.0,0.0
847b4a1ffffffff,10.0,0.0,0.0
847b4a5ffffffff,16.0,0.0,0.0
847b4a7ffffffff,26.0,0.0,0.0
847b4c7ffffffff,1.0,0.0,0.0
847b4cbffffffff,4.0,0.0,0.0
847b4dbffffffff,21.0,0.0,0.0
847b591ffffffff,5.0,0.0,0.0
847b595ffffffff,9.0,0.0,0.0
847b597ffffffff,51.0,0.0,0.0
847b59bffffffff,1.0,0.0,0.0
847b689ffffffff,2.0,0.0,0.0
847b6a9ffffffff,27.0,0.0,0.0
847b6bbffffffff,3.0,0.0,0.0
84821b3ffffffff,1.0,0.0,0.0
8482819ffffffff,2.0,0.0,0.0
8482853ffffffff,2.0,0.0,0.0
84828a3ffffffff,2.0,0.0,0.0
84828b5ffffffff,54.0,0.0,0.0
84828bdffffffff,11.0,0.0,0.0
84828d1ffffffff,226.0,0.0,0.0
8482a09ffffffff,17.0,0.0,0.0
8482a0bffffffff,6.0,0.0,0.0
8482a1dffffffff,3.0,0.0,0.0
8482a37ffffffff,6.0,0.0,0.0
8482a55ffffffff,3.0,0.0,0.0
8482a81ffffffff,6.0,0.0,0.0
8482a83ffffffff,3.0,0.0,0.0
8482aadffffffff,4.0,0.0,0.0
8482ab3ffffffff,10.0,0.0,0.0
8482ab7ffffffff,21.0,0.0,0.0
8482b21ffffffff,1.0,0.0,0.0
8482d03ffffffff,21.0,0.0,0.0
8482d07ffffffff,4.0,0.0,0.0
8482d1dffffffff,57.0,0.0,0.0
8482d27ffffffff,15.0,0.0,0.0
8482d37ffffffff,2.0,0.0,0.0
8482d3dffffffff,33.0,0.0,0.0
8482d45ffffffff,1.0,0.0,0.0
8482d67ffffffff,3.0,0.0,0.0
8482db5ffffffff,2.0,0.0,0.0
8482f09ffffffff,6.0,0.0,0.0
8482f2bffffffff,6.0,0.0,0.0
8482f45ffffffff,2.0,0.0,0.0
8483125ffffffff,6.0,0.0,0.0
8483151ffffffff,11.0,2.0,0.0
84838adffffffff,1.0,0.0,0.0
84838e3ffffffff,2.0,0.0,0.0
8483981ffffffff,11.0,0.0,0.0
8483983ffffffff,14.0,0.0,0.0
848398bffffffff,19.0,0.0,0.0
8483a89ffffffff,5.0,0.0,0.0
8483ac3ffffffff,14.0,7.0,0.0
8483ac9ffffffff,1.0,0.0,0.0
8496009ffffffff,11.0,0.0,0.0
849600bffffffff,3.0,0.0,0.0
8496015ffffffff,3.0,0.0,0.0
8496019ffffffff,2.0,0.0,0.0
849602dffffffff,19.0,0.0,0.0
849603bffffffff,4.0,0.0,0.0
8496047ffffffff,1.0,0.0,0.0
8496089ffffffff,5.0,0.0,0.0
8496093ffffffff,2.0,0.0,0.0
8496095ffffffff,3.0,0.0,0.0
8496097ffffffff,32.0,0.0,0.0
84960bbffffffff,7.0,0.0,0.0
84960e9ffffffff,6.0,0.0,0.0
8496101ffffffff,1.0,0.0,0.0
849615dffffffff,1.0,0.0,0.0
8496287ffffffff,2.0,0.0,0.0
84962e5ffffffff,3.0,0.0,0.0
8496569ffffffff,3.0,0.0,0.0
849656bffffffff,3.0,0.0,0.0
8496727ffffffff,2.0,0.0,0.0
849672bffffffff,1.0,0.0,0.0
84968d1ffffffff,4.0,0.0,0.0
84968d3ffffffff,14.0,0.0,0.0
8496aebffffffff,2.0,0.0,0.0
8496b09ffffffff,4.0,0.0,0.0
8496b0dffffffff,9.0,0.0,0.0
8496b13ffffffff,2.0,0.0,0.0
8496b19ffffffff,2.0,0.0,0.0
8496b1bffffffff,2.0,0.0,0.0
8496b47ffffffff,8.0,0.0,0.0
8496b55ffffffff,2.0,0.0,0.0
8496b63ffffffff,5.0,0.0,0.0
8496b67ffffffff,4.0,0.0,0.0
8496b6dffffffff,2.0,0.0,0.0
8496d21ffffffff,2.0,0.0,0.0
8496d67ffffffff,1.0,0.0,0.0
8497007ffffffff,6.0,0.0,0.0
849702bffffffff,55.0,0.0,0.0
8497035ffffffff,50.0,13.0,0.0
849703dffffffff,9.0,0.0,0.0
8497101ffffffff,4.0,0.0,0.0
8497103ffffffff,28.0,2.0,0.0
8497107ffffffff,18.0,0.0,0.0
8497111ffffffff,2.0,0.0,0.0
8497113ffffffff,7.0,0.0,0.0
8497115ffffffff,1.0,0.0,0.0
8497119ffffffff,50.0,0.0,0.0
849711dffffffff,14.0,0.0,0.0
8497131ffffffff,5.0,0.0,0.0
8497139ffffffff,11.0,0.0,0.0
8497151ffffffff,7.0,0.0,0.0
84971c1ffffffff,37.0,1.0,0.0
84971c3ffffffff,4.0,0.0,0.0
84971cbffffffff,11.0,0.0,0.0
8497249ffffffff,3.0,0.0,0.0
8497317ffffffff,2.0,0.0,0.0
8497357ffffffff,17.0,0.0,0.0
8497359ffffffff,6.0,0.0,0.0
8497895ffffffff,6.0,0.0,0.0
84978b9ffffffff,5.0,0.0,0.0
84978bdffffffff,3.0,0.0,0.0
8497937ffffffff,5.0,0.0,0.0
8497a33ffffffff,4.0,0.0,0.0
8497a85ffffffff,7.0,0.0,0.0
8497a89ffffffff,12.0,0.0,0.0
8497ac7ffffffff,3.0,0.0,0.0
8497b05ffffffff,2.0,0.0,0.0
84bc091ffffffff,1.0,0.0,0.0
84bc193ffffffff,5.0,0.0,0.0
84bc197ffffffff,9.0,3.0,0.0
84bc1b3ffffffff,24.0,0.0,0.0
84bc1b7ffffffff,85.0,9.0,0.0
84bc1bbffffffff,13.0,0.0,0.0
84bc891ffffffff,12.0,2.0,0.0
84bc893ffffffff,3.0,0.0,0.0
84bc897ffffffff,5.0,0.0,0.0
84bc899ffffffff,18.0,3.0,0.0
84bc89bffffffff,28.0,3.0,0.0
84bc8b7ffffffff,3.0,0.0,0.0
84bc8d3ffffffff,20.0,11.0,0.0
84bc991ffffffff,30.0,1.0,0.0
84bc9b3ffffffff,2.0,0.0,0.0
84bcd01ffffffff,28.0,0.0,0.0
84bcd05ffffffff,9.0,0.0,0.0
84bcd07ffffffff,4.0,0.0,0.0
84bcd09ffffffff,2.0,0.0,0.0
84bcd0dffffffff,2.0,0.0,0.0
84bcd1dffffffff,2.0,0.0,0.0
84bcd29ffffffff,7.0,0.0,0.0
84bcd3dffffffff,5.0,0.0,0.0
84bcd41ffffffff,2.0,0.0,0.0
84bcd43ffffffff,4.0,0.0,0.0
84bcd45ffffffff,12.0,0.0,0.0
84bcd47ffffffff,2.0,0.0,0.0
84bcd4bffffffff,4.0,0.0,0.0
84bcd61ffffffff,4.0,0.0,0.0
84bcd63ffffffff,7.0,0.0,0.0
84bcd6dffffffff,52.0,5.0,0.0
84bce67ffffffff,1.0,0.0,0.0
84bce69ffffffff,6.0,0.0,0.0
84bcf09ffffffff,193.0,36.0,0.0
84bcf0dffffffff,3.0,0.0,0.0
84bcf21ffffffff,26.0,21.0,0.0
84bcf25ffffffff,20.0,6.0,0.0
84bcf29ffffffff,174.0,43.0,0.0
84bcf2dffffffff,23.0,3.0,0.0
84bcf43ffffffff,18.0,0.0,0.0
84bcf47ffffffff,161.0,47.0,0.0
84bcf53ffffffff,1.0,0.0,0.0
84bcf59ffffffff,42.0,7.0,0.0
84bcf5dffffffff,54.0,7.0,0.0
84bcf61ffffffff,591.0,143.0,0.0
84bcf63ffffffff,139.0,39.0,0.0
84bcf67ffffffff,61.0,13.0,0.0
84bcf6bffffffff,6.0,2.0,0.0
