cell_id,Botaurus exilis,Botaurus exilis exilis/pullus,Botaurus exilis [erythromelas Group]
8409a69ffffffff,3.0,0.0,0.0
841aa07ffffffff,6.0,0.0,0.0
841aa23ffffffff,2.0,0.0,0.0
841b999ffffffff,4.0,0.0,0.0
842600bffffffff,2.0,0.0,0.0
842603dffffffff,9.0,0.0,0.0
8426043ffffffff,2.0,0.0,0.0
84260a1ffffffff,4.0,0.0,0.0
84260b9ffffffff,4.0,0.0,0.0
84260bbffffffff,1.0,0.0,0.0
8426117ffffffff,2.0,0.0,0.0
842619dffffffff,2.0,0.0,0.0
84261c1ffffffff,2.0,0.0,0.0
84261d5ffffffff,2.0,0.0,0.0
842621dffffffff,2.0,0.0,0.0
8426237ffffffff,2.0,0.0,0.0
842623dffffffff,2.0,0.0,0.0
8426265ffffffff,1.0,0.0,0.0
8426267ffffffff,2.0,0.0,0.0
842626dffffffff,3.0,0.0,0.0
84262cdffffffff,2.0,0.0,0.0
84262ddffffffff,2.0,0.0,0.0
84262e7ffffffff,2.0,0.0,0.0
8426341ffffffff,14.0,0.0,0.0
8426345ffffffff,5.0,0.0,0.0
842634dffffffff,27.0,0.0,0.0
8426353ffffffff,2.0,0.0,0.0
842636bffffffff,2.0,0.0,0.0
842640dffffffff,27.0,0.0,0.0
8426417ffffffff,1.0,0.0,0.0
8426437ffffffff,1.0,0.0,0.0
8426461ffffffff,15.0,0.0,0.0
8426463ffffffff,10.0,0.0,0.0
842646bffffffff,6.0,0.0,0.0
8426481ffffffff,5.0,0.0,0.0
8426489ffffffff,9.0,0.0,0.0
84264a1ffffffff,15.0,0.0,0.0
84264c3ffffffff,2.0,0.0,0.0
84264d9ffffffff,5.0,0.0,0.0
84264ddffffffff,2.0,0.0,0.0
84264e5ffffffff,19.0,0.0,0.0
8426521ffffffff,1.0,0.0,0.0
842654bffffffff,2.0,0.0,0.0
8426551ffffffff,3.0,0.0,0.0
8426555ffffffff,4.0,0.0,0.0
8426567ffffffff,8.0,0.0,0.0
842659bffffffff,7.0,0.0,0.0
84265d9ffffffff,1.0,0.0,0.0
84265dbffffffff,6.0,0.0,0.0
