cell_id,Cinclus mexicanus,Cinclus mexicanus [mexicanus Group],Cinclus mexicanus ardesiacus
830c14fffffffff,339.0,0.0,0.0
830c15fffffffff,2.0,0.0,0.0
830c42fffffffff,348.0,0.0,0.0
830c44fffffffff,13.0,0.0,0.0
830c45fffffffff,47.0,0.0,0.0
830c46fffffffff,181.0,0.0,0.0
830c50fffffffff,5.0,0.0,0.0
830c51fffffffff,21.0,0.0,0.0
830c55fffffffff,162.0,0.0,0.0
830c5afffffffff,147.0,0.0,0.0
830c5efffffffff,2.0,0.0,0.0
830c63fffffffff,6.0,0.0,0.0
830c65fffffffff,3.0,0.0,0.0
830c66fffffffff,46.0,2.0,0.0
830c70fffffffff,12.0,0.0,0.0
830c71fffffffff,26.0,0.0,0.0
830c73fffffffff,627.0,10.0,0.0
830c74fffffffff,61.0,0.0,0.0
830c75fffffffff,51.0,6.0,0.0
830c76fffffffff,10.0,0.0,0.0
830ccefffffffff,4.0,0.0,0.0
830cd8fffffffff,2.0,0.0,0.0
830cdefffffffff,12.0,0.0,0.0
830ce9fffffffff,1.0,0.0,0.0
830cecfffffffff,2.0,0.0,0.0
830cedfffffffff,3.0,0.0,0.0
830d4dfffffffff,40.0,0.0,0.0
830d58fffffffff,18.0,0.0,0.0
830d71fffffffff,1.0,0.0,0.0
830d72fffffffff,8.0,0.0,0.0
830d73fffffffff,12.0,0.0,0.0
83121afffffffff,2.0,0.0,0.0
831236fffffffff,1.0,0.0,0.0
831280fffffffff,10.0,0.0,0.0
831282fffffffff,1.0,0.0,0.0
831283fffffffff,4.0,0.0,0.0
831284fffffffff,11.0,0.0,0.0
831285fffffffff,9.0,0.0,0.0
831289fffffffff,3.0,0.0,0.0
83128bfffffffff,1.0,0.0,0.0
83128dfffffffff,21.0,0.0,0.0
83128efffffffff,4.0,0.0,0.0
831290fffffffff,7.0,0.0,0.0
831294fffffffff,2.0,0.0,0.0
831299fffffffff,6.0,0.0,0.0
83129afffffffff,4.0,0.0,0.0
83129bfffffffff,11.0,0.0,0.0
83129cfffffffff,1.0,0.0,0.0
83129dfffffffff,10.0,0.0,0.0
8312a2fffffffff,31.0,0.0,0.0
8312a3fffffffff,3.0,0.0,0.0
8312a6fffffffff,5.0,0.0,0.0
8312a9fffffffff,92.0,0.0,0.0
8312aafffffffff,6.0,0.0,0.0
8312abfffffffff,1.0,0.0,0.0
8312adfffffffff,4.0,0.0,0.0
8312b0fffffffff,279.0,0.0,0.0
8312b1fffffffff,7.0,0.0,0.0
8312b4fffffffff,21.0,0.0,0.0
8312b5fffffffff,23.0,0.0,0.0
8312b6fffffffff,5.0,0.0,0.0
8312c0fffffffff,177.0,0.0,0.0
8312c1fffffffff,736.0,0.0,0.0
8312c2fffffffff,45.0,0.0,0.0
8312c3fffffffff,60.0,0.0,0.0
8312c4fffffffff,100.0,0.0,0.0
8312c5fffffffff,12.0,0.0,0.0
8312c8fffffffff,121.0,0.0,0.0
8312cafffffffff,513.0,0.0,0.0
8312cbfffffffff,878.0,0.0,0.0
8312ccfffffffff,429.0,0.0,0.0
8312cefffffffff,150.0,0.0,0.0
8312d0fffffffff,12.0,0.0,0.0
8312d1fffffffff,312.0,0.0,0.0
8312d2fffffffff,16.0,0.0,0.0
8312d3fffffffff,133.0,0.0,0.0
8312d5fffffffff,18.0,0.0,0.0
8312d6fffffffff,163.0,0.0,0.0
8312d8fffffffff,352.0,0.0,0.0
8312d9fffffffff,117.0,0.0,0.0
8312dafffffffff,13.0,0.0,0.0
8312dbfffffffff,96.0,0.0,0.0
8312dcfffffffff,592.0,0.0,0.0
8312ddfffffffff,905.0,0.0,0.0
8312defffffffff,245.0,0.0,0.0
8312e2fffffffff,17.0,0.0,0.0
8312eafffffffff,50.0,0.0,0.0
8312f0fffffffff,9.0,0.0,0.0
8312f1fffffffff,69.0,0.0,0.0
8312f2fffffffff,12.0,0.0,0.0
8312f3fffffffff,9.0,0.0,0.0
8312f4fffffffff,4.0,0.0,0.0
8312f5fffffffff,1.0,0.0,0.0
8312f6fffffffff,32.0,0.0,0.0
831382fffffffff,10.0,0.0,0.0
831383fffffffff,2.0,0.0,0.0
831386fffffffff,150.0,0.0,0.0
831389fffffffff,4.0,0.0,0.0
83138efffffffff,5.0,0.0,0.0
831390fffffffff,1.0,0.0,0.0
831391fffffffff,101.0,0.0,0.0
831393fffffffff,3.0,0.0,0.0
831394fffffffff,4.0,0.0,0.0
831395fffffffff,31.0,0.0,0.0
83139afffffffff,2.0,0.0,0.0
83139cfffffffff,6.0,0.0,0.0
83139efffffffff,190.0,0.0,0.0
8313b2fffffffff,7.0,0.0,0.0
8313b3fffffffff,36.0,0.0,0.0
831d24fffffffff,63.0,0.0,0.0
8322d0fffffffff,56.0,0.0,0.0
832680fffffffff,211.0,0.0,0.0
832681fffffffff,4179.0,0.0,0.0
832682fffffffff,5.0,0.0,0.0
832683fffffffff,561.0,0.0,0.0
832684fffffffff,23.0,0.0,0.0
832685fffffffff,618.0,0.0,0.0
832688fffffffff,298.0,0.0,0.0
83268afffffffff,51.0,0.0,0.0
83268bfffffffff,55.0,0.0,0.0
83268cfffffffff,984.0,0.0,0.0
83268efffffffff,496.0,0.0,0.0
832690fffffffff,494.0,0.0,0.0
832691fffffffff,8.0,0.0,0.0
832692fffffffff,18.0,0.0,0.0
832693fffffffff,2.0,0.0,0.0
832694fffffffff,205.0,0.0,0.0
832695fffffffff,18.0,0.0,0.0
832696fffffffff,1041.0,0.0,0.0
832698fffffffff,245.0,0.0,0.0
832699fffffffff,622.0,0.0,0.0
83269bfffffffff,5.0,0.0,0.0
83269cfffffffff,204.0,0.0,0.0
83269dfffffffff,516.0,0.0,0.0
83269efffffffff,10.0,0.0,0.0
8326a0fffffffff,2.0,0.0,0.0
8326a2fffffffff,5.0,0.0,0.0
8326a5fffffffff,2.0,0.0,0.0
8326a6fffffffff,8.0,0.0,0.0
8326aafffffffff,191.0,0.0,0.0
8326b0fffffffff,239.0,0.0,0.0
8326b1fffffffff,25.0,0.0,0.0
8326b2fffffffff,8.0,0.0,0.0
8326b3fffffffff,2.0,0.0,0.0
8326b4fffffffff,73.0,0.0,0.0
8326b5fffffffff,9.0,0.0,0.0
8326b6fffffffff,325.0,0.0,0.0
83278bfffffffff,333.0,0.0,0.0
832790fffffffff,20.0,0.0,0.0
832791fffffffff,2.0,0.0,0.0
832792fffffffff,203.0,0.0,0.0
832793fffffffff,28.0,0.0,0.0
832796fffffffff,8.0,0.0,0.0
832798fffffffff,16.0,0.0,0.0
832799fffffffff,156.0,0.0,0.0
83279afffffffff,184.0,0.0,0.0
83279bfffffffff,31.0,0.0,0.0
83279efffffffff,23.0,0.0,0.0
832800fffffffff,14.0,0.0,0.0
832802fffffffff,167.0,0.0,0.0
832803fffffffff,1.0,0.0,0.0
832806fffffffff,106.0,0.0,0.0
832810fffffffff,313.0,0.0,0.0
832811fffffffff,235.0,0.0,0.0
832812fffffffff,20.0,0.0,0.0
832813fffffffff,7.0,0.0,0.0
832814fffffffff,923.0,0.0,0.0
832815fffffffff,89.0,0.0,0.0
832818fffffffff,83.0,0.0,0.0
83281afffffffff,378.0,0.0,0.0
83281bfffffffff,284.0,0.0,0.0
83281cfffffffff,334.0,0.0,0.0
83281dfffffffff,7.0,0.0,0.0
83281efffffffff,423.0,0.0,0.0
832830fffffffff,40.0,0.0,0.0
832831fffffffff,28.0,0.0,0.0
832832fffffffff,799.0,0.0,0.0
832833fffffffff,10.0,0.0,0.0
832834fffffffff,174.0,0.0,0.0
832836fffffffff,20.0,0.0,0.0
832880fffffffff,235.0,0.0,0.0
832881fffffffff,429.0,0.0,0.0
832882fffffffff,51.0,0.0,0.0
832883fffffffff,116.0,0.0,0.0
832884fffffffff,263.0,0.0,0.0
832886fffffffff,288.0,0.0,0.0
832888fffffffff,32.0,0.0,0.0
832889fffffffff,110.0,0.0,0.0
83288afffffffff,6.0,0.0,0.0
83288bfffffffff,14.0,0.0,0.0
83288cfffffffff,133.0,0.0,0.0
83288dfffffffff,21.0,0.0,0.0
83288efffffffff,182.0,0.0,0.0
832890fffffffff,147.0,0.0,0.0
832891fffffffff,18.0,0.0,0.0
832892fffffffff,653.0,0.0,0.0
