cell_id,Hemixos flavala,Hemixos flavala [flavala Group],Hemixos flavala remotus
843c02dffffffff,1.0,0.0,0.0
843c0a5ffffffff,32.0,0.0,0.0
843c1d7ffffffff,4.0,0.0,0.0
843c369ffffffff,1.0,0.0,0.0
843c525ffffffff,3.0,0.0,0.0
843c537ffffffff,1.0,0.0,0.0
843c581ffffffff,6.0,6.0,0.0
843c5a1ffffffff,7.0,7.0,0.0
843cc43ffffffff,1.0,0.0,0.0
843cc47ffffffff,3.0,0.0,0.0
843cc5dffffffff,2.0,0.0,0.0
843ce13ffffffff,2.0,0.0,0.0
843ce15ffffffff,3.0,0.0,0.0
843ce29ffffffff,8.0,8.0,0.0
843ce31ffffffff,2.0,0.0,0.0
843ce4dffffffff,1.0,0.0,0.0
843ce85ffffffff,5.0,0.0,0.0
843ce87ffffffff,2.0,2.0,0.0
843ce89ffffffff,6.0,0.0,0.0
843cea1ffffffff,4.0,0.0,0.0
843cea3ffffffff,2.0,0.0,0.0
843cec1ffffffff,1.0,0.0,0.0
843d131ffffffff,3.0,0.0,0.0
843d135ffffffff,2.0,0.0,0.0
843d137ffffffff,49.0,8.0,0.0
843d13dffffffff,7.0,0.0,0.0
843dad1ffffffff,27.0,24.0,0.0
843dad7ffffffff,3.0,0.0,0.0
843dad9ffffffff,9.0,9.0,0.0
843daddffffffff,14.0,10.0,0.0
84404c1ffffffff,6.0,6.0,0.0
84404ddffffffff,13.0,13.0,0.0
8440653ffffffff,4.0,4.0,0.0
84406b5ffffffff,2.0,2.0,0.0
84406b7ffffffff,8.0,8.0,0.0
8465b61ffffffff,8.0,0.0,8.0
8465b67ffffffff,3.0,0.0,3.0
