cell_id,Sphecotheres vieilloti,Sphecotheres vieilloti [flaviventris Group],Sphecotheres vieilloti salvadorii,Sphecotheres vieilloti vieilloti
837290fffffffff,18.0,0.0,0.0,0.0
839418fffffffff,4.0,0.0,0.0,0.0
83941bfffffffff,4.0,0.0,0.0,0.0
839450fffffffff,1198.0,61.0,0.0,0.0
839451fffffffff,1926.0,107.0,0.0,0.0
839453fffffffff,86.0,3.0,0.0,0.0
839455fffffffff,11.0,0.0,0.0,0.0
839459fffffffff,5.0,0.0,0.0,0.0
83945afffffffff,27.0,0.0,0.0,0.0
83945cfffffffff,117.0,0.0,0.0,0.0
83945efffffffff,32.0,0.0,0.0,0.0
83948dfffffffff,7.0,0.0,0.0,0.0
8394a9fffffffff,2.0,0.0,0.0,0.0
8394abfffffffff,1.0,0.0,0.0,0.0
8394e3fffffffff,8.0,0.0,0.0,0.0
8394e8fffffffff,5.0,0.0,0.0,0.0
8394edfffffffff,349.0,0.0,0.0,0.0
8394eefffffffff,16.0,0.0,0.0,0.0
8394f6fffffffff,6.0,0.0,0.0,0.0
839c00fffffffff,146.0,0.0,0.0,0.0
839c01fffffffff,37.0,0.0,0.0,0.0
839c05fffffffff,887.0,0.0,0.0,0.0
839c0afffffffff,20.0,0.0,0.0,0.0
839c0efffffffff,11.0,0.0,0.0,0.0
839c19fffffffff,565.0,0.0,0.0,0.0
839c20fffffffff,400.0,0.0,0.0,0.0
839c21fffffffff,101.0,0.0,0.0,0.0
839c23fffffffff,7202.0,0.0,0.0,0.0
839c25fffffffff,282.0,0.0,0.0,0.0
839c2cfffffffff,3.0,0.0,0.0,0.0
839c2dfffffffff,2.0,0.0,0.0,0.0
839c2efffffffff,9.0,0.0,0.0,0.0
839c4bfffffffff,7.0,0.0,0.0,0.0
839c58fffffffff,9.0,0.0,0.0,0.0
839c5afffffffff,8.0,0.0,0.0,0.0
839c60fffffffff,1.0,0.0,0.0,0.0
839c74fffffffff,51.0,0.0,0.0,0.0
839c85fffffffff,27.0,0.0,0.0,0.0
839ca6fffffffff,19.0,0.0,0.0,0.0
839caafffffffff,24.0,0.0,0.0,0.0
839caefffffffff,166.0,0.0,0.0,0.0
839ce2fffffffff,3.0,0.0,0.0,0.0
839ce4fffffffff,36.0,0.0,0.0,0.0
839ce6fffffffff,3.0,0.0,0.0,0.0
839ce9fffffffff,29.0,0.0,0.0,0.0
839cf1fffffffff,15.0,0.0,0.0,0.0
839cf5fffffffff,84.0,0.0,0.0,0.0
839d01fffffffff,439.0,0.0,0.0,0.0
839d08fffffffff,10.0,0.0,0.0,0.0
839d09fffffffff,15.0,0.0,0.0,0.0
839d0afffffffff,38.0,0.0,0.0,0.0
839d0bfffffffff,581.0,0.0,0.0,0.0
839d0cfffffffff,159.0,0.0,0.0,0.0
839d0efffffffff,114.0,0.0,0.0,0.0
839d21fffffffff,401.0,0.0,0.0,0.0
839d23fffffffff,22.0,0.0,0.0,0.0
839d24fffffffff,81.0,0.0,0.0,0.0
839d25fffffffff,130.0,0.0,0.0,0.0
839d28fffffffff,47.0,0.0,0.0,0.0
839d29fffffffff,9.0,0.0,0.0,0.0
839d2afffffffff,81.0,0.0,0.0,0.0
839d2cfffffffff,4.0,0.0,0.0,0.0
839d2dfffffffff,19.0,0.0,0.0,0.0
839d2efffffffff,20.0,0.0,0.0,0.0
839d56fffffffff,4.0,0.0,0.0,0.0
83be08fffffffff,2152.0,0.0,0.0,0.0
83be0afffffffff,142.0,0.0,0.0,0.0
83be0cfffffffff,1076.0,0.0,0.0,0.0
83be0dfffffffff,184.0,0.0,0.0,0.0
83be0efffffffff,748.0,0.0,0.0,0.0
83be18fffffffff,755.0,0.0,0.0,0.0
83be19fffffffff,15.0,0.0,0.0,0.0
83be1afffffffff,377.0,0.0,0.0,0.0
83be1bfffffffff,20.0,0.0,0.0,0.0
83be1dfffffffff,688.0,0.0,0.0,0.0
83be29fffffffff,45.0,0.0,0.0,0.0
83be2bfffffffff,3.0,0.0,0.0,0.0
83be74fffffffff,133.0,0.0,0.0,0.0
83be75fffffffff,27.0,0.0,0.0,0.0
83be76fffffffff,29.0,0.0,0.0,0.0
83be88fffffffff,1241.0,0.0,0.0,0.0
83be89fffffffff,208.0,0.0,0.0,0.0
83be8bfffffffff,568.0,0.0,0.0,0.0
83be8dfffffffff,14078.0,0.0,0.0,0.0
83bea9fffffffff,1161.0,0.0,0.0,0.0
83beabfffffffff,2050.0,0.0,0.0,0.0
83bec4fffffffff,1.0,0.0,0.0,0.0
83bec6fffffffff,7.0,0.0,0.0,0.0
83bed0fffffffff,2.0,0.0,0.0,0.0
83bed1fffffffff,11.0,0.0,0.0,0.0
83bed2fffffffff,18.0,0.0,0.0,0.0
83bed3fffffffff,2.0,0.0,0.0,0.0
83bed4fffffffff,7.0,0.0,0.0,0.0
83bed6fffffffff,5.0,0.0,0.0,0.0
83bedefffffffff,57.0,0.0,0.0,0.0
83bee2fffffffff,2.0,0.0,0.0,0.0
83bee4fffffffff,2.0,0.0,0.0,0.0
83bee6fffffffff,14.0,0.0,0.0,0.0
83bef0fffffffff,22.0,0.0,0.0,0.0
83bef1fffffffff,5.0,0.0,0.0,0.0
83bef2fffffffff,457.0,0.0,0.0,0.0
83bef4fffffffff,16.0,0.0,0.0,0.0
83bef5fffffffff,13.0,0.0,0.0,0.0
83bef6fffffffff,568.0,0.0,0.0,0.0
