cell_id,Alectura lathami,Alectura lathami purpureicollis,Alectura lathami lathami
839c00fffffffff,96.0,0.0,0.0
839c01fffffffff,26.0,0.0,0.0
839c04fffffffff,2.0,0.0,0.0
839c05fffffffff,274.0,0.0,0.0
839c0afffffffff,7.0,0.0,0.0
839c0efffffffff,33.0,0.0,0.0
839c19fffffffff,985.0,0.0,0.0
839c20fffffffff,22.0,0.0,0.0
839c21fffffffff,584.0,0.0,0.0
839c23fffffffff,5055.0,0.0,0.0
839c25fffffffff,196.0,0.0,0.0
839c2cfffffffff,7.0,0.0,0.0
839c2dfffffffff,1.0,0.0,0.0
839c2efffffffff,3.0,0.0,0.0
839c74fffffffff,9.0,0.0,0.0
839ce2fffffffff,5.0,0.0,0.0
839ce4fffffffff,8.0,0.0,0.0
839ce6fffffffff,11.0,0.0,0.0
839cf5fffffffff,77.0,0.0,0.0
839d01fffffffff,122.0,0.0,0.0
839d08fffffffff,2.0,0.0,0.0
839d0afffffffff,9.0,0.0,0.0
839d0bfffffffff,231.0,0.0,0.0
839d0cfffffffff,142.0,0.0,0.0
839d0efffffffff,36.0,0.0,0.0
839d21fffffffff,183.0,0.0,0.0
839d23fffffffff,10.0,0.0,0.0
839d24fffffffff,23.0,0.0,0.0
839d25fffffffff,57.0,0.0,0.0
839d2afffffffff,20.0,0.0,0.0
83be08fffffffff,1029.0,0.0,0.0
83be0afffffffff,108.0,0.0,0.0
83be0dfffffffff,4.0,0.0,0.0
83be0efffffffff,648.0,0.0,0.0
83be18fffffffff,197.0,0.0,0.0
83be19fffffffff,93.0,0.0,0.0
83be1afffffffff,256.0,0.0,0.0
83be1bfffffffff,2.0,0.0,0.0
83be1dfffffffff,131.0,0.0,0.0
83be88fffffffff,840.0,0.0,0.0
83be89fffffffff,292.0,0.0,0.0
83be8afffffffff,2.0,0.0,0.0
83be8bfffffffff,135.0,0.0,0.0
83be8dfffffffff,8077.0,0.0,0.0
83bea9fffffffff,289.0,0.0,0.0
83beabfffffffff,1651.0,0.0,0.0
83bed0fffffffff,2.0,0.0,0.0
83bedefffffffff,2.0,0.0,0.0
83bef0fffffffff,2.0,0.0,0.0
83bef2fffffffff,179.0,0.0,0.0
83bef3fffffffff,2.0,0.0,0.0
83bef4fffffffff,2.0,0.0,0.0
83bef6fffffffff,1758.0,0.0,0.0
