cell_id,Hypsipetes leucocephalus,Hypsipetes leucocephalus [psaroides Group],Hypsipetes leucocephalus sinensis/ambiens,Hypsipetes leucocephalus [leucocephalus Group],Hypsipetes leucocephalus perniger,Hypsipetes leucocephalus nigerrimus
83209afffffffff,241.0,0.0,0.0,0.0,0.0,0.0
83209bfffffffff,33.0,0.0,0.0,0.0,0.0,0.0
83209efffffffff,15.0,0.0,0.0,0.0,0.0,0.0
833091fffffffff,41.0,0.0,0.0,5.0,0.0,0.0
833092fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
833096fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
833098fffffffff,18.0,0.0,0.0,5.0,0.0,0.0
83309afffffffff,241.0,0.0,0.0,196.0,0.0,0.0
83309bfffffffff,21.0,0.0,0.0,14.0,0.0,0.0
83309dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83309efffffffff,7.0,0.0,0.0,7.0,0.0,0.0
833c00fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
833c02fffffffff,906.0,48.0,0.0,0.0,0.0,0.0
833c03fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
833c06fffffffff,48.0,0.0,0.0,0.0,0.0,0.0
833c0afffffffff,1128.0,34.0,0.0,0.0,0.0,0.0
833c0bfffffffff,486.0,34.0,0.0,0.0,0.0,0.0
833c15fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
833c19fffffffff,547.0,0.0,0.0,0.0,0.0,0.0
833c1cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
833c1dfffffffff,667.0,6.0,0.0,0.0,0.0,0.0
833c30fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
833c31fffffffff,142.0,0.0,0.0,0.0,0.0,0.0
833c33fffffffff,36.0,0.0,0.0,0.0,0.0,0.0
833c34fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
833c35fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
833c36fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
833c42fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
833c43fffffffff,5.0,4.0,0.0,0.0,0.0,0.0
833c52fffffffff,1208.0,0.0,0.0,0.0,0.0,0.0
833c53fffffffff,67.0,0.0,0.0,0.0,0.0,0.0
833c56fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
833c58fffffffff,836.0,0.0,0.0,0.0,0.0,0.0
833c59fffffffff,115.0,0.0,0.0,0.0,0.0,0.0
833c5afffffffff,115.0,0.0,0.0,0.0,0.0,0.0
833c5bfffffffff,261.0,0.0,0.0,0.0,0.0,0.0
833c5cfffffffff,74.0,2.0,0.0,0.0,0.0,0.0
833c5dfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
833c5efffffffff,68.0,0.0,0.0,0.0,0.0,0.0
833cc0fffffffff,35.0,0.0,0.0,0.0,0.0,0.0
833cc1fffffffff,29.0,0.0,0.0,0.0,0.0,0.0
833cc3fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
