cell_id,Dryobates lignarius,Dryobates lignarius puncticeps,Dryobates lignarius lignarius
838b20fffffffff,123.0,0.0,0.0
838b21fffffffff,8.0,0.0,0.0
838b22fffffffff,1.0,0.0,0.0
838b24fffffffff,6.0,0.0,0.0
838b25fffffffff,33.0,0.0,0.0
838b2cfffffffff,53.0,0.0,0.0
838b2dfffffffff,8.0,0.0,0.0
83b219fffffffff,132.0,0.0,0.0
83b21bfffffffff,23.0,0.0,0.0
83b2c0fffffffff,590.0,0.0,0.0
83b2c1fffffffff,215.0,0.0,0.0
83b2c2fffffffff,58.0,0.0,0.0
83b2c3fffffffff,111.0,0.0,0.0
83b2c4fffffffff,1770.0,0.0,0.0
83b2c5fffffffff,2348.0,0.0,0.0
83b2cafffffffff,3.0,0.0,0.0
83b2cefffffffff,312.0,0.0,0.0
83b2d8fffffffff,15.0,0.0,0.0
83b2d9fffffffff,57.0,0.0,0.0
83b2dafffffffff,25.0,0.0,0.0
83b2dbfffffffff,33.0,0.0,0.0
83b2dcfffffffff,77.0,0.0,0.0
83b2ddfffffffff,97.0,0.0,0.0
83b2e0fffffffff,2.0,0.0,0.0
83b2e2fffffffff,293.0,0.0,0.0
83b2e3fffffffff,29.0,0.0,0.0
83b2e4fffffffff,2.0,0.0,0.0
83b2e6fffffffff,64.0,0.0,0.0
83b32dfffffffff,1.0,0.0,0.0
83b371fffffffff,1.0,0.0,0.0
83ce80fffffffff,34.0,0.0,0.0
83ce81fffffffff,208.0,0.0,0.0
83ce83fffffffff,107.0,0.0,0.0
83ce84fffffffff,3.0,0.0,0.0
83ce85fffffffff,82.0,0.0,0.0
83ce88fffffffff,16.0,0.0,0.0
83ce8afffffffff,79.0,0.0,0.0
83ce8bfffffffff,25.0,0.0,0.0
83ce8cfffffffff,162.0,0.0,0.0
83ce8efffffffff,67.0,0.0,0.0
83ce98fffffffff,2.0,0.0,0.0
83ce99fffffffff,29.0,0.0,0.0
83ce9bfffffffff,26.0,0.0,0.0
83ce9dfffffffff,177.0,0.0,0.0
83cea0fffffffff,12.0,0.0,0.0
83cea1fffffffff,55.0,0.0,0.0
83cea3fffffffff,21.0,0.0,0.0
83cea4fffffffff,5.0,0.0,0.0
83cea5fffffffff,13.0,0.0,0.0
83cea8fffffffff,90.0,0.0,0.0
83ceaafffffffff,356.0,0.0,0.0
83ceabfffffffff,7.0,0.0,0.0
83ceacfffffffff,60.0,0.0,0.0
83ceaefffffffff,59.0,0.0,0.0
83cf10fffffffff,2.0,0.0,0.0
83cf12fffffffff,148.0,0.0,0.0
83cf13fffffffff,21.0,0.0,0.0
83cf16fffffffff,11.0,0.0,0.0
83cf88fffffffff,29.0,0.0,0.0
83cf89fffffffff,2.0,0.0,0.0
83cf8bfffffffff,73.0,0.0,0.0
83cf8cfffffffff,43.0,0.0,0.0
83cf8dfffffffff,8.0,0.0,0.0
83cfa8fffffffff,36.0,0.0,0.0
83cfabfffffffff,11.0,0.0,0.0
83df69fffffffff,8.0,0.0,0.0
