cell_id,Formicarius analis,Formicarius analis [hoffmanni Group],Formicarius analis [analis Group]
824537fffffffff,174.0,42.0,0.0
825f07fffffffff,105.0,0.0,0.0
825f17fffffffff,29.0,0.0,0.0
825f1ffffffffff,1.0,0.0,0.0
825f2ffffffffff,66.0,0.0,0.0
825f37fffffffff,1.0,0.0,0.0
825f47fffffffff,8.0,0.0,0.0
825f4ffffffffff,79.0,0.0,0.0
825f57fffffffff,4.0,0.0,0.0
825f5ffffffffff,397.0,0.0,0.0
825f77fffffffff,16.0,0.0,0.0
826607fffffffff,2.0,0.0,0.0
82660ffffffffff,799.0,0.0,0.0
826617fffffffff,1128.0,177.0,0.0
82661ffffffffff,538.0,0.0,0.0
82662ffffffffff,94.0,21.0,0.0
826647fffffffff,2.0,0.0,0.0
82665ffffffffff,2.0,0.0,0.0
8266a7fffffffff,5797.0,777.0,0.0
8266b7fffffffff,3460.0,2.0,0.0
8266c7fffffffff,7.0,0.0,0.0
8266cffffffffff,9.0,0.0,0.0
8266d7fffffffff,6.0,0.0,0.0
8266dffffffffff,234.0,0.0,35.0
8266e7fffffffff,10.0,0.0,0.0
8266effffffffff,4.0,0.0,0.0
826747fffffffff,467.0,0.0,10.0
82674ffffffffff,62.0,0.0,0.0
826757fffffffff,249.0,0.0,0.0
82675ffffffffff,186.0,0.0,1.0
826797fffffffff,145.0,0.0,0.0
82679ffffffffff,190.0,0.0,0.0
826d67fffffffff,668.0,0.0,0.0
826d6ffffffffff,2540.0,0.0,0.0
828047fffffffff,23.0,0.0,0.0
828067fffffffff,90.0,0.0,0.0
828077fffffffff,17.0,0.0,1.0
828147fffffffff,2.0,0.0,0.0
82814ffffffffff,123.0,0.0,0.0
82815ffffffffff,21.0,0.0,0.0
828a17fffffffff,12.0,0.0,0.0
828a47fffffffff,2.0,0.0,0.0
828a6ffffffffff,31.0,0.0,0.0
828a77fffffffff,7.0,0.0,0.0
828a87fffffffff,21.0,0.0,0.0
828a97fffffffff,2.0,0.0,0.0
828a9ffffffffff,29.0,0.0,0.0
828aaffffffffff,1.0,0.0,0.0
828af7fffffffff,224.0,0.0,14.0
828b07fffffffff,2.0,0.0,0.0
828b27fffffffff,24.0,0.0,0.0
828b2ffffffffff,42.0,0.0,0.0
828b47fffffffff,2032.0,0.0,5.0
828b4ffffffffff,23.0,0.0,1.0
828b57fffffffff,31.0,0.0,0.0
828b5ffffffffff,30.0,0.0,0.0
828b67fffffffff,812.0,0.0,20.0
828b6ffffffffff,231.0,0.0,0.0
828b77fffffffff,270.0,0.0,8.0
828b9ffffffffff,5.0,0.0,0.0
828e67fffffffff,61.0,0.0,0.0
828e6ffffffffff,2.0,0.0,0.0
828f47fffffffff,131.0,0.0,0.0
828f4ffffffffff,68.0,0.0,0.0
828f5ffffffffff,4.0,0.0,0.0
828f67fffffffff,17.0,0.0,0.0
828f6ffffffffff,25.0,0.0,9.0
828f77fffffffff,91.0,0.0,15.0
