cell_id,Ninox boobook,Ninox boobook [boobook Group],Ninox boobook lurida
8494187ffffffff,8.0,2.0,0.0
84941b1ffffffff,3.0,1.0,0.0
84941bdffffffff,17.0,0.0,0.0
8494501ffffffff,4.0,0.0,0.0
8494503ffffffff,2.0,2.0,0.0
8494511ffffffff,8.0,0.0,0.0
8494513ffffffff,7.0,2.0,0.0
8494515ffffffff,1.0,0.0,0.0
8494517ffffffff,4.0,0.0,0.0
849451dffffffff,5.0,0.0,0.0
8494531ffffffff,1.0,0.0,0.0
8494533ffffffff,4.0,0.0,0.0
8494535ffffffff,2.0,0.0,0.0
8494539ffffffff,5.0,0.0,0.0
8494551ffffffff,2.0,0.0,0.0
8494559ffffffff,7.0,0.0,0.0
849458dffffffff,12.0,2.0,0.0
84945a3ffffffff,1.0,0.0,0.0
84945a5ffffffff,1.0,0.0,0.0
84945a7ffffffff,1.0,0.0,0.0
84945abffffffff,3.0,0.0,0.0
84945adffffffff,2.0,1.0,0.0
84945c3ffffffff,12.0,2.0,0.0
84945c5ffffffff,1.0,0.0,0.0
84945c7ffffffff,12.0,2.0,0.0
84945e1ffffffff,9.0,2.0,0.0
84945e3ffffffff,18.0,2.0,0.0
84945e5ffffffff,7.0,0.0,0.0
84945ebffffffff,11.0,5.0,0.0
849466dffffffff,18.0,6.0,0.0
8494803ffffffff,34.0,3.0,0.0
849480bffffffff,19.0,0.0,0.0
8494811ffffffff,6.0,2.0,0.0
849481dffffffff,8.0,0.0,0.0
849482bffffffff,2.0,0.0,0.0
849485bffffffff,1.0,0.0,0.0
8494893ffffffff,2.0,0.0,0.0
84948c9ffffffff,2.0,0.0,0.0
84948d1ffffffff,1.0,0.0,0.0
84948d3ffffffff,2.0,0.0,0.0
84948d9ffffffff,9.0,1.0,0.0
84948edffffffff,10.0,1.0,0.0
8494a93ffffffff,2.0,0.0,0.0
8494ab3ffffffff,6.0,0.0,0.0
8494ad3ffffffff,3.0,0.0,0.0
8494c49ffffffff,7.0,1.0,0.0
8494c5bffffffff,2.0,0.0,0.0
8494ccbffffffff,1.0,1.0,0.0
8494d45ffffffff,1.0,0.0,0.0
8494e25ffffffff,1.0,0.0,0.0
8494e29ffffffff,4.0,2.0,0.0
8494e2bffffffff,4.0,0.0,0.0
8494e2dffffffff,1.0,0.0,0.0
8494e31ffffffff,2.0,0.0,0.0
8494e35ffffffff,3.0,0.0,0.0
8494e3dffffffff,5.0,3.0,0.0
8494e85ffffffff,6.0,1.0,0.0
8494e87ffffffff,2.0,2.0,0.0
8494ea9ffffffff,4.0,0.0,0.0
8494eb9ffffffff,2.0,0.0,0.0
8494ed3ffffffff,8.0,2.0,0.0
8494ed7ffffffff,2.0,0.0,0.0
8494ed9ffffffff,1.0,0.0,0.0
8494edbffffffff,2.0,0.0,0.0
8494ee7ffffffff,5.0,0.0,0.0
8494f09ffffffff,2.0,0.0,0.0
8494f0dffffffff,4.0,0.0,0.0
8494f21ffffffff,10.0,0.0,0.0
8494f55ffffffff,1.0,0.0,0.0
8494f5dffffffff,1.0,0.0,0.0
8494f61ffffffff,2.0,0.0,0.0
8494f63ffffffff,3.0,0.0,0.0
8494f65ffffffff,10.0,0.0,0.0
8494f6bffffffff,2.0,2.0,0.0
8494f6dffffffff,2.0,0.0,0.0
84955a1ffffffff,10.0,1.0,0.0
