cell_id,Tachyspiza badia,Tachyspiza badia sphenura/polyzonoides,Tachyspiza badia [badia Group]
832010fffffffff,2.0,0.0,2.0
832013fffffffff,2.0,0.0,2.0
832016fffffffff,4.0,0.0,4.0
832018fffffffff,10.0,0.0,0.0
832019fffffffff,3.0,0.0,3.0
83201dfffffffff,3.0,0.0,3.0
8320a1fffffffff,7.0,0.0,0.0
8320a2fffffffff,1.0,0.0,1.0
8320a6fffffffff,5.0,0.0,0.0
8320b1fffffffff,2.0,0.0,2.0
8320f4fffffffff,1.0,0.0,0.0
8325b4fffffffff,2.0,0.0,0.0
832c19fffffffff,2.0,0.0,0.0
832c2cfffffffff,1.0,0.0,0.0
832c51fffffffff,4.0,0.0,0.0
832c5efffffffff,1.0,0.0,0.0
832c8efffffffff,2.0,0.0,2.0
832c90fffffffff,15.0,0.0,0.0
832c93fffffffff,5.0,0.0,0.0
832cc0fffffffff,3.0,0.0,0.0
833c03fffffffff,6.0,0.0,0.0
833c13fffffffff,2.0,0.0,0.0
833c19fffffffff,4.0,0.0,0.0
833c1bfffffffff,6.0,0.0,0.0
833c1dfffffffff,7.0,0.0,0.0
833c58fffffffff,6.0,0.0,1.0
833c5afffffffff,3.0,0.0,0.0
833c5bfffffffff,5.0,0.0,0.0
833c8cfffffffff,2.0,0.0,0.0
833c8dfffffffff,1.0,0.0,0.0
833c8efffffffff,29.0,0.0,0.0
833c9cfffffffff,4.0,0.0,0.0
833c9dfffffffff,3.0,0.0,0.0
833cabfffffffff,2.0,0.0,0.0
833cb1fffffffff,1.0,0.0,0.0
833cc4fffffffff,2.0,0.0,0.0
833cd4fffffffff,2.0,0.0,0.0
833cf2fffffffff,30.0,0.0,4.0
833cf6fffffffff,9.0,0.0,0.0
833d33fffffffff,10.0,0.0,0.0
833d34fffffffff,2.0,0.0,0.0
833d85fffffffff,2.0,0.0,2.0
833d8dfffffffff,12.0,0.0,0.0
833da1fffffffff,8.0,0.0,8.0
833da3fffffffff,8.0,0.0,6.0
833dacfffffffff,4.0,0.0,0.0
833dadfffffffff,2.0,0.0,2.0
834171fffffffff,1.0,0.0,1.0
8342c1fffffffff,1.0,0.0,0.0
8342c3fffffffff,3.0,0.0,0.0
8342c5fffffffff,2.0,0.0,0.0
8342c6fffffffff,1.0,0.0,0.0
8342ccfffffffff,6.0,0.0,0.0
8342cdfffffffff,1.0,0.0,0.0
8342dbfffffffff,5.0,0.0,1.0
8342e4fffffffff,2.0,0.0,2.0
83431efffffffff,3.0,0.0,0.0
8343a0fffffffff,5.0,0.0,0.0
8343a1fffffffff,11.0,0.0,0.0
8343acfffffffff,4.0,0.0,0.0
8343aefffffffff,10.0,0.0,0.0
834b9cfffffffff,2.0,0.0,0.0
8352b1fffffffff,1.0,0.0,0.0
835332fffffffff,2.0,0.0,0.0
835355fffffffff,2.0,0.0,1.0
83536efffffffff,2.0,0.0,0.0
8354a9fffffffff,1.0,0.0,0.0
836002fffffffff,3.0,0.0,0.0
836004fffffffff,3.0,0.0,0.0
836006fffffffff,2.0,0.0,0.0
836014fffffffff,8.0,0.0,4.0
836015fffffffff,4.0,0.0,0.0
83601efffffffff,2.0,0.0,0.0
836022fffffffff,16.0,0.0,0.0
836026fffffffff,12.0,0.0,0.0
836030fffffffff,2.0,0.0,0.0
836031fffffffff,26.0,0.0,0.0
836032fffffffff,2.0,0.0,0.0
836033fffffffff,1.0,0.0,0.0
836035fffffffff,3.0,0.0,0.0
83608afffffffff,1.0,0.0,1.0
83608bfffffffff,1.0,0.0,0.0
83608dfffffffff,2.0,0.0,2.0
836093fffffffff,1.0,0.0,0.0
8360a2fffffffff,2.0,0.0,0.0
8360a6fffffffff,1.0,0.0,0.0
8360a8fffffffff,4.0,0.0,0.0
8360a9fffffffff,5.0,0.0,5.0
8360abfffffffff,4.0,0.0,2.0
8360adfffffffff,1.0,0.0,0.0
8360b1fffffffff,4.0,0.0,0.0
8360b5fffffffff,5.0,0.0,0.0
836188fffffffff,1.0,0.0,0.0
836189fffffffff,4.0,0.0,0.0
83618bfffffffff,18.0,0.0,0.0
83618cfffffffff,1.0,0.0,0.0
83619afffffffff,5.0,0.0,0.0
836332fffffffff,7.0,0.0,0.0
836416fffffffff,4.0,0.0,0.0
836432fffffffff,65.0,0.0,44.0
83648cfffffffff,1.0,0.0,0.0
836518fffffffff,3.0,0.0,0.0
83651dfffffffff,2.0,0.0,0.0
8365b0fffffffff,1.0,0.0,1.0
836ae0fffffffff,2.0,2.0,0.0
837a40fffffffff,2.0,2.0,0.0
837a45fffffffff,2.0,0.0,0.0
837a48fffffffff,2.0,0.0,0.0
837a4dfffffffff,1.0,0.0,0.0
837a68fffffffff,2.0,0.0,0.0
837a6afffffffff,7.0,0.0,0.0
837a6efffffffff,7.0,6.0,0.0
837b4afffffffff,2.0,0.0,0.0
8382d2fffffffff,2.0,2.0,0.0
839609fffffffff,1.0,1.0,0.0
839729fffffffff,1.0,1.0,0.0
83bcdcfffffffff,4.0,4.0,0.0
83bcdefffffffff,1.0,1.0,0.0
83bcf6fffffffff,2.0,0.0,0.0
