cell_id,Thryomanes bewickii,Thryomanes bewickii bewickii,Thryomanes bewickii [mexicanus Group],Thryomanes bewickii [spilurus Group]
8212d7fffffffff,25.0,0.0,0.0,0.0
8212dffffffffff,36.0,0.0,0.0,0.0
822607fffffffff,2.0,0.0,0.0,0.0
82260ffffffffff,3.0,0.0,0.0,0.0
82262ffffffffff,2.0,0.0,0.0,0.0
822647fffffffff,63.0,33.0,0.0,0.0
82264ffffffffff,6.0,0.0,0.0,0.0
822657fffffffff,67.0,4.0,0.0,0.0
82265ffffffffff,38.0,0.0,0.0,0.0
822667fffffffff,1.0,0.0,0.0,0.0
82266ffffffffff,21.0,0.0,0.0,0.0
822677fffffffff,49.0,8.0,0.0,0.0
822687fffffffff,25.0,0.0,0.0,0.0
82268ffffffffff,171.0,0.0,0.0,0.0
822697fffffffff,170.0,0.0,0.0,0.0
82269ffffffffff,35.0,0.0,5.0,0.0
8226affffffffff,1.0,0.0,0.0,0.0
8226b7fffffffff,5.0,0.0,0.0,0.0
8226c7fffffffff,45.0,0.0,0.0,0.0
8226cffffffffff,26.0,0.0,0.0,0.0
8226d7fffffffff,37.0,0.0,0.0,0.0
8226dffffffffff,6.0,0.0,3.0,0.0
8226e7fffffffff,58.0,0.0,0.0,0.0
8226effffffffff,51.0,0.0,0.0,0.0
8226f7fffffffff,32.0,0.0,0.0,0.0
82271ffffffffff,2.0,0.0,0.0,0.0
822797fffffffff,4.0,0.0,0.0,0.0
822807fffffffff,271.0,0.0,0.0,11.0
822817fffffffff,46.0,0.0,0.0,3.0
82281ffffffffff,6.0,0.0,0.0,0.0
822837fffffffff,1273.0,0.0,0.0,71.0
822887fffffffff,426.0,0.0,0.0,2.0
82288ffffffffff,38.0,0.0,0.0,0.0
82289ffffffffff,43.0,0.0,0.0,1.0
8228a7fffffffff,15.0,0.0,0.0,0.0
8228affffffffff,58.0,0.0,0.0,0.0
8228b7fffffffff,102.0,0.0,4.0,0.0
8228c7fffffffff,72.0,0.0,0.0,69.0
8228d7fffffffff,23.0,0.0,0.0,6.0
8228dffffffffff,14.0,0.0,0.0,2.0
8228f7fffffffff,23.0,0.0,0.0,2.0
822917fffffffff,17.0,0.0,0.0,2.0
82291ffffffffff,1.0,0.0,0.0,0.0
822987fffffffff,5.0,0.0,2.0,0.0
82298ffffffffff,25.0,0.0,2.0,0.0
822997fffffffff,13.0,0.0,7.0,0.0
8229a7fffffffff,467.0,0.0,0.0,12.0
8229affffffffff,36.0,0.0,0.0,11.0
8229b7fffffffff,11.0,0.0,1.0,0.0
822a87fffffffff,3.0,0.0,0.0,0.0
822a97fffffffff,2.0,0.0,0.0,0.0
822aaffffffffff,1.0,0.0,0.0,0.0
822ab7fffffffff,6.0,0.0,0.0,0.0
824447fffffffff,27.0,1.0,0.0,0.0
82444ffffffffff,93.0,2.0,0.0,0.0
824467fffffffff,15.0,0.0,0.0,0.0
82446ffffffffff,135.0,4.0,0.0,0.0
8244cffffffffff,16.0,4.0,0.0,0.0
8244dffffffffff,2.0,0.0,0.0,0.0
824817fffffffff,4.0,0.0,0.0,0.0
82482ffffffffff,2.0,0.0,0.0,0.0
824837fffffffff,9.0,0.0,0.0,0.0
824847fffffffff,1.0,0.0,0.0,0.0
82484ffffffffff,1.0,0.0,0.0,0.0
82485ffffffffff,97.0,0.0,0.0,0.0
824887fffffffff,22.0,1.0,3.0,0.0
824897fffffffff,38.0,0.0,0.0,0.0
82489ffffffffff,15.0,0.0,1.0,0.0
8248b7fffffffff,5.0,1.0,2.0,0.0
8248c7fffffffff,48.0,0.0,20.0,0.0
8248cffffffffff,19.0,0.0,11.0,0.0
8248dffffffffff,7.0,0.0,6.0,0.0
8248e7fffffffff,4.0,0.0,4.0,0.0
8248effffffffff,1029.0,0.0,709.0,0.0
8248f7fffffffff,11.0,0.0,9.0,0.0
824987fffffffff,30.0,0.0,30.0,0.0
82498ffffffffff,2.0,0.0,0.0,0.0
824997fffffffff,44.0,0.0,16.0,0.0
82499ffffffffff,8.0,0.0,8.0,0.0
8249b7fffffffff,6.0,0.0,4.0,0.0
826d37fffffffff,11.0,0.0,4.0,0.0
