cell_id,Myiagra eichhorni,Myiagra eichhorni eichhorni,Myiagra eichhorni cervinicolor
8276b7fffffffff,1.0,0.0,0.0
82779ffffffffff,3.0,1.0,0.0
829c97fffffffff,6.0,3.0,0.0
