cell_id,Erythropitta novaehibernicae,Erythropitta novaehibernicae novaehibernicae/extima,Erythropitta novaehibernicae splendida,Erythropitta novaehibernicae gazellae
8476b49ffffffff,1.0,0.0,0.0,1.0
8477913ffffffff,4.0,4.0,0.0,0.0
8477981ffffffff,1.0,1.0,0.0,0.0
8477983ffffffff,1.0,1.0,0.0,0.0
8477989ffffffff,1.0,1.0,0.0,0.0
84779a3ffffffff,1.0,0.0,0.0,1.0
84779b3ffffffff,1.0,1.0,0.0,0.0
84779b5ffffffff,1.0,0.0,0.0,1.0
849c901ffffffff,78.0,0.0,0.0,77.0
849c907ffffffff,2.0,0.0,0.0,2.0
849c90dffffffff,1.0,0.0,0.0,1.0
849c961ffffffff,1.0,0.0,0.0,1.0
849c96bffffffff,1.0,0.0,0.0,1.0
