cell_id,Curruca lugens,Curruca lugens griseiventris,Curruca lugens [lugens Group]
835283fffffffff,2.0,0.0,1.0
835291fffffffff,1.0,0.0,1.0
835299fffffffff,2.0,0.0,0.0
83529bfffffffff,84.0,0.0,14.0
836a49fffffffff,3.0,0.0,0.0
836a5afffffffff,2.0,0.0,0.0
836aeefffffffff,1.0,0.0,0.0
837a40fffffffff,1.0,0.0,0.0
837a41fffffffff,8.0,0.0,0.0
837a45fffffffff,52.0,0.0,0.0
837a48fffffffff,27.0,0.0,0.0
837a4bfffffffff,1.0,0.0,0.0
837a4cfffffffff,13.0,0.0,0.0
837a68fffffffff,11.0,0.0,0.0
837a6afffffffff,59.0,0.0,0.0
837a6efffffffff,162.0,0.0,0.0
837ac1fffffffff,2.0,0.0,0.0
837ac8fffffffff,2.0,0.0,1.0
837acafffffffff,3.0,0.0,2.0
837accfffffffff,60.0,31.0,5.0
837acdfffffffff,40.0,1.0,10.0
837acefffffffff,5.0,1.0,0.0
837ae8fffffffff,3.0,0.0,0.0
839690fffffffff,9.0,0.0,0.0
839692fffffffff,4.0,0.0,0.0
839693fffffffff,55.0,0.0,0.0
83969efffffffff,2.0,0.0,0.0
8396a2fffffffff,5.0,0.0,0.0
8396a5fffffffff,20.0,0.0,0.0
8396b0fffffffff,3.0,0.0,0.0
8396b2fffffffff,2.0,0.0,0.0
83978bfffffffff,1.0,0.0,0.0
83978dfffffffff,1.0,0.0,0.0
8397a8fffffffff,1.0,0.0,0.0
8397abfffffffff,3.0,0.0,0.0
