cell_id,Apalis flavida,Apalis flavida flavocincta/viridiceps,Apalis flavida [flavida Group]
839700fffffffff,3.0,0.0,0.0
839701fffffffff,10.0,0.0,8.0
839702fffffffff,38.0,0.0,0.0
839703fffffffff,13.0,0.0,0.0
839705fffffffff,3.0,0.0,0.0
839706fffffffff,5.0,0.0,0.0
839708fffffffff,1.0,0.0,0.0
83970afffffffff,1.0,0.0,0.0
83970cfffffffff,5.0,0.0,2.0
839710fffffffff,50.0,0.0,0.0
839711fffffffff,182.0,0.0,0.0
839713fffffffff,28.0,0.0,0.0
839715fffffffff,9.0,0.0,0.0
839719fffffffff,10.0,0.0,0.0
83971cfffffffff,60.0,0.0,0.0
839721fffffffff,4.0,0.0,0.0
839724fffffffff,9.0,0.0,0.0
839728fffffffff,70.0,0.0,30.0
83972afffffffff,2.0,0.0,0.0
83972cfffffffff,37.0,0.0,2.0
83972dfffffffff,39.0,0.0,7.0
83972efffffffff,150.0,0.0,25.0
839731fffffffff,10.0,0.0,0.0
839735fffffffff,28.0,0.0,0.0
839741fffffffff,5.0,0.0,0.0
839743fffffffff,23.0,0.0,0.0
839744fffffffff,2.0,0.0,0.0
83974afffffffff,124.0,0.0,37.0
83974bfffffffff,33.0,0.0,9.0
83974efffffffff,9.0,0.0,4.0
839750fffffffff,6.0,0.0,0.0
839751fffffffff,253.0,0.0,39.0
839753fffffffff,5.0,0.0,4.0
839758fffffffff,4.0,0.0,4.0
83975cfffffffff,63.0,0.0,6.0
83975dfffffffff,7.0,0.0,0.0
83975efffffffff,14.0,0.0,5.0
839788fffffffff,10.0,0.0,0.0
83978afffffffff,2.0,0.0,0.0
83978bfffffffff,10.0,0.0,2.0
83978dfffffffff,15.0,0.0,0.0
83978efffffffff,4.0,0.0,0.0
839791fffffffff,3.0,0.0,0.0
839793fffffffff,8.0,0.0,0.0
83979dfffffffff,3.0,0.0,0.0
8397a8fffffffff,30.0,0.0,3.0
8397aafffffffff,21.0,0.0,9.0
8397abfffffffff,7.0,0.0,0.0
8397acfffffffff,12.0,0.0,1.0
8397adfffffffff,2.0,0.0,0.0
83ac80fffffffff,1.0,0.0,0.0
83ac81fffffffff,2.0,0.0,0.0
83ac82fffffffff,3.0,0.0,0.0
83ac86fffffffff,90.0,0.0,20.0
83ac8afffffffff,9.0,0.0,0.0
83ac8efffffffff,6.0,0.0,0.0
83ac90fffffffff,3.0,0.0,0.0
83ac95fffffffff,6.0,0.0,0.0
83ac96fffffffff,15.0,0.0,4.0
83aca2fffffffff,1.0,0.0,0.0
83acb1fffffffff,6.0,0.0,0.0
83acb3fffffffff,16.0,0.0,0.0
83bc09fffffffff,4.0,0.0,0.0
83bc19fffffffff,22.0,0.0,4.0
83bc1bfffffffff,6.0,0.0,4.0
83bc46fffffffff,3.0,0.0,0.0
83bc54fffffffff,3.0,0.0,0.0
83bc72fffffffff,3.0,0.0,0.0
83bc73fffffffff,15.0,0.0,0.0
83bc89fffffffff,68.0,0.0,21.0
83bc99fffffffff,18.0,0.0,0.0
83bc9bfffffffff,5.0,0.0,0.0
83bcc6fffffffff,2.0,0.0,0.0
83bcd0fffffffff,183.0,0.0,41.0
83bcd1fffffffff,4.0,0.0,0.0
83bcd2fffffffff,692.0,0.0,99.0
83bcd3fffffffff,90.0,0.0,15.0
83bcd4fffffffff,49.0,0.0,0.0
83bcd5fffffffff,2.0,0.0,2.0
83bcd6fffffffff,236.0,0.0,40.0
83bcd8fffffffff,2.0,0.0,2.0
83bcdefffffffff,2.0,0.0,0.0
83bce2fffffffff,1.0,0.0,0.0
83bce6fffffffff,20.0,0.0,0.0
83bcf0fffffffff,56.0,0.0,7.0
83bcf2fffffffff,698.0,0.0,156.0
83bcf3fffffffff,2.0,0.0,0.0
83bcf4fffffffff,58.0,0.0,16.0
83bcf5fffffffff,19.0,0.0,4.0
83bcf6fffffffff,610.0,0.0,131.0
