cell_id,Aerospiza tachiro,Aerospiza tachiro macroscelides,Aerospiza tachiro toussenelii/canescens,Aerospiza tachiro lopezi,Aerospiza tachiro unduliventer/croizati,Aerospiza tachiro sparsimfasciata,Aerospiza tachiro pembaensis,Aerospiza tachiro tachiro
82529ffffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
827a47fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827a4ffffffffff,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
827a67fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827a6ffffffffff,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
827acffffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
827b4ffffffffff,33.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
8282f7fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
829717fffffffff,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
82971ffffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
82ad37fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82bc1ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82bcd7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82bcf7fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
