cell_id,Dicrurus palawanensis,Dicrurus palawanensis palawanensis,Dicrurus palawanensis cuyensis
836805fffffffff,1.0,0.0,0.0
836828fffffffff,653.0,155.0,0.0
83682afffffffff,4.0,3.0,0.0
83682dfffffffff,27.0,2.0,0.0
836958fffffffff,2.0,1.0,0.0
83695afffffffff,7.0,4.0,0.0
83695efffffffff,18.0,4.0,0.0
