cell_id,Dicaeum hypoleucum,Dicaeum hypoleucum obscurum/cagayanense,Dicaeum hypoleucum pontifex,Dicaeum hypoleucum hypoleucum/mindanense
836819fffffffff,5.0,0.0,0.0,0.0
836841fffffffff,10.0,0.0,0.0,0.0
836842fffffffff,5.0,0.0,0.0,0.0
836843fffffffff,150.0,0.0,14.0,0.0
836844fffffffff,10.0,0.0,0.0,0.0
836845fffffffff,1.0,0.0,0.0,0.0
83684efffffffff,136.0,0.0,5.0,0.0
836856fffffffff,55.0,0.0,3.0,0.0
836858fffffffff,6.0,0.0,0.0,0.0
83685cfffffffff,175.0,0.0,29.0,0.0
83685dfffffffff,33.0,0.0,1.0,0.0
83685efffffffff,198.0,0.0,2.0,0.0
836865fffffffff,22.0,15.0,0.0,0.0
83686efffffffff,28.0,0.0,0.0,0.0
8368e4fffffffff,4.0,0.0,0.0,0.0
8368e6fffffffff,1.0,0.0,0.0,0.0
836943fffffffff,10.0,0.0,0.0,0.0
83694afffffffff,2.0,0.0,0.0,0.0
83694bfffffffff,2.0,0.0,0.0,0.0
83694cfffffffff,14.0,5.0,0.0,0.0
83694efffffffff,462.0,41.0,0.0,0.0
83695dfffffffff,2.0,0.0,0.0,0.0
836968fffffffff,7.0,2.0,0.0,0.0
83696afffffffff,19.0,0.0,0.0,0.0
83696cfffffffff,6.0,1.0,0.0,0.0
83696dfffffffff,5.0,4.0,0.0,0.0
83696efffffffff,4.0,0.0,0.0,0.0
