cell_id,Crypturellus obsoletus,Crypturellus obsoletus castaneus,Crypturellus obsoletus [obsoletus Group]
836629fffffffff,6.0,0.0,0.0
836741fffffffff,15.0,0.0,0.0
836742fffffffff,7.0,0.0,0.0
836743fffffffff,10.0,0.0,0.0
836751fffffffff,17.0,0.0,0.0
83675cfffffffff,6.0,0.0,0.0
83675efffffffff,22.0,0.0,0.0
838112fffffffff,2.0,0.0,0.0
838116fffffffff,8.0,0.0,0.0
838121fffffffff,1.0,0.0,0.0
838130fffffffff,19.0,0.0,2.0
838132fffffffff,2.0,0.0,0.0
838133fffffffff,88.0,0.0,0.0
838134fffffffff,12.0,0.0,0.0
838136fffffffff,100.0,0.0,0.0
838a25fffffffff,2.0,0.0,0.0
838a31fffffffff,2.0,0.0,1.0
838b0cfffffffff,2.0,0.0,0.0
838b20fffffffff,34.0,0.0,0.0
838b21fffffffff,23.0,0.0,0.0
838b22fffffffff,171.0,0.0,0.0
838b23fffffffff,1.0,0.0,0.0
838b2cfffffffff,71.0,0.0,0.0
838b2dfffffffff,20.0,0.0,0.0
838b40fffffffff,22.0,0.0,0.0
838b44fffffffff,10.0,0.0,0.0
838b46fffffffff,6.0,0.0,0.0
838b4efffffffff,14.0,0.0,0.0
838b51fffffffff,4.0,0.0,0.0
838b5cfffffffff,9.0,0.0,0.0
838b61fffffffff,648.0,0.0,0.0
838b62fffffffff,1.0,0.0,0.0
838b63fffffffff,32.0,0.0,0.0
838b6cfffffffff,160.0,0.0,0.0
838b6efffffffff,10.0,0.0,0.0
838b71fffffffff,30.0,0.0,0.0
838b74fffffffff,37.0,0.0,0.0
838b75fffffffff,85.0,0.0,0.0
838b99fffffffff,3.0,0.0,0.0
838b9dfffffffff,1.0,0.0,0.0
838e61fffffffff,2.0,0.0,0.0
838e64fffffffff,478.0,0.0,0.0
838e65fffffffff,14.0,0.0,0.0
838f40fffffffff,3.0,0.0,0.0
838f42fffffffff,35.0,0.0,0.0
838f43fffffffff,7.0,0.0,0.0
838f46fffffffff,72.0,0.0,0.0
838f4afffffffff,42.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0
838f55fffffffff,3.0,0.0,0.0
838f59fffffffff,1.0,0.0,0.0
838f5cfffffffff,2.0,0.0,0.0
838f5dfffffffff,41.0,0.0,0.0
838f73fffffffff,13.0,0.0,0.0
83a596fffffffff,15.0,0.0,0.0
83a800fffffffff,17.0,0.0,0.0
83a801fffffffff,33.0,0.0,0.0
83a804fffffffff,74.0,0.0,0.0
83a805fffffffff,24.0,0.0,0.0
83a806fffffffff,548.0,0.0,79.0
83a80cfffffffff,4.0,0.0,0.0
83a810fffffffff,1700.0,0.0,43.0
83a811fffffffff,11.0,0.0,0.0
83a812fffffffff,1237.0,0.0,92.0
83a813fffffffff,43.0,0.0,3.0
83a814fffffffff,185.0,0.0,7.0
83a815fffffffff,696.0,0.0,46.0
83a816fffffffff,2.0,0.0,0.0
83a818fffffffff,2.0,0.0,0.0
83a81cfffffffff,25.0,0.0,0.0
83a81dfffffffff,14.0,0.0,0.0
83a81efffffffff,32.0,0.0,4.0
83a820fffffffff,22.0,0.0,0.0
83a821fffffffff,53.0,0.0,0.0
83a822fffffffff,31.0,0.0,0.0
83a823fffffffff,23.0,0.0,0.0
83a824fffffffff,38.0,0.0,0.0
83a825fffffffff,22.0,0.0,0.0
83a826fffffffff,60.0,0.0,0.0
83a828fffffffff,2.0,0.0,0.0
83a829fffffffff,2.0,0.0,0.0
83a82afffffffff,11.0,0.0,0.0
83a82bfffffffff,3.0,0.0,0.0
83a82cfffffffff,7.0,0.0,0.0
83a82dfffffffff,11.0,0.0,0.0
83a82efffffffff,26.0,0.0,0.0
83a831fffffffff,263.0,0.0,9.0
83a833fffffffff,104.0,0.0,0.0
83a835fffffffff,276.0,0.0,11.0
83a875fffffffff,7.0,0.0,0.0
83a880fffffffff,44.0,0.0,1.0
83a881fffffffff,268.0,0.0,3.0
83a882fffffffff,200.0,0.0,37.0
83a883fffffffff,27.0,0.0,6.0
83a884fffffffff,108.0,0.0,0.0
83a885fffffffff,2.0,0.0,0.0
83a886fffffffff,7.0,0.0,0.0
83a88bfffffffff,1.0,0.0,0.0
83a88efffffffff,6.0,0.0,2.0
83a891fffffffff,97.0,0.0,5.0
83a895fffffffff,16.0,0.0,0.0
83a8a0fffffffff,4.0,0.0,0.0
83a8a1fffffffff,756.0,0.0,29.0
83a8a2fffffffff,422.0,0.0,17.0
83a8a3fffffffff,241.0,0.0,2.0
83a8a5fffffffff,98.0,0.0,5.0
83a8a8fffffffff,4.0,0.0,0.0
83a8a9fffffffff,4.0,0.0,0.0
83a8aafffffffff,42.0,0.0,0.0
83a8acfffffffff,163.0,0.0,19.0
83a8adfffffffff,3.0,0.0,0.0
83a8aefffffffff,43.0,0.0,0.0
83a901fffffffff,13.0,0.0,0.0
83a903fffffffff,3.0,0.0,1.0
83a908fffffffff,11.0,0.0,0.0
83a909fffffffff,18.0,0.0,0.0
83a90afffffffff,2.0,0.0,0.0
83a90bfffffffff,5.0,0.0,0.0
83a90cfffffffff,2.0,0.0,0.0
83a90dfffffffff,11.0,0.0,0.0
83a90efffffffff,114.0,0.0,12.0
83a918fffffffff,18.0,0.0,2.0
83a919fffffffff,106.0,0.0,11.0
83a91bfffffffff,294.0,0.0,5.0
83a91dfffffffff,175.0,0.0,1.0
83a92afffffffff,2.0,0.0,0.0
83a92bfffffffff,3.0,0.0,0.0
83a92cfffffffff,4.0,0.0,0.0
83a92efffffffff,17.0,0.0,0.0
83a942fffffffff,55.0,0.0,0.0
83a946fffffffff,60.0,0.0,0.0
83a950fffffffff,299.0,0.0,0.0
83a951fffffffff,15.0,0.0,0.0
83a952fffffffff,38.0,0.0,6.0
83a953fffffffff,933.0,0.0,1.0
83a954fffffffff,5.0,0.0,0.0
83a955fffffffff,72.0,0.0,0.0
83a956fffffffff,3.0,0.0,0.0
83a95afffffffff,33.0,0.0,0.0
83a95cfffffffff,61.0,0.0,0.0
83a95efffffffff,11.0,0.0,0.0
83a973fffffffff,2.0,0.0,0.0
83a976fffffffff,12.0,0.0,3.0
83b321fffffffff,2.0,0.0,0.0
83b324fffffffff,11.0,0.0,0.0
83b325fffffffff,61.0,0.0,0.0
83b366fffffffff,2.0,0.0,0.0
