cell_id,Stilpnia cyanoptera,Stilpnia cyanoptera cyanoptera,Stilpnia cyanoptera whitelyi
835f40fffffffff,2.0,0.0,0.0
835f48fffffffff,8.0,0.0,0.0
835f4afffffffff,1.0,0.0,0.0
835f4bfffffffff,14.0,0.0,0.0
835f68fffffffff,2.0,0.0,0.0
835f70fffffffff,18.0,0.0,4.0
835f71fffffffff,111.0,0.0,15.0
835f75fffffffff,1.0,0.0,0.0
836601fffffffff,214.0,6.0,0.0
836608fffffffff,19.0,0.0,0.0
83660bfffffffff,2.0,0.0,0.0
83660cfffffffff,120.0,2.0,0.0
83660dfffffffff,31.0,0.0,0.0
836620fffffffff,1673.0,53.0,0.0
836621fffffffff,449.0,0.0,0.0
836622fffffffff,127.0,2.0,0.0
836623fffffffff,12.0,3.0,0.0
836629fffffffff,56.0,1.0,0.0
83662afffffffff,2.0,0.0,0.0
83662bfffffffff,32.0,0.0,0.0
83662dfffffffff,4.0,0.0,0.0
83662efffffffff,68.0,0.0,0.0
8366e0fffffffff,7.0,1.0,0.0
8366e4fffffffff,7.0,0.0,0.0
836741fffffffff,832.0,25.0,0.0
836742fffffffff,215.0,0.0,0.0
836743fffffffff,157.0,5.0,0.0
83674cfffffffff,924.0,22.0,0.0
83674dfffffffff,1.0,0.0,0.0
83674efffffffff,284.0,0.0,0.0
836751fffffffff,117.0,0.0,0.0
836755fffffffff,4.0,0.0,0.0
83675afffffffff,36.0,0.0,0.0
83675cfffffffff,79.0,0.0,0.0
83675efffffffff,93.0,5.0,0.0
