cell_id,Thlypopsis superciliaris,Thlypopsis superciliaris chrysophrys,Thlypopsis superciliaris [superciliaris Group],Thlypopsis superciliaris leucogastra/insignis,Thlypopsis superciliaris urubambae
84660bdffffffff,2.0,0.0,0.0,0.0,0.0
84661bbffffffff,1.0,0.0,0.0,0.0,0.0
8466291ffffffff,1.0,1.0,0.0,0.0,0.0
8466299ffffffff,4.0,0.0,0.0,0.0,0.0
84662d3ffffffff,3.0,0.0,0.0,0.0,0.0
8466d31ffffffff,21.0,0.0,8.0,0.0,0.0
8466d33ffffffff,4.0,0.0,0.0,0.0,0.0
8466de1ffffffff,2.0,0.0,0.0,0.0,0.0
8466dedffffffff,1.0,0.0,1.0,0.0,0.0
8466e6dffffffff,2.0,0.0,2.0,0.0,0.0
848b6cdffffffff,5.0,0.0,0.0,0.0,5.0
848e6cbffffffff,3.0,0.0,0.0,0.0,3.0
848f4a5ffffffff,17.0,0.0,0.0,17.0,0.0
848f547ffffffff,6.0,0.0,0.0,0.0,0.0
848f553ffffffff,4.0,0.0,0.0,4.0,0.0
848f765ffffffff,2.0,0.0,0.0,0.0,0.0
