cell_id,Icterus pustulatus,Icterus pustulatus [pustulatus Group],Icterus pustulatus [sclateri Group],Icterus pustulatus graysonii
8426aa5ffffffff,4.0,0.0,0.0,0.0
8426cbdffffffff,2.0,0.0,0.0,0.0
8428ae1ffffffff,6.0,0.0,0.0,0.0
84291a7ffffffff,1.0,0.0,0.0,0.0
8429849ffffffff,1.0,0.0,0.0,0.0
8429855ffffffff,4.0,0.0,0.0,0.0
8429957ffffffff,13.0,0.0,0.0,0.0
8429a41ffffffff,2.0,0.0,0.0,0.0
8429a55ffffffff,13.0,0.0,0.0,0.0
8429aadffffffff,17.0,0.0,0.0,0.0
8429ad9ffffffff,123.0,2.0,0.0,0.0
8429b0bffffffff,4.0,0.0,0.0,0.0
8429b19ffffffff,1.0,0.0,0.0,0.0
8429b5bffffffff,3.0,0.0,0.0,0.0
8429b6bffffffff,44.0,5.0,0.0,0.0
84450a5ffffffff,1.0,0.0,0.0,0.0
844520dffffffff,2.0,0.0,0.0,0.0
8445255ffffffff,3.0,0.0,0.0,0.0
844525bffffffff,10.0,0.0,8.0,0.0
84480adffffffff,5.0,4.0,0.0,0.0
84480d9ffffffff,3.0,0.0,0.0,0.0
8448233ffffffff,2.0,0.0,0.0,0.0
84482adffffffff,2.0,0.0,0.0,0.0
844830dffffffff,3.0,0.0,0.0,3.0
844832bffffffff,4.0,2.0,0.0,0.0
8448331ffffffff,4.0,4.0,0.0,0.0
8448333ffffffff,1.0,1.0,0.0,0.0
8448337ffffffff,3.0,3.0,0.0,0.0
8448361ffffffff,3.0,3.0,0.0,0.0
8448363ffffffff,4.0,4.0,0.0,0.0
8448365ffffffff,1.0,0.0,0.0,0.0
84485a3ffffffff,10.0,0.0,0.0,0.0
84485b7ffffffff,3.0,0.0,0.0,0.0
84485bdffffffff,76.0,0.0,0.0,0.0
84488d1ffffffff,24.0,0.0,0.0,0.0
8448935ffffffff,12.0,0.0,0.0,0.0
8448c59ffffffff,169.0,0.0,0.0,0.0
8448d43ffffffff,22.0,0.0,0.0,0.0
8448d89ffffffff,1.0,0.0,0.0,0.0
8448e49ffffffff,2.0,2.0,0.0,0.0
8448e85ffffffff,112.0,0.0,0.0,0.0
8448e8dffffffff,6.0,0.0,0.0,0.0
8448eabffffffff,5.0,0.0,0.0,0.0
8448ebbffffffff,102.0,0.0,0.0,0.0
8448ebdffffffff,11.0,0.0,0.0,0.0
8448ec7ffffffff,48.0,7.0,0.0,0.0
8448eebffffffff,2.0,1.0,0.0,0.0
8449801ffffffff,4.0,4.0,0.0,0.0
844983dffffffff,35.0,0.0,0.0,0.0
844994bffffffff,2.0,0.0,0.0,0.0
8449a85ffffffff,3.0,3.0,0.0,0.0
8449a89ffffffff,2.0,2.0,0.0,0.0
8449a8bffffffff,1.0,1.0,0.0,0.0
8449a91ffffffff,1.0,0.0,0.0,0.0
8449ab9ffffffff,1.0,0.0,0.0,0.0
8449b33ffffffff,17.0,17.0,0.0,0.0
8449b35ffffffff,1.0,0.0,0.0,0.0
8449b37ffffffff,3.0,3.0,0.0,0.0
8449b3dffffffff,5.0,5.0,0.0,0.0
8449b69ffffffff,5.0,5.0,0.0,0.0
8449b6dffffffff,2.0,2.0,0.0,0.0
846d041ffffffff,6.0,6.0,0.0,0.0
846d043ffffffff,1.0,0.0,1.0,0.0
846d049ffffffff,1.0,1.0,0.0,0.0
846d069ffffffff,6.0,5.0,1.0,0.0
846d06dffffffff,1.0,1.0,0.0,0.0
846d159ffffffff,67.0,50.0,16.0,0.0
846d15dffffffff,9.0,9.0,0.0,0.0
846d231ffffffff,3.0,0.0,0.0,0.0
846d239ffffffff,6.0,0.0,0.0,0.0
846d23bffffffff,2.0,0.0,0.0,0.0
846d291ffffffff,5.0,0.0,0.0,0.0
846d295ffffffff,18.0,0.0,0.0,0.0
846d299ffffffff,7.0,0.0,0.0,0.0
846d2a3ffffffff,9.0,0.0,0.0,0.0
846d2bdffffffff,5.0,0.0,0.0,0.0
846d2d7ffffffff,3.0,0.0,0.0,0.0
846d2e3ffffffff,3.0,0.0,0.0,0.0
846d2ebffffffff,6.0,0.0,0.0,0.0
846d311ffffffff,8.0,8.0,0.0,0.0
846d313ffffffff,29.0,28.0,1.0,0.0
846d317ffffffff,8.0,8.0,0.0,0.0
846d321ffffffff,2.0,2.0,0.0,0.0
846d32bffffffff,8.0,8.0,0.0,0.0
846d333ffffffff,5.0,5.0,0.0,0.0
846d337ffffffff,9.0,6.0,3.0,0.0
846d339ffffffff,6.0,6.0,0.0,0.0
846d33dffffffff,7.0,5.0,2.0,0.0
846d665ffffffff,3.0,0.0,0.0,0.0
846d681ffffffff,4.0,0.0,1.0,0.0
846d685ffffffff,3.0,0.0,0.0,0.0
846d695ffffffff,2.0,0.0,0.0,0.0
846d769ffffffff,2.0,0.0,0.0,0.0
