cell_id,Pachycephala pectoralis,Pachycephala pectoralis fuliginosa/occidentalis,Pachycephala pectoralis [pectoralis Group]
849c055ffffffff,4.0,0.0,4.0
84a726dffffffff,1.0,1.0,0.0
84be085ffffffff,2.0,0.0,2.0
84be089ffffffff,9.0,0.0,9.0
84be097ffffffff,1.0,0.0,1.0
84be0c3ffffffff,2.0,0.0,2.0
84be0d5ffffffff,5.0,0.0,5.0
84be0d9ffffffff,1.0,0.0,1.0
84be0e3ffffffff,2.0,0.0,2.0
84be409ffffffff,24.0,0.0,24.0
84be441ffffffff,6.0,0.0,6.0
84be443ffffffff,13.0,0.0,13.0
84be449ffffffff,2.0,0.0,2.0
84be451ffffffff,1.0,0.0,1.0
84be453ffffffff,4.0,0.0,4.0
84be455ffffffff,10.0,0.0,10.0
84be45dffffffff,1.0,0.0,1.0
84be46bffffffff,1.0,0.0,1.0
84be4c7ffffffff,1.0,1.0,0.0
84be533ffffffff,2.0,0.0,2.0
84be53bffffffff,2.0,0.0,2.0
84be541ffffffff,5.0,0.0,5.0
84be5d3ffffffff,1.0,1.0,0.0
84be623ffffffff,3.0,0.0,3.0
84be62bffffffff,10.0,0.0,10.0
84be635ffffffff,1.0,0.0,1.0
84be63dffffffff,6.0,0.0,6.0
84be663ffffffff,3.0,0.0,3.0
84be683ffffffff,27.0,0.0,27.0
84be695ffffffff,18.0,0.0,18.0
84be6b9ffffffff,6.0,0.0,6.0
84be6bbffffffff,2.0,0.0,2.0
84be6bdffffffff,2.0,0.0,2.0
84be715ffffffff,2.0,0.0,2.0
84be71bffffffff,1.0,0.0,1.0
84be72dffffffff,2.0,0.0,2.0
84be8d1ffffffff,5.0,0.0,5.0
84be8d9ffffffff,9.0,0.0,9.0
84bea97ffffffff,6.0,0.0,6.0
84beab3ffffffff,3.0,0.0,3.0
84beabbffffffff,15.0,0.0,15.0
84bee01ffffffff,2.0,0.0,2.0
84bee61ffffffff,2.0,0.0,2.0
84beeabffffffff,2.0,0.0,2.0
84bef0dffffffff,1.0,0.0,1.0
84bef2dffffffff,2.0,0.0,2.0
84bef69ffffffff,4.0,0.0,4.0
84bef6dffffffff,2.0,0.0,2.0
84c9923ffffffff,2.0,2.0,0.0
