cell_id,Uropsila leucogastra,Uropsila leucogastra [leucogastra Group],Uropsila leucogastra pacifica
834424fffffffff,3.0,0.0,0.0
834501fffffffff,391.0,6.0,0.0
834505fffffffff,97.0,0.0,0.0
834508fffffffff,436.0,48.0,0.0
834509fffffffff,984.0,175.0,0.0
83450afffffffff,501.0,20.0,0.0
83450bfffffffff,260.0,28.0,0.0
83450cfffffffff,116.0,23.0,0.0
83450dfffffffff,348.0,123.0,0.0
83450efffffffff,437.0,34.0,0.0
834521fffffffff,11.0,0.0,0.0
834522fffffffff,2.0,0.0,0.0
834528fffffffff,1194.0,74.0,0.0
834529fffffffff,10.0,0.0,0.0
83452afffffffff,1514.0,10.0,0.0
83452bfffffffff,250.0,22.0,0.0
83452cfffffffff,840.0,77.0,0.0
83452dfffffffff,179.0,15.0,0.0
83452efffffffff,4076.0,190.0,0.0
834535fffffffff,236.0,20.0,0.0
834569fffffffff,1.0,0.0,0.0
834572fffffffff,128.0,26.0,0.0
834574fffffffff,5.0,0.0,0.0
834576fffffffff,21.0,0.0,0.0
834836fffffffff,2.0,0.0,0.0
8348b4fffffffff,7.0,0.0,0.0
834992fffffffff,3.0,0.0,0.0
834996fffffffff,547.0,76.0,0.0
834998fffffffff,15.0,0.0,0.0
83499afffffffff,2.0,0.0,0.0
83499efffffffff,4.0,0.0,0.0
8349a1fffffffff,1.0,0.0,0.0
8349a2fffffffff,103.0,0.0,24.0
8349a3fffffffff,33.0,0.0,12.0
8349a8fffffffff,133.0,0.0,24.0
8349a9fffffffff,142.0,0.0,32.0
8349adfffffffff,64.0,0.0,0.0
8349b5fffffffff,4.0,0.0,4.0
836d20fffffffff,49.0,0.0,0.0
836d21fffffffff,8.0,2.0,0.0
836d22fffffffff,27.0,6.0,0.0
836d23fffffffff,128.0,48.0,0.0
836d25fffffffff,2.0,0.0,0.0
836d2cfffffffff,199.0,58.0,0.0
836d2dfffffffff,20.0,0.0,0.0
836d2efffffffff,2.0,1.0,0.0
836d30fffffffff,61.0,19.0,0.0
836d31fffffffff,90.0,53.0,0.0
836d34fffffffff,79.0,10.0,0.0
836d35fffffffff,20.0,0.0,0.0
836d36fffffffff,15.0,2.0,0.0
