cell_id,Dryobates pubescens,Dryobates pubescens pubescens/medianus,Dryobates pubescens leucurus/glacialis,Dryobates pubescens gairdnerii/turati
840c5a1ffffffff,2.0,0.0,0.0,0.0
840c5a5ffffffff,4.0,0.0,0.0,0.0
840c5adffffffff,4.0,0.0,0.0,0.0
840c73bffffffff,2.0,0.0,0.0,0.0
840c73dffffffff,7.0,0.0,0.0,0.0
840c747ffffffff,3.0,3.0,0.0,0.0
840e491ffffffff,3.0,0.0,0.0,0.0
840ecc9ffffffff,2.0,0.0,0.0,0.0
8412511ffffffff,2.0,2.0,0.0,0.0
8412591ffffffff,1.0,0.0,0.0,0.0
841286dffffffff,4.0,0.0,0.0,0.0
8412909ffffffff,3.0,0.0,0.0,0.0
8412b01ffffffff,1.0,0.0,0.0,0.0
8412b03ffffffff,5.0,0.0,0.0,0.0
8412b4bffffffff,3.0,0.0,0.0,0.0
8412c11ffffffff,2.0,0.0,0.0,0.0
8412cb1ffffffff,1.0,0.0,0.0,0.0
8412ccdffffffff,17.0,2.0,0.0,0.0
8412ce7ffffffff,1.0,0.0,0.0,0.0
8412de5ffffffff,2.0,0.0,1.0,1.0
8412ecdffffffff,3.0,0.0,0.0,0.0
8413861ffffffff,2.0,0.0,0.0,0.0
8413867ffffffff,15.0,0.0,0.0,0.0
8413933ffffffff,2.0,0.0,0.0,0.0
84139edffffffff,5.0,0.0,0.0,0.0
841aa07ffffffff,16.0,0.0,0.0,0.0
841aa3dffffffff,7.0,0.0,0.0,0.0
841aa45ffffffff,6.0,0.0,0.0,0.0
841aa4dffffffff,1.0,0.0,0.0,0.0
841aa67ffffffff,5.0,0.0,0.0,0.0
841b991ffffffff,2.0,0.0,0.0,0.0
841b9a9ffffffff,3.0,0.0,0.0,0.0
841b9adffffffff,1.0,0.0,0.0,0.0
841b9e1ffffffff,10.0,0.0,0.0,0.0
841b9e3ffffffff,4.0,0.0,0.0,0.0
841b9ebffffffff,1.0,0.0,0.0,0.0
8422db7ffffffff,3.0,0.0,0.0,0.0
8426003ffffffff,2.0,2.0,0.0,0.0
8426039ffffffff,3.0,3.0,0.0,0.0
8426085ffffffff,11.0,7.0,0.0,0.0
8426087ffffffff,4.0,4.0,0.0,0.0
8426099ffffffff,1.0,0.0,0.0,0.0
84260a1ffffffff,40.0,40.0,0.0,0.0
84260a9ffffffff,15.0,15.0,0.0,0.0
84260adffffffff,6.0,6.0,0.0,0.0
84260b9ffffffff,5.0,3.0,0.0,0.0
84260e3ffffffff,4.0,4.0,0.0,0.0
84260ebffffffff,4.0,4.0,0.0,0.0
8426139ffffffff,1.0,0.0,0.0,0.0
8426187ffffffff,3.0,3.0,0.0,0.0
84261b1ffffffff,4.0,4.0,0.0,0.0
842620bffffffff,2.0,0.0,0.0,0.0
8426261ffffffff,2.0,0.0,0.0,0.0
8426269ffffffff,3.0,0.0,0.0,0.0
84262b3ffffffff,7.0,7.0,0.0,0.0
84262cdffffffff,8.0,0.0,0.0,0.0
8426313ffffffff,2.0,2.0,0.0,0.0
8426405ffffffff,1.0,0.0,0.0,0.0
842640dffffffff,5.0,0.0,0.0,0.0
8426417ffffffff,2.0,0.0,0.0,0.0
8426429ffffffff,3.0,0.0,0.0,0.0
842642bffffffff,1.0,0.0,0.0,0.0
842642dffffffff,1.0,0.0,0.0,0.0
8426437ffffffff,1.0,0.0,0.0,0.0
8426439ffffffff,3.0,0.0,0.0,0.0
842643bffffffff,2.0,0.0,0.0,0.0
8426443ffffffff,4.0,0.0,0.0,0.0
8426461ffffffff,4.0,0.0,0.0,0.0
8426463ffffffff,33.0,0.0,0.0,0.0
8426467ffffffff,1.0,0.0,0.0,0.0
842646bffffffff,6.0,3.0,0.0,0.0
8426481ffffffff,2.0,0.0,0.0,0.0
8426483ffffffff,7.0,7.0,0.0,0.0
8426487ffffffff,5.0,5.0,0.0,0.0
8426489ffffffff,17.0,14.0,0.0,0.0
842648dffffffff,11.0,11.0,0.0,0.0
8426493ffffffff,1.0,0.0,0.0,0.0
8426499ffffffff,1.0,1.0,0.0,0.0
842649dffffffff,14.0,14.0,0.0,0.0
84264a1ffffffff,13.0,13.0,0.0,0.0
84264a7ffffffff,18.0,15.0,0.0,0.0
84264abffffffff,1.0,1.0,0.0,0.0
84264adffffffff,3.0,3.0,0.0,0.0
84264b9ffffffff,6.0,6.0,0.0,0.0
84264bdffffffff,8.0,6.0,0.0,0.0
84264c3ffffffff,17.0,15.0,0.0,0.0
84264c7ffffffff,95.0,89.0,0.0,0.0
84264d1ffffffff,27.0,20.0,0.0,0.0
84264d5ffffffff,1.0,1.0,0.0,0.0
84264d9ffffffff,11.0,9.0,0.0,0.0
84264dbffffffff,11.0,11.0,0.0,0.0
84264ddffffffff,3.0,3.0,0.0,0.0
84264e1ffffffff,4.0,0.0,0.0,0.0
84264e5ffffffff,34.0,26.0,0.0,0.0
84264e7ffffffff,2.0,2.0,0.0,0.0
8426521ffffffff,1.0,0.0,0.0,0.0
842653bffffffff,3.0,0.0,0.0,0.0
8426541ffffffff,1.0,0.0,0.0,0.0
8426551ffffffff,1.0,0.0,0.0,0.0
8426557ffffffff,2.0,0.0,0.0,0.0
842655bffffffff,2.0,0.0,0.0,0.0
8426563ffffffff,1.0,0.0,0.0,0.0
8426565ffffffff,10.0,4.0,0.0,0.0
8426567ffffffff,37.0,6.0,0.0,0.0
842658dffffffff,2.0,2.0,0.0,0.0
8426599ffffffff,7.0,3.0,0.0,0.0
842659bffffffff,27.0,27.0,0.0,0.0
84265d3ffffffff,2.0,2.0,0.0,0.0
84265dbffffffff,4.0,4.0,0.0,0.0
84265e3ffffffff,2.0,2.0,0.0,0.0
842662dffffffff,1.0,0.0,0.0,0.0
8426641ffffffff,2.0,2.0,0.0,0.0
8426649ffffffff,3.0,0.0,0.0,0.0
8426665ffffffff,2.0,0.0,0.0,0.0
8426669ffffffff,13.0,0.0,0.0,0.0
842669bffffffff,10.0,0.0,0.0,0.0
84266a9ffffffff,1.0,0.0,0.0,0.0
84266bbffffffff,1.0,0.0,0.0,0.0
84266e1ffffffff,1.0,0.0,0.0,0.0
8426723ffffffff,2.0,2.0,0.0,0.0
8426745ffffffff,2.0,0.0,0.0,0.0
8426801ffffffff,9.0,0.0,0.0,0.0
8426803ffffffff,2.0,0.0,0.0,0.0
8426805ffffffff,5.0,0.0,0.0,0.0
842680bffffffff,2.0,0.0,0.0,0.0
